Cycle,0.821996855346
Average Width,7.84592330387
Width,,12.8895349365,7.45982857627,11.4670895221,13.9678430043,8.29187735265,8.67207089247,7.96348158403,8.01634118565,6.46543034639,8.30183102413,6.83346476137,6.87316353193,8.76790187794,8.06562812568,8.08800413907,7.85250409154,8.80510049096,6.46969641237,7.30798017786,6.79384571094,6.71483427566,7.2637529058,7.24524280429,6.58846983172,7.04116466117,6.6151063854,6.6126682416,6.60931829039,6.4414671564,6.396083108,6.12483034362,7.31587756641,6.87287941782,7.28193820115,6.9767085175,6.84682949212,7.23464603602,9.39960660304,8.4392871308,7.24585258388,8.61559590276,8.12834907472,8.36112677714,7.03058530446,7.11896875121,9.35254612864,7.97705586087,7.74419143278,9.21790614363,8.24922623457,7.75490725834,7.53765010325,7.37712130053,8.59544683922
Point2,H6,(5.3290705182e-15 165),(-2.6645352591e-15 334),(7.1054273576e-15 496),(6.2172489379e-15 669),(1.24344978758e-14 833),(7.9936057773e-15 1002),(1.06581410364e-14 1163),(2.6645352591e-15 1337),(-8.881784197e-16 1502),(-2.6645352591e-15 1665),(-1.7763568394e-15 1836),(-2.6645352591e-15 2001),(2.6645352591e-15 2167),(-0.00207372701949 2330),(-0.00806018720268 2491),(4.88498130835e-15 2667),(-0.00485220280716 2831),(1.15463194561e-14 2958),(-2.6645352591e-15 3166),(-8.881784197e-16 3307),(7.1054273576e-15 3508),(9.7699626167e-15 3678),(-8.881784197e-16 3849),(-0.000317196760931 4014),(1.7763568394e-14 4189),(-4.4408920985e-15 4357),(4.4408920985e-15 4528),(8.881784197e-16 4702),(0.0 4871),(1.24344978758e-14 5041),(1.24344978758e-14 5214),(0.0 5385),(9.7699626167e-15 5550),(1.95399252334e-14 5725),(-0.0011972778696 5891),(2.6645352591e-14 6060),(1.86517468137e-14 6225),(-0.00102550385903 6399),(5.3290705182e-15 6562),(-0.00164566832866 6731),(2.6645352591e-15 6896),(8.881784197e-16 7068),(-1.42108547152e-14 7229),(-8.881784197e-16 7385),(0.0 7566),(-9.7699626167e-15 7731),(-8.881784197e-15 7901),(1.7763568394e-15 8065),(-7.1054273576e-15 8237),(-0.000560601705049 8400),(-7.9936057773e-15 8574),(-1.50990331349e-14 8741),(-3.5527136788e-15 8910),(-7.9936057773e-15 9075),
Point3,H1,(4.03801291882 34),(5.61436358846 202),(5.17524738309 383),(5.47015248908 545),(6.17136489548 719),(6.479298402 871),(6.81313619476 1042),(5.74193221642 1211),(7.04130595493 1365),(6.52217182248 1552),(8.05935211799 1703),(7.12059039715 1870),(5.87654469973 2043),(7.87343026282 2218),(7.03263193572 2376),(6.78810333877 2538),(6.23438348174 2716),(9.06429875118 2875),(12.6223059841 3036),(8.31570567823 3210),(8.25648227696 3385),(8.45961033526 3546),(7.61629575743 3712),(8.50944996924 3881),(7.74770363786 4059),(8.41270352939 4226),(9.00215326647 4392),(9.59554927894 4569),(8.01205023569 4747),(8.28050537401 4907),(9.71005405454 5080),(9.13619393532 5253),(8.75129892245 5418),(9.0291287343 5593),(8.66608405384 5757),(7.95674984813 5929),(8.16550080239 6097),(6.31374710023 6267),(6.7398981678 6439),(7.03813818323 6600),(7.00694445105 6773),(7.41430694016 6942),(5.67697331216 7098),(7.21179577081 7275),(6.09156093065 7433),(6.1448173439 7607),(7.16426438582 7768),(6.03103640756 7928),(6.38291680233 8106),(6.45541450256 8278),(6.2231453329 8448),(7.15176335031 8619),(6.72584636406 8780),(7.46168552167 8957),(7.59804260117 9114),
Point3,H2,,,(3.06937638179 411),,,(3.31414556304 928),,,,,(3.99786095419 1750),,(3.99565171836 2075),(4.1869272493 2247),,,(3.64621874927 2743),,,,,(1.99042269488 3621),,(7.87087090169 3895),,,,,,,,,,,,,,,(3.56063270894 6471),,,(4.79403850131 6969),(3.49795662442 7141),,,,,(5.51554559539 7940),,,,,,,,
Point3,H3,,,(3.07621074158 415),,,(3.43322677823 939),,,,,(4.06631445291 1759),,(4.04516989682 2084),(4.57438086162 2259),,,(3.77727545245 2751),,,,,(2.40600455521 3634),,(7.90057125648 3899),,,,,,,,,,,,,,,(3.69372968674 6480),,,(4.79799518114 6971),(3.56878802446 7148),,,,,(5.86773072249 7951),,,,,,,,
Point3,H4,(1.29035493431 90),,(0.785389949276 464),(0.558701472992 645),,(1.49255434064 964),(2.91023035486 1090),(0.818138745604 1283),,(2.93407450302 1606),,(1.5496838686 1963),(1.98440256802 2118),(1.68230224934 2296),(2.26839619129 2446),(0.512723626957 2628),(2.43661710011 2773),(-0.00388284014797 2958),,(-0.000552702412417 3311),(2.67548954729 3462),(1.60796209764 3650),,(4.98933471369 3927),,,,(1.51834041949 4678),,,(3.15018911963 5155),(1.5553669903 5347),,(1.62802391591 5692),(2.07043443756 5854),,(1.99473230554 6188),,,,(1.3973402404 6866),(1.30076190009 7024),(2.01712881691 7172),(1.46407690154 7349),,(1.44374852965 7690),,,(1.84318351199 8181),,,,,,,
Point3,H5,(1.71025563803 120),,(1.09072474968 478),(0.596091341068 652),,(1.85177124642 976),(3.26742554637 1104),(2.43469523236 1303),,(3.06392930271 1616),,(1.60974054702 1973),(2.36272803123 2132),(1.71971794706 2302),(2.34890683834 2457),(0.760800652 2644),(2.67612474525 2784),(0.474841324378 2978),,(0.454446989537 3327),(2.89254626416 3476),(1.97333753691 3661),,(5.08777203866 3934),,,,(1.54606030902 4683),,,(3.39760086645 5167),(1.75785636472 5359),,(1.76504444011 5703),(2.1328446054 5862),,(2.17729857485 6201),,,,(1.62536338846 6877),(1.9493171476 7045),(2.40680367158 7186),(1.56545463779 7358),,(1.66326400678 7704),,,(2.24696158788 8195),,,,,,,
Point3,H6,(-0.00719396243309 1),(-0.010276021126 158),(2.22044604925e-15 336),(5.3290705182e-15 497),(-8.881784197e-16 668),(-3.10862446895e-15 804),(8.881784197e-16 998),(4.4408920985e-16 1161),(6.66133814775e-15 1337),(-3.99680288865e-15 1503),(1.02140518266e-14 1664),(-0.000443576331277 1835),(5.3290705182e-15 1999),(0.0 2168),(-6.66133814775e-15 2328),(-0.00202688219711 2490),(-8.43769498715e-15 2665),(-1.59872115546e-14 2830),(-0.00388284014797 2958),(-1.59872115546e-14 3165),(-0.000552702412417 3311),(-6.2172489379e-15 3508),(-1.06581410364e-14 3679),(-7.9936057773e-15 3850),(-6.2172489379e-15 4016),(-2.22044604925e-15 4187),(-8.881784197e-16 4358),(-3.5527136788e-15 4528),(-2.6645352591e-15 4702),(-2.22044604925e-15 4871),(5.3290705182e-15 5041),(1.7763568394e-15 5213),(2.6645352591e-15 5383),(8.43769498715e-15 5549),(3.5527136788e-15 5725),(0.0 5890),(1.7763568394e-15 6059),(-7.9936057773e-15 6225),(-0.00252971489245 6397),(-1.50990331349e-14 6565),(-1.24344978758e-14 6730),(-7.1054273576e-15 6896),(-4.88498130835e-15 7069),(8.881784197e-16 7228),(1.33226762955e-15 7381),(2.6645352591e-15 7565),(-3.5527136788e-15 7731),(-7.9936057773e-15 7901),(-5.3290705182e-15 8062),(-3.99680288865e-15 8237),(-2.6645352591e-15 8397),(-3.10862446895e-15 8568),(-4.88498130835e-15 8741),(0.0 8910),(-0.0112909505632 9072),
Point4,H1,(8.30912380822 127),(7.4446015866 297),(9.06244572824 460),(10.356696621 629),(8.55154116231 796),(8.51387417003 964),(8.82441905149 1127),(7.63113870751 1259),(7.40069822296 1462),(8.85450925069 1632),(9.00166188451 1798),(8.07261012581 1964),(8.33677878872 2132),(9.15518003036 2298),(8.91375942163 2459),(7.68797054043 2575),(7.70973643012 2627),(8.29564235583 2796),(10.8035673697 2966),(10.3693058613 3129),(9.59578257342 3270),(9.84229683673 3471),(8.73165297029 3642),(9.37059884294 3810),(9.82405903229 3981),(8.88603552822 4153),(9.55191998991 4320),(9.546436846 4491),(8.25680599296 4665),(8.4623452149 4835),(8.64488774685 5002),(9.89593847526 5178),(8.81030957337 5347),(10.7354098516 5516),(9.3943947529 5688),(8.43866954297 5852),(9.58046237573 6020),(10.2796398402 6189),(9.42049915338 6360),(8.49841514935 6513),(9.8640586318 6695),(9.29491602799 6858),(8.32295941655 7029),(8.32342062369 7193),(7.31560441701 7359),(9.05368311136 7531),(9.26222530221 7693),(8.79200288052 7863),(9.79411127956 8025),(8.96853177971 8197),(8.54285401287 8361),(9.16200253138 8537),(8.26310738259 8689),(9.14962292443 8874),
Point4,H2,,,,,(4.4408920985e-15 833),,,,,,(-1.15463194561e-14 1836),(-1.46549439251e-14 2002),(-0.00166712417743 2166),(-0.00109669353355 2342),,,,(-9.7699626167e-15 2840),(6.2172489379e-15 3001),,,(1.7763568394e-15 3511),(0.068989136947 3670),,,,(8.881784197e-15 4357),,,(5.3290705182e-15 4868),,,,(-5.3290705182e-15 5557),(0.41547041771 5718),,,,,,,,(4.4408920985e-15 7062),,(-3.5527136788e-15 7399),(-7.1054273576e-15 7567),,,(-3.5527136788e-15 8067),(-8.881784197e-16 8233),(-3.5527136788e-15 8406),,,,
Point4,H3,,,,,(5.75414894116 891),,,,,,(5.34543438483 1904),(3.92186743244 2033),(5.76493649073 2214),(5.93289818308 2375),,,,(4.19590197193 2878),(6.13880179089 3041),,,(5.40247104324 3552),(0.272642107598 3678),,,,(8.39318020076 4432),,,(5.44921960746 4917),,,,(8.68445071532 5634),(0.630458196681 5725),,,,,,,,(5.53386638138 7108),,(6.21949978656 7476),(6.18076574218 7634),,,(7.94487387151 8139),(4.63300821788 8275),(4.85227938243 8451),,,,
