Cycle,0.801627906977
Average Width,8.59731086039
Width,,6.84643431426,6.18849794174,7.17691272758,7.1969322859,6.84327595168,6.94585066103,7.30848999045,8.12624617027,7.00580387912,7.92650354219,7.99341939523,8.80950617573,7.9146940801,7.82079827845,7.82415968893,7.53292856339,7.32415584004,8.0660809921,7.66963876029,7.94082427537,8.03119338425,8.07799694324,8.68644058086,9.5320647129,8.26359078765,9.16482888023,9.77472231437,9.31032120827,8.92377597817,8.88704017842,9.52420637453,9.12219920588,9.34579356536,8.80970931618,8.901668782,9.64217837514,10.9619422904,9.70547289485,10.0036197318,10.0361203662,9.49535018349,10.4411891799,12.1701496023,11.0089495069
Point3,H3,,(11.9247994602 223),,,,,(1.77301595716 1089),,(14.8841289942 1345),,(6.08740158483 1680),,,,,,,,,,,(2.38166287306 3555),,(2.66981995824 3912),(15.9677192792 3997),(1.50127174695 4243),(17.539785532 4336),,,,,(3.28116455468 5220),,,,(2.81475943068 5875),,,(15.7119804305 6302),,(2.84591864525 6691),,,
Point3,H4,(0.49913485107 151),(2.22751430867 312),(2.96458082978 471),(1.40114459584 630),(1.63690520673 775),,(8.881784197e-16 1104),(1.38536210841 1271),,,(-0.0387199547395 1745),,(0.343661131798 2084),,,(0.950551994078 2569),(3.49297001483 2713),(1.50014229801 2900),(1.14672217709 3069),(2.1727228846 3235),,(1.26226633253 3573),(1.04529745779 3744),(2.1696712309 3925),(1.72215790983 4083),(-5.3290705182e-15 4261),(2.4973053434 4406),,,(0.756720348658 4885),(-0.000187593676522 5057),(2.18068829977 5239),(0.577241091541 5384),(-0.0324896782861 5521),,(1.26061650578 5893),(0.669952298445 6052),,,(1.10085360655 6538),(1.95845022947 6708),,,
Point3,H5,(0.794683374317 162),(2.31630339054 319),(3.09030457035 478),(1.66364134019 640),(1.84506518931 784),,(14.0311923444 1133),(1.51953489045 1280),,,(1.55106780338 1763),,(0.883571705688 2098),,,(1.00866230337 2577),(3.51219697731 2717),(1.67210861967 2910),(2.17937520842 3088),(2.74531087442 3248),,(1.92820275773 3585),(1.96152060859 3761),(2.50208953647 3935),(2.54437270299 4097),(1.44869879934 4276),(2.96796796561 4417),,,(0.850323239311 4894),(0.840159726299 5077),(2.30974085495 5247),(1.10401721037 5395),(0.474503664027 5537),,(2.17935032375 5906),(1.58501162384 6066),,,(1.15281600674 6544),(2.34464090305 6720),,,
Point3,H6,(-1.86517468137e-14 174),(-1.7763568394e-14 336),(-7.1054273576e-15 498),(8.881784197e-16 655),(-1.68753899743e-14 800),(-1.06581410364e-14 969),(8.881784197e-16 1104),(8.881784197e-15 1295),(-0.0205258613372 1466),(7.9936057773e-15 1591),(-0.0387199547395 1745),(-3.10862446895e-14 1950),(-2.84217094304e-14 2110),(-2.84217094304e-14 2274),(-2.30926389122e-14 2432),(-1.86517468137e-14 2599),(-6.2172489379e-15 2738),(-9.7699626167e-15 2927),(7.9936057773e-15 3105),(-7.1054273576e-15 3266),(-6.2172489379e-15 3401),(6.2172489379e-15 3601),(-1.7763568394e-15 3779),(8.881784197e-16 3952),(7.1054273576e-15 4114),(-5.3290705182e-15 4261),(0.0 4434),(8.881784197e-15 4578),(-1.24344978758e-14 4709),(8.881784197e-16 4914),(-0.000187593676522 5057),(5.3290705182e-15 5265),(-9.7699626167e-15 5407),(-0.0324896782861 5521),(-7.9936057773e-15 5745),(-8.881784197e-15 5921),(-1.7763568394e-15 6082),(3.5527136788e-15 6251),(-0.0110871427107 6404),(-7.1054273576e-15 6558),(1.95399252334e-14 6739),(7.9936057773e-15 6865),(5.3290705182e-15 7057),
Point4,H1,(9.87154646208 52),(9.26230903379 203),(12.3701996963 384),(13.5622634227 540),(12.6055950638 683),(11.9134976806 829),(13.3680896057 1001),(14.3689655061 1155),(14.1381500378 1323),(13.1163011548 1499),(14.0880965314 1626),(16.2432604753 1812),(15.3842629536 1978),(15.2496037876 2139),(15.5900475262 2316),(13.3995123093 2460),(14.2925491193 2633),(14.9047022288 2777),(15.2721630229 2963),(14.4434248918 3148),(14.389779606 3306),(15.1639206972 3435),(16.9399551741 3642),(18.1722249075 3816),(15.5730377812 3981),(17.3080368914 4151),(17.6184007291 4315),(17.4073994186 4473),(16.0277335031 4618),(15.5856725184 4747),(18.0667670267 4953),(18.123331389 5129),(17.6950897063 5305),(16.0179230054 5434),(17.7700978506 5577),(18.5941809523 5784),(17.5291759449 5953),(16.4865190532 6120),(18.0633399045 6282),(18.4020529631 6441),(16.0753668281 6587),(17.6917969914 6776),(17.2759959483 6909),(19.3928103207 7097),
Point4,H2,,,(7.28956160751 413),,,(11.4584877346 841),(1.22120495206 1081),,(12.5016828383 1337),,,,,(14.009076818 2152),,,,,(15.2665067352 2966),,,,,(2.01271850787 3895),(15.0373953906 3991),(1.12700085997 4235),(16.2674534796 4328),,,(6.75360356199 4795),,(2.87905668022 5210),,,,,,,,,,,(1.96576520789 6994),,
Point4,H3,,,(7.31736688308 418),,,(11.5058959419 846),(1.38515803355 1088),,(12.6870223022 1345),,,,,(14.1469046001 2159),,,,,(15.2700042004 2970),,,,,(3.12652984887 3910),(15.2207907551 3998),(1.27841820342 4243),(16.3860420563 4334),,,(6.83390948242 4801),,(3.06449576962 5218),,,,,,,,,,,(2.20665997131 7007),,
Point4,H4,(1.10516498731 149),,(2.44449041103 472),(0.867175867828 628),(1.07162861321 774),,(1.95399252334e-14 1103),,(1.96358451468 1422),,,(0.853746673704 1932),(0.0330438718171 2084),(2.92404265969 2245),(3.56342754827 2407),(-0.142748785055 2576),(2.62404947537 2712),(0.549323778962 2900),(-0.0842674565204 3068),(2.13815401908 3234),,(1.53769649473 3571),(0.875009262921 3741),(1.91201757946 3928),(1.29858104698 4082),(8.881784197e-16 4260),(2.21292899597 4406),,,(2.27020635711 4856),(1.06581410364e-14 5057),(1.49989583699 5237),(1.18029307708 5384),(7.1054273576e-15 5517),,(1.43403234446 5892),(0.892185169055 6051),,(1.91860043751 6366),(1.36431190117 6537),,,(0.902500018519 7027),,
Point4,H5,(1.11554426982 154),,(2.45152153125 476),(1.2631062421 640),(1.47298691362 785),,(11.2128619251 1131),,(2.01098309922 1428),,,(0.854279452426 1933),(0.962694781088 2098),(2.93506716548 2248),(3.5669768446 2409),(0.0321077491692 2593),(2.71275695965 2718),(0.944359401926 2912),(1.39363785052 3089),(2.38002634976 3245),,(2.02754848439 3584),(1.90133750459 3759),(1.95119807027 3934),(2.06775177728 4096),(1.27884904085 4275),(2.4483382005 4415),,,(2.32601067009 4863),(0.849454379129 5078),(1.90950922388 5248),(1.33813360587 5392),(0.535970687258 5536),,(2.26136996771 5904),(1.71794298697 6065),,(2.04046969996 6374),(1.39123111049 6542),,,(1.62124463488 7041),,
Point4,H6,(-0.0126991955702 1),(1.95399252334e-14 174),(2.6645352591e-14 336),(-0.00508333971361 498),(7.9936057773e-15 655),(-0.000735391227062 799),(-0.00608147843346 969),(1.95399252334e-14 1103),(2.48689957516e-14 1294),(7.1054273576e-15 1465),(0.0 1588),(-0.319728726766 1747),(1.59872115546e-14 1948),(1.7763568394e-14 2110),(2.13162820728e-14 2272),(-1.7763568394e-15 2432),(-0.142748785055 2576),(-0.00115712920957 2736),(-0.00719487900087 2926),(-0.0842674565204 3068),(1.50990331349e-14 3265),(1.50990331349e-14 3400),(1.7763568394e-15 3600),(-1.24344978758e-14 3778),(-6.2172489379e-15 3951),(-9.7699626167e-15 4113),(8.881784197e-16 4260),(-0.00409695211292 4432),(1.7763568394e-15 4577),(7.9936057773e-15 4708),(1.68753899743e-14 4912),(1.06581410364e-14 5057),(1.15463194561e-14 5264),(7.1054273576e-15 5406),(7.1054273576e-15 5517),(1.7763568394e-15 5744),(-6.2172489379e-15 5920),(-0.000929655735947 6080),(-1.24344978758e-14 6249),(-0.0110652495412 6401),(7.9936057773e-15 6558),(-1.7763568394e-15 6739),(2.6645352591e-15 6865),(-8.881784197e-16 7057),
