Cycle,0.82221261108
Average Width,37.3692296728
Width,,27.0433671168,31.1845418564,0,0.0,21.4162520791,0.0,0,78.2697119836,19.3088366971,50.2333621889,48.6756346276,29.3574139721,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,86.7499583712,48.0014450855,20.4210492417,23.4390297612,0.0,13.7128696411,127.781146307,26.0641678131,0,18.4790842706,0.0,24.8407126029,15.8301176779,0.0,0.0,13.4350487159,0.0,23.140843447
Point4,H3,(28.3448070508 49),(14.6924275901 256),,,(21.5506223729 722),(27.304540544 898),(9.00007636953 1107),,,(8.28225380029 1604),(19.9159601631 1727),,,,(19.1897831071 2401),,,(17.5317113019 2909),(17.9414568026 3091),,(16.3195440327 3429),,,(1.69070823755 4030),(11.4947287176 4149),,(5.28378237182 4515),(2.08923402511 4695),(12.4648874812 4783),,,,(3.09884852449 5539),,(12.9022639001 5808),,(18.3603113213 6146),(7.38405300011 6362),(7.52171831899 6513),,,,
Point4,H4,(3.80926978598 130),(1.57197885329 310),(5.23052641229 472),(2.72931921748 641),(4.74774094421 799),(16.8445508261 922),(2.56967489603 1155),,(2.02279612819 1479),(1.57525802014 1650),,,(3.37866477582 2147),,(2.17782755042 2485),(3.02318430545 2661),,,(1.93003120599 3174),,,(1.81323135489 3685),,(-3.5527136788e-15 4057),,,(2.41399291867 4536),(1.12669074482 4713),(6.4804847292 4810),(8.54991095111 4981),,(8.86210655995 5321),(1.28021813959 5560),,,,,(-0.00211181843612 6431),(2.35502609215 6560),,,,
Point4,H5,(3.86768005612 135),(2.09392713336 320),(5.31182876898 477),(3.68328299069 655),(5.01638316047 809),(17.4318506882 931),(3.56714518363 1168),,(2.10958022237 1486),(2.10035911035 1663),,,(4.05864072419 2159),,(2.52632768077 2495),(3.50709195006 2671),,,(2.53981369057 3184),,,(2.26957822738 3696),,(15.4731018186 4093),,,(2.53432337174 4543),(1.18042835225 4719),(6.86474153002 4819),(9.1027008777 4995),,(9.25820689174 5332),(1.39596605367 5567),,,,,(12.6844342438 6460),(2.36373676096 6564),,,,
Point4,H6,(1.06581410364e-14 163),(7.1054273576e-15 334),(5.3290705182e-15 499),(-5.3290705182e-15 671),(1.06581410364e-14 839),(1.59872115546e-14 1013),(-0.00834065763411 1185),(7.1054273576e-15 1344),(2.6645352591e-14 1506),(-8.881784197e-15 1678),(0.0 1843),(-1.7763568394e-15 2017),(1.7763568394e-14 2177),(-1.06581410364e-14 2342),(-3.5527136788e-15 2513),(3.5527136788e-15 2688),(-0.0138539869296 2864),(1.7763568394e-14 3037),(3.5527136788e-15 3200),(1.06581410364e-14 3367),(7.1054273576e-15 3538),(-7.1054273576e-15 3712),(-0.0220946615559 3889),(-3.5527136788e-15 4057),(8.881784197e-15 4223),(-0.010972074696 4386),(4.4408920985e-15 4561),(1.33226762955e-14 4661),(-0.0134670466032 4734),(-5.77315972805e-15 4896),(1.59872115546e-14 5071),(1.86517468137e-14 5231),(-0.00580152323774 5408),(2.6645352591e-15 5582),(0.0 5760),(-0.00241412274135 5925),(3.5527136788e-14 6094),(1.42108547152e-14 6260),(-0.00211181843612 6431),(6.2172489379e-15 6604),(-1.42108547152e-14 6771),(-0.0229319688719 6937),
Point5,H1,(28.0147442921 27),(26.082033804 201),(24.5104910663 382),(21.6143036553 540),(19.4751903829 698),(24.3131432805 898),(17.3321319133 1048),(16.1409890021 1221),(16.3613998269 1380),(18.0925973284 1544),(16.8518399107 1710),(19.3189884772 1882),(16.669397905 2066),(17.2197957326 2216),(18.5664777297 2377),(17.6272085358 2556),(23.6740665605 2741),(15.4762703307 2897),(17.091749589 3066),(17.1106198359 3251),(14.6269679367 3401),(16.1665068979 3583),(15.8899437488 3757),(13.3366557181 3920),(12.678452086 4113),(12.8412743015 4254),(13.5895190835 4427),(8.99015177702 4588),(11.9229304476 4763),(10.9376693055 4936),(10.9475025851 5114),(12.7964580486 5271),(12.5469479278 5458),(14.0135505335 5633),(11.1022639584 5788),(11.7831023893 5964),(16.009920321 6148),(7.8183373287 6295),(11.3927698789 6482),(12.3824879845 6634),(13.160247964 6807),(11.1014136411 6994),
Point5,H2,(25.3911820966 40),,,,,(15.0201508223 922),,,,(4.74576266817 1601),(16.4562070843 1719),(17.5395055567 1897),,,(15.9047916698 2394),(4.30555844116 2636),(14.369786496 2779),,(14.9794995496 3081),,(13.094490796 3415),,,,(8.63474896776 4137),,,(-0.0078937983154 4660),(10.978189781 4777),(6.94512394734 4982),(5.31609672709 5150),(10.7239873498 5291),,,(10.2510447645 5800),,,,,,(7.64163847717 6852),,
Point5,H3,(26.0680575678 49),,,,,(15.6245614487 931),,,,(4.7513552377 1603),(16.6816106074 1728),(17.7121145889 1904),,,(16.0785219358 2401),(4.37940420184 2642),(14.3873824805 2783),,(15.6178719737 3091),,(14.5806238553 3430),,,,(9.45435395461 4151),,,(3.54427883809 4696),(11.0260645125 4782),(7.46486782697 4996),(5.33930950321 5154),(10.7640829015 5296),,,(10.6043043964 5811),,,,,,(8.68738299111 6867),,
Point5,H4,,(1.03969926161 312),(4.89577002898 474),(1.49579997402 638),,,(1.65893573738 1152),,,(0.0874910340551 1651),,(11.9003938093 1932),(2.50902561584 2147),,,(3.02419751903 2661),,,(1.61981223311 3175),,,(1.12557429576 3685),,(0.777375202193 4019),,,,(2.76712492095 4713),(6.02208691983 4812),,(-0.00482023352001 5204),(7.76565247447 5323),(2.568042128 5530),(5.56400587412 5706),,(-0.0101159283377 6093),,,,,(-0.0455724066305 6940),,
Point5,H5,,(1.30282225551 320),(4.9115664203 477),(2.73626440242 655),,,(2.47419824548 1167),,,(0.689201451268 1665),,(11.9664572577 1937),(3.3039021642 2159),,,(3.39418802842 2671),,,(1.91289506567 3184),,,(1.63799365465 3696),,(1.72217985341 4036),,,,(2.80775248586 4719),(6.0720680909 4818),,(0.542153474922 5219),(7.92100190649 5331),(2.87077032303 5541),(5.74482261057 5715),,(15.2698011604 6124),,,,,(9.12341806823 6971),,
Point5,H6,(2.13162820728e-14 160),(8.881784197e-15 333),(-1.7763568394e-15 499),(-7.1054273576e-15 671),(-7.1054273576e-15 838),(-0.00882668092891 1013),(5.3290705182e-15 1184),(2.57571741713e-14 1344),(-0.00826035760585 1503),(-0.00167321002411 1676),(-7.1054273576e-15 1843),(-1.42108547152e-14 2017),(-2.48689957516e-14 2178),(7.9936057773e-15 2341),(-7.9936057773e-15 2513),(8.881784197e-15 2689),(-0.00665601956596 2865),(1.95399252334e-14 3038),(8.881784197e-15 3199),(3.5527136788e-15 3368),(4.4408920985e-15 3539),(-6.2172489379e-15 3712),(-0.0150899409649 3889),(-0.00726620316695 4057),(1.06581410364e-14 4223),(-0.0308097017684 4387),(-0.0104270336186 4560),(-0.0078937983154 4660),(2.02050939762 4734),(-3.5527136788e-15 4892),(-0.00926456296033 5071),(-0.00482023352001 5204),(-0.00213613697162 5408),(-5.3290705182e-15 5581),(-3.5527136788e-15 5761),(0.0 5927),(-0.0101159283377 6093),(-0.0557627093192 6264),(-0.0068257292932 6346),(-0.0184494825142 6429),(5.3290705182e-15 6604),(-8.881784197e-16 6771),(-0.0455724066305 6940),
