Cycle,0.875826155462
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point2,H6,(-0.0084117067999 142),(-0.00369666687199 324),(-0.00377666528449 523),(-4.88498130835e-15 737),(-1.7763568394e-15 905),(4.88498130835e-15 1111),(6.2172489379e-15 1326),(-1.33226762955e-15 1515),(2.6645352591e-15 1700),(1.7763568394e-15 1918),(3.5527136788e-15 2104),(2.82460402037 2212),(7.54951656745e-15 2295),(-0.00533258718881 2508),(-0.00155090534716 2700),(-0.00425162252947 2914),(-3.5527136788e-15 3100),(-0.00930142121625 3287),
Point3,H1,(18.4957200585 84),(17.6410555963 275),(17.1433996254 481),(18.6884259865 674),(15.2233420832 867),(13.688519288 1066),(16.3733069021 1264),(15.0913669758 1469),(17.3059670479 1664),(13.6700988262 1856),(18.5066617874 2065),(20.0268296432 2257),(17.0808027952 2448),(16.887962264 2658),(19.6756267318 2848),(21.985065877 3040),(17.7421057372 3249),(17.7226596836 3440),
Point3,H2,,,(-0.0409195352714 543),(-0.0117944021163 722),(-0.00872327630964 914),,,(4.4408920985e-15 1524),(-0.0114904910382 1741),,(-0.00177713529892 2156),,,(0.7747915016 2738),(3.48196006461 2896),,,,
Point3,H3,,,(0.806872376337 577),(0.94156319814 744),(3.40108221716 980),,,(2.70982154835 1556),(0.653976888818 1764),,(0.916563747492 2175),,,(0.918587395606 2751),(3.60869013619 2903),,,,
Point3,H4,,,(0.489747100413 592),(0.794047903587 754),(2.05814855611 997),(-0.0716528884578 1117),,(1.17757899134 1588),(0.641944480284 1769),,(0.913131771939 2178),(-0.0236766665334 2326),,(-0.0243644589392 2773),(-0.035584864429 2933),,(-0.00488416619514 3335),,
Point3,H5,,,(2.14110263913 616),(4.99299107817 819),(5.24695990361 1015),(7.54024458442 1219),,(5.76812481635 1608),(1.96039234717 1809),,(3.3689702722 2199),(3.12499107807 2395),,(0.990066572598 2794),(5.16564954859 2998),,(2.46528337396 3399),,
Point3,H6,(4.4408920985e-15 53),(-0.0458127280022 163),(1.64313007645e-14 247),(1.06581410364e-14 357),(0.0 440),(-0.0409195352714 543),(-0.027710513633 638),(-0.0117944021163 722),(-7.1054273576e-15 839),(-0.00872327630964 914),(-1.33226762955e-15 1033),(-0.0716528884578 1117),(3.8998878292 1238),(-1.28785870857e-14 1337),(-2.6645352591e-15 1433),(4.4408920985e-15 1524),(1.06033435847 1626),(-0.0114904910382 1741),(-0.00429063213941 1827),(8.881784197e-16 1929),(-8.43769498715e-15 2024),(-0.00177713529892 2156),(-0.0236766665334 2326),(1.24344978758e-14 2525),(8.881784197e-15 2581),(-0.0243644589392 2773),(-0.035584864429 2933),(-7.9936057773e-15 3175),(-0.00488416619514 3335),
Point4,H1,(28.408441344 32),(32.9867813853 224),(30.2212846461 430),(31.9379134911 622),(31.2843122398 815),(28.4120088451 1009),(36.9612335971 1214),(29.7001510516 1416),(34.2000035129 1613),(30.5981671299 1805),(35.8541128343 2013),(38.1955881447 2206),(35.725097979 2398),(38.1081600624 2607),(36.4917205957 2798),(43.5588108079 2989),(36.7072165462 3197),(35.6751377489 3389),
Point4,H2,(-0.0117565153034 114),,,(0.794698735149 674),,,,(2.08654265516 1486),(2.50112932972 1694),,(1.82248630421 2109),(-0.0603507387841 2298),,,,,(-0.0633185767244 3284),,
Point4,H3,(1.97549280104 151),,,(0.820461275892 679),,,,(2.65979501566 1504),(2.55433253856 1701),,(2.05457979966 2119),(-0.0477835355288 2304),,,,,(0.0174320345778 3294),,
