Cycle,0.805838541667
Average Width,4.2354707941
Width,,4.38578090111,4.17305610402,4.3752136807,4.87567225162,4.17208960688,3.97841050545,4.22847988736,4.19982941348,4.21991974925,4.43592315763,4.16440936316,4.26026267111,4.82008084722,4.11651153726,4.52989120416,4.3877333563,3.87261789981,4.16130837893,4.4472646016,3.91798169597,4.02697205046,4.46927623187,4.10041397618,4.24952377307,4.3492123003,3.93904914559,3.78081101724,4.44211190288,4.02189515225,3.89581776502,4.30207448928
Point1,H5,(2.70360035133 141),(3.55607792454 304),(11.7663715406 398),(1.6411368625 638),(3.70065613327 797),,(2.15626116869 1127),,(13.0576684072 1423),(2.9814443167 1662),(1.06191159413 1854),,(8.34621484086 2125),(3.3539400902 2347),(2.66283541431 2510),(2.23845429713 2656),(3.41385107576 2803),(1.77140594878 2989),(2.38021589552 3134),,(4.21413514239 3515),(2.88689953283 3676),,(3.78660900035 4031),(1.13782131937 4207),,(2.56850834329 4538),(9.51013887713 4639),,,
Point1,H6,(8.881784197e-16 159),(1.95399252334e-14 319),(2.48689957516e-14 494),(2.22044604925e-14 653),(-0.00500126448314 826),(-0.00697748534284 1006),(5.3290705182e-15 1155),(8.881784197e-15 1341),(8.881784197e-15 1517),(1.06581410364e-14 1678),(1.7763568394e-14 1866),(2.30926389122e-14 2035),(1.7763568394e-14 2201),(1.95399252334e-14 2370),(-7.1054273576e-15 2526),(4.4408920985e-15 2670),(-3.5527136788e-15 2839),(-1.06581410364e-14 3004),(-9.7699626167e-15 3152),(-5.3290705182e-15 3342),(-0.0144541148034 3535),(-1.95399252334e-14 3697),(-2.84217094304e-14 3886),(-2.57571741713e-14 4048),(-1.24344978758e-14 4219),(-1.7763568394e-15 4398),(-2.6645352591e-15 4557),(-0.0123552584645 4721),(-1.42108547152e-14 4911),(-0.000383455701243 5071),
Point2,H1,(18.9705026988 35),(16.0482805164 187),(20.2078200085 346),(20.1622614337 528),(16.3364920133 680),(21.1988777265 853),(19.3251249411 1030),(18.6023302846 1188),(22.5933955888 1367),(18.9596705728 1542),(20.6367142458 1704),(22.6385905804 1893),(18.2010053239 2067),(21.2347466514 2229),(20.4780820486 2403),(16.8799976603 2551),(18.1302352789 2699),(19.5755463719 2869),(18.41092536 3031),(18.0053529716 3185),(20.9025501023 3371),(18.1140026589 3562),(18.3895470853 3730),(19.7999433412 3912),(15.6739610884 4074),(18.9593962996 4245),(19.3268355431 4425),(15.4940802978 4584),(19.1665909881 4756),(19.0844998984 4937),(15.5334673479 5100),
Point2,H2,(10.3792048451 61),(6.28560540977 223),,(10.7396702627 561),(6.80877237462 716),,,,(11.8291903147 1411),(7.47716618354 1582),,,(6.07505374065 2093),,(8.07032233178 2431),(5.22344696501 2585),,,(7.62555014691 3068),,(10.8101844566 3405),(7.1544802763 3598),,(9.70725495954 3950),(5.57117394012 4107),,(9.21922541624 4461),,,,
Point2,H3,(10.5752127364 69),(8.11658475652 241),,(10.9425564945 571),(8.27192002076 734),,,,(12.5087904519 1422),(9.42716626253 1600),,,(7.75808400849 2123),,(8.76929885658 2456),(8.49284597681 2607),,,(9.69198804265 3087),,(11.9626762252 3421),(9.5766337106 3617),,(10.7172378081 3966),(8.36586422892 4127),,(10.1966558887 4477),,,,
Point2,H4,(2.83657829506 130),(2.05592903789 289),,(1.45310828067 628),(2.07181500628 778),,(7.58375883739 1071),,(3.01777415447 1490),(2.6064341367 1650),(11.264487279 1743),,(0.953678510632 2165),(2.75658157472 2334),(1.48913221685 2499),(0.773185422742 2643),,,(1.71733559156 3124),,(3.25141040194 3507),(1.87311100947 3663),,(2.35521903442 4017),(0.545697946354 4197),,(2.08646558253 4530),(5.61790866411 4617),,,
Point2,H5,(3.02908248069 139),(3.27110339153 302),,(1.87336609137 638),(2.81146963044 795),,(8.41753945758 1085),,(3.32030339866 1500),(2.99503570124 1660),(11.9598013639 1756),,(0.955242086406 2167),(2.94551798852 2343),(1.9677485977 2510),(1.86097268644 2655),,,(1.89741197755 3132),,(3.52796128441 3516),(2.58825331367 3677),,(3.4017922511 4030),(0.696114240891 4206),,(2.56287171017 4541),(7.90891892741 4638),,,
Point2,H6,(0.0 158),(-5.3290705182e-15 318),(-0.00258870270731 495),(1.7763568394e-15 652),(-1.7763568394e-15 825),(-0.00561670349265 1004),(1.68753899743e-14 1153),(1.7763568394e-15 1340),(-3.5527136788e-15 1517),(-3.5527136788e-15 1677),(-0.00502300775507 1865),(3.5527136788e-15 2034),(9.7699626167e-15 2200),(3.5527136788e-15 2368),(7.1054273576e-15 2524),(8.881784197e-15 2669),(1.59872115546e-14 2840),(1.33226762955e-14 3004),(7.1054273576e-15 3150),(8.881784197e-15 3341),(-8.881784197e-15 3534),(-6.2172489379e-15 3696),(8.881784197e-15 3885),(1.86517468137e-14 4047),(2.75335310107e-14 4217),(2.30926389122e-14 4397),(1.24344978758e-14 4557),(-0.0025849403904 4718),(-3.5527136788e-15 4910),(0.0 5070),
Point3,H1,(12.6874215099 35),(10.4032079629 186),(14.1285871094 347),(16.1724310801 529),(11.3645550673 681),(12.635396026 853),(13.5086681153 1031),(12.1546730437 1187),(15.8300817889 1368),(12.1199634615 1543),(12.8725989507 1704),(14.9087266341 1894),(12.4696029488 2067),(13.1911195149 2230),(13.0046489442 2402),(10.0340357943 2551),(9.28695841258 2700),(10.9743728804 2870),(11.1644378492 3031),(10.365165186 3186),(12.1433498036 3370),(11.3739969939 3561),(10.8908041828 3730),(11.8921610615 3911),(8.77693132406 4074),(10.292482952 4245),(11.7047893898 4424),(8.95162526774 4583),(10.4902533891 4755),(10.3994230616 4937),(8.84530003032 5098),
Point3,H2,(6.99521697132 64),,(7.4305271838 383),(8.93152828836 562),(4.98190154297 715),(8.28433951687 873),(5.86677225269 1071),(6.19463423163 1211),(9.23330093968 1406),(4.96389228758 1580),(7.46579377096 1742),(6.79747483643 1939),(5.33688213518 2094),(7.57291475335 2256),,(3.2004241394 2585),(4.7542702599 2733),(5.52698682739 2918),(4.85232009319 3070),,(7.70313607001 3407),(5.12626745389 3599),,,,,(6.22941926358 4461),(4.31798405103 4614),(5.93478373072 4777),,
