Cycle,0.683281733746
Average Width,4.006084261
Width,,4.00986865517,3.98386666948,3.9169703625,3.94136507225,4.12866249537,4.13801362213,3.97685307212,3.8984693684,4.18341906319,3.97460162529,4.01637236242,4.03738317929,4.04651591842,3.97048422729,4.00284439528,4.08457238972,3.94316959142,3.8560846283
Point1,H6,(-0.00964470709439 141),(-2.48689957516e-14 289),(-1.24344978758e-14 436),(-0.0189222618714 588),(-2.13162820728e-14 730),(0.0 882),(-1.95399252334e-14 1029),(-1.95399252334e-14 1173),(1.7763568394e-15 1315),(-5.3290705182e-15 1460),(-3.5527136788e-15 1607),(3.5527136788e-15 1748),(-7.1054273576e-15 1891),(-1.42108547152e-14 2022),(-2.48689957516e-14 2163),(3.5527136788e-15 2297),(3.5527136788e-15 2436),(-7.1054273576e-15 2581),(-1.7763568394e-15 2744),
Point2,H1,(17.8104462357 66),(16.8024873726 208),(20.2052124612 354),(18.191095164 505),(17.723614284 656),(16.7194438763 800),(20.7386377067 947),(19.5556818982 1101),(16.2989182174 1243),(19.5018116439 1381),(19.7122682048 1532),(18.8544482738 1679),(16.8123990769 1818),(18.9694566994 1958),(19.9760075727 2094),(18.1700741996 2229),(17.4966067339 2367),(21.8291938074 2502),(23.8478191821 2654),(21.9120480462 2815),
Point2,H2,,,(8.27532525574 399),,,(7.4949298425 831),,,(7.66140532762 1274),(8.5064174489 1423),,(8.36058491444 1710),(6.96726026202 1849),,,,(5.60786471953 2396),(8.56768559305 2541),,
Point2,H3,,,(8.44127763264 407),,,(8.1191821648 851),,,(8.39158465559 1288),(8.95723251028 1434),,(8.38594312296 1714),(8.60946512129 1866),,,,(6.54901598934 2415),(9.39907853237 2554),,
Point2,H4,(7.66654318217 109),(6.80236270877 250),(2.04792358723 446),,,(1.09334684283 895),(9.20744789472 991),(2.06415356874 1184),(3.28387378297 1327),(3.06558827042 1470),(9.75613154612 1568),(3.04164775662 1759),(1.921872251 1902),(7.89199266202 2001),(2.90841422241 2176),(8.61531712433 2266),(1.9799558903 2445),(2.7290616083 2590),,
Point2,H5,(8.06211361641 119),(7.18388615566 261),(2.3971971844 456),,,(1.35696257326 905),(9.37968570001 999),(2.11629891766 1190),(3.50944435363 1335),(3.31790446039 1479),(9.95978465228 1579),(3.32335670244 1768),(2.2566901652 1912),(7.97514330254 2007),(3.22698485464 2184),(9.4935811604 2279),(2.80163299213 2457),(2.77832771067 2595),,
Point2,H6,(3.5527136788e-15 177),(4.4408920985e-15 326),(-1.24344978758e-14 472),(-0.0117399041995 625),(-1.24344978758e-14 767),(-1.7763568394e-15 918),(1.7763568394e-15 1065),(-3.5527136788e-15 1209),(0.0 1353),(-8.881784197e-15 1498),(-1.59872115546e-14 1645),(-1.24344978758e-14 1787),(1.06581410364e-14 1928),(-0.00305599906537 2058),(1.7763568394e-15 2201),(-8.881784197e-16 2336),(-0.00596359614935 2472),(-0.00247328080171 2618),(8.881784197e-16 2780),
Point3,H1,(6.33319289062 114),(7.46363729006 260),(8.32768199856 407),(6.90956874722 563),(8.52774565572 699),(8.16939056146 855),(8.41132953823 1002),(7.74123563886 1147),(8.43174854071 1288),(7.51384311338 1434),(7.23354858064 1574),(8.46915084358 1718),(7.94093400557 1861),(6.2386627829 1994),(7.4269450885 2134),(7.79376553339 2266),(6.83041118595 2409),(7.37001119109 2554),
Point3,H2,(-0.00376168492259 143),,,,(-1.42108547152e-14 734),(-7.9936057773e-15 881),,(-2.22044604925e-15 1180),(1.7763568394e-15 1315),,,,,,(0.0 2161),(4.4408920985e-15 2302),,,
Point3,H3,(3.82898984802 177),,,,(5.26269936407 762),(5.22942217458 924),,(4.35833434936 1210),(4.61032630264 1355),,,,,,(7.35335525604 2209),(4.371208832 2332),,,
