Cycle,0.753805555556
Average Width,15.8727207452
Width,,12.9078632148,23.4130021185,16.359434267,10.8150488257,14.3192330061,12.9390082138,12.0129084523,15.1303517442,13.2099580249,12.6658046563,12.3089917841,12.233768641,9.98352211018,16.452444789,0,0,49.1786238801,15.3228978544,12.1216980149,12.0814749547,20.7034770224,13.8602478325,13.2139270745,14.8800010434,17.7283404919,11.5304212013,20.7751659048,0,14.252780379,0,0.0,17.9735244113,0,0.0,17.0559882699,14.8789934283,0.0
Point3,H3,,(5.28596035661 239),,,,(6.89179521052 851),,(8.08983279368 1172),(5.29061570394 1313),,,(3.59660152527 1783),,(4.86102627326 2075),,,(8.59951011829 2515),,,,(3.9605795868 3175),(0.809998173886 3372),,(4.737020848 3606),(2.15146239669 3813),,,(3.09008376568 4265),(4.48995208087 4418),,(5.06232121076 4741),(5.18165264818 4884),(5.31978837647 5029),(4.91691456217 5195),,,,
Point3,H4,(3.69767640856 78),(1.82617610157 278),,,,(0.930481515407 908),(5.97609645421 1004),(3.5100136782 1203),(-7.9936057773e-15 1365),(1.06962906596 1510),,(1.61637198005 1817),,(0.337930447415 2124),,(1.40272642668 2378),(-0.003085759862 2604),(1.17646045155 2746),,,(2.11197231902 3209),(1.7763568394e-15 3392),,(0.137692448095 3670),(1.07102188633 3833),(2.91328721618 3979),(0.281298024548 4145),(0.650537552378 4304),(2.05993320796 4465),(0.820689249294 4631),,,,,(3.46277393173 5354),,,
Point3,H5,(4.7172174457 100),(2.37751496361 290),,,,(0.947784312208 912),(6.02331655576 1010),(3.73507631706 1213),(1.33532204329 1382),(2.19538036076 1524),,(1.6314352202 1822),,(0.404491513082 2132),,(2.13588736356 2398),(0.0690803286098 2612),(1.28823150839 2755),,,(2.18722536669 3216),(8.34089811319 3424),,(1.12006193743 3685),(1.16067504494 3841),(2.97804899884 3989),(0.572637967112 4161),(2.24602850922 4323),(2.30789620106 4479),(1.14581258773 4643),,,,,(3.76811657426 5368),,,
Point3,H6,(-0.0257398106814 1),(-0.00666277987394 149),(1.7763568394e-15 307),(3.5527136788e-15 466),(5.3290705182e-15 615),(1.50990331349e-14 769),(1.33226762955e-14 927),(-1.7763568394e-15 1076),(-1.7763568394e-15 1238),(-7.9936057773e-15 1365),(8.881784197e-15 1541),(-0.000898650795558 1695),(-5.3290705182e-15 1844),(-2.6645352591e-15 2001),(-0.00446380564933 2145),(-6.2172489379e-15 2304),(-0.0110246941112 2457),(-0.003085759862 2604),(-0.00539684271893 2776),(5.3290705182e-15 2930),(1.33226762955e-15 3083),(1.37667655054e-14 3236),(1.7763568394e-15 3392),(-5.3290705182e-15 3540),(6.66133814775e-15 3700),(-0.00175189987569 3857),(-1.7763568394e-15 4019),(-1.02140518266e-14 4178),(-1.1990408666e-14 4340),(-7.1054273576e-15 4499),(7.1054273576e-15 4659),(-0.00274521914228 4815),(8.881784197e-15 4960),(-4.4408920985e-16 5120),(-0.0027099586331 5262),(-9.7699626167e-15 5426),(3.5527136788e-15 5567),
Point4,H1,(10.1346402925 33),(11.3541675762 189),(11.5567678304 345),(11.39797247 498),(11.597390319 655),(13.0333171763 806),(11.6000145919 960),(12.6705337811 1118),(8.3915638829 1276),(11.512533185 1424),(11.3373441869 1583),(9.48198872783 1727),(8.893523267 1890),(9.11459822834 2036),(8.11735254816 2189),(7.82400394396 2334),(10.2491831801 2494),(9.5632816114 2654),(8.5373957443 2816),(9.903154944 2968),(8.3642368933 3117),(8.22532892173 3273),(8.19167824521 3426),(6.27124639326 3578),(7.93001986329 3744),(8.61902512826 3896),(6.35841148838 4057),(5.73402096002 4219),(6.30421478156 4371),(6.68562596154 4528),(6.90254525987 4696),(7.65287306322 4849),(7.84379226341 5004),(5.77081337525 5150),(6.10109745441 5310),(7.04601893874 5477),(7.75745396367 5619),
Point4,H2,,(4.68181769298 235),,,,,(6.03842404727 1004),(6.41658921514 1162),,,,(2.84199104204 1772),,,,,,,(3.81777993699 2852),,(3.43912419049 3164),,,,(2.16658745159 3804),,(2.24568953452 4107),(2.62110349122 4250),,,(4.49614276012 4733),,,(3.87111147645 5175),,,,
Point4,H3,,(5.1484835029 247),,,,,(6.15904660204 1012),(7.69413797893 1176),,,,(3.15173601658 1784),,,,,,,(4.05735034602 2864),,(3.80402517117 3184),,,,(2.58046236408 3816),,(2.66066935255 4119),(3.32563995237 4266),,,(4.81050949359 4748),,,(4.00443502444 5194),,,,
Point4,H4,(3.11133137463 82),(1.54361675928 279),,(5.2195511298 541),(1.68156102838 746),(0.466760281035 909),(2.02340410344 1049),(3.03664457215 1209),(-0.0018250654481 1369),(1.07916271123 1515),(2.12906225341 1661),(0.743046870955 1817),,,(4.68574015059 2220),(1.88840484427 2380),,(3.93940190877 2700),(1.40230047226 2905),,(1.36605950687 3211),(0.370948715435 3370),(7.16463846263 3461),,(1.13449986566 3838),(2.14693155053 3992),(0.461808853824 4144),(0.541745111852 4302),,(0.603441321442 4633),(1.61075187945 4790),,(2.23250175436 5085),,(2.37629423468 5359),,,
Point4,H5,(3.50630771214 100),(2.49048896742 294),,(5.5529632262 553),(1.91895974154 756),(0.540699027033 917),(2.02582465784 1051),(3.06574105293 1214),(1.38386786799 1386),(1.12206083387 1522),(2.19891045511 1670),(1.13974069236 1830),,,(5.32798357148 2236),(2.76226100497 2398),,(4.2754197113 2712),(1.40694136243 2908),,(1.85714370269 3222),(0.56036514951 3381),(7.38753657664 3474),,(1.2030102039 3844),(2.56534564334 4004),(0.727629834997 4157),(2.33509173424 4326),,(1.22986399864 4647),(1.63799725215 4797),,(2.2325116497 5086),,(2.73084676523 5377),,,
Point4,H6,(-0.109482670221 3),(-0.00971432147666 152),(-1.06581410364e-14 311),(-0.00860968683901 469),(-0.00168987093766 618),(1.7763568394e-15 773),(-1.50990331349e-14 929),(-1.24344978758e-14 1080),(0.0 1240),(-0.0018250654481 1369),(-8.881784197e-16 1542),(-1.7763568394e-15 1697),(8.881784197e-15 1848),(-0.00677215889728 2003),(-0.00499105495519 2142),(-8.43769498715e-15 2307),(-0.00640721003221 2459),(-0.00724281059483 2606),(-0.00780607552924 2779),(4.4408920985e-15 2932),(7.1054273576e-15 3088),(-2.6645352591e-15 3240),(2.6645352591e-15 3394),(0.0 3544),(1.7763568394e-15 3701),(1.24344978758e-14 3861),(-8.881784197e-16 4024),(8.881784197e-15 4179),(1.06581410364e-14 4344),(8.881784197e-15 4503),(7.1054273576e-15 4662),(4.4408920985e-15 4820),(-2.6645352591e-15 4967),(-3.10862446895e-15 5124),(7.9936057773e-15 5274),(-0.00493352633377 5426),(3.99680288865e-15 5577),
