Cycle,1.03416085947
Average Width,7.1258003221
Width,,6.70070724715,6.9239183409,6.92950947583,7.4118070167,6.59034316308,7.68331300666,6.91291297287,7.10696569859,6.70680571974,7.19931290064,6.87512617838,6.90834361124,7.02426695066,6.80422391387,6.65394867978,6.7272591092,6.72111091404,8.40533302107,7.18683898734,7.16564679864,7.34406450539,7.61292149837,7.27347852156,8.42939314827,7.33861642321,7.33290354147,7.23928133064,7.18478016094,7.2322309261,7.53345171967,7.0067957548,6.96236326198,7.44970966119,6.09055473151,7.2928116508,6.77401159978,7.37759960531,7.00219284867,6.85436453746,6.94792955762,7.24066451515
Point2,H6,(2.57571741713e-14 220),(1.86517468137e-14 441),(3.5527136788e-15 656),(3.5527136788e-15 876),(1.7763568394e-14 1087),(3.19744231092e-14 1305),(5.3290705182e-15 1520),(5.3290705182e-15 1743),(6.2172489379e-15 1955),(2.48689957516e-14 2175),(-1.06581410364e-14 2398),(-3.5527136788e-15 2610),(-2.13162820728e-14 2828),(-1.59872115546e-14 3040),(-3.28626015289e-14 3261),(-2.39808173319e-14 3473),(-2.6645352591e-14 3687),(-2.6645352591e-14 3904),(-0.00114947817415 4118),(-0.00243653652146 4332),(5.3290705182e-15 4542),(-2.13162820728e-14 4753),(-1.7763568394e-15 4971),(-7.1054273576e-15 5182),(-1.7763568394e-15 5390),(-0.00179040109566 5599),(3.5527136788e-15 5819),(-1.24344978758e-14 6031),(-1.59872115546e-14 6239),(-1.95399252334e-14 6450),(-1.59872115546e-14 6670),(-0.00365305640031 6880),(7.9936057773e-15 7007),(-0.0213555235797 7085),(-0.00575976595675 7312),(1.7763568394e-15 7505),(4.4408920985e-15 7746),(1.59872115546e-14 7936),(-7.1054273576e-15 8177),(1.7763568394e-15 8399),(-0.0117329660009 8615),
Point3,H1,(13.8181142852 33),(13.4606672765 249),(13.3409696462 473),(14.4729585305 697),(15.79404683 907),(16.6579186743 1124),(15.5846879862 1337),(16.6331750571 1560),(13.3375991677 1770),(16.4092418748 1993),(16.4110867965 2220),(15.7606900343 2426),(16.8554686087 2648),(14.9510524879 2857),(16.0131391799 3077),(16.3277856006 3290),(16.6842888327 3513),(15.4438283377 3751),(20.0765976585 3950),(20.9590330595 4153),(22.1990245533 4362),(23.0562869656 4573),(23.7951001743 4792),(24.4895329059 5024),(22.0672947887 5211),(21.8095607316 5441),(23.2864577387 5640),(21.2277608748 5849),(21.1693588971 6060),(22.7405841881 6271),(21.1522899911 6489),(20.8654303139 6700),(18.8452527359 6914),(20.7063641262 7128),(19.2944293622 7349),(19.3443936835 7563),(16.921812244 7784),(18.5899026767 7995),(18.9219763654 8216),(19.5071063016 8436),(18.4078829206 8649),
Point3,H2,,,,,,,,,,,,,,,(8.2820018673 3130),,,(13.8927495207 3768),,(10.1415747756 4204),,(21.9948035903 4584),,(13.8348756885 5050),,,,,(3.35058194202 6186),(7.34793462595 6371),(11.2407834982 6536),,,,(1.62924137186 7461),(17.9974536557 7576),(8.2440984027 7833),(16.9543027485 8007),(11.1732366372 8266),,
Point3,H3,,,,,,,,,,,,,,,(8.59286660025 3140),,,(14.2504501269 3778),,(10.195912129 4209),,(22.2980218669 4592),,(14.8868290918 5062),,,,,(3.50010522156 6194),(7.35028710219 6374),(11.6810381957 6546),,,,(1.74906150014 7470),(18.3761459138 7585),(8.7271954139 7843),(17.7738427084 8018),(11.3221405306 8274),,
Point3,H4,(0.669279093444 202),,,,,(4.35483949367 1215),,,,,(1.98788399475 2375),,(0.928621260789 2807),,(0.661257180337 3235),,(-3.5527136788e-15 3687),(2.62003067339 3875),,(1.60492751974 4308),,(2.59235306503 4725),,(1.09520653106 5156),,,(12.5811148189 5693),,(2.22697035619 6211),(3.52673520242 6420),(2.07172998616 6647),,(4.28745572443 7005),,(0.296928882515 7508),(1.41236095845 7710),(0.210740162106 7938),(1.14925792222 8148),(3.55915524652 8371),,
Point3,H5,(0.688527805389 207),,,,,(4.36735273116 1219),,,,,(2.01469148461 2380),,(1.13408830084 2816),,(1.56157618901 3249),,(15.2051491458 3721),(3.86109171387 3888),,(1.77436543272 4318),,(2.97460477442 4735),,(2.4059975326 5169),,,(12.5981371607 5696),,(3.07114750757 6224),(3.55776205952 6425),(2.31407551421 6655),,(7.31541699564 7030),,(0.624729726391 7520),(1.87362086551 7724),(1.52056309912 7953),(1.42848282612 8159),(3.65503777952 8378),,
Point3,H6,(8.881784197e-16 220),(-7.9936057773e-15 438),(-6.2172489379e-15 656),(-4.4408920985e-15 876),(1.33226762955e-14 1089),(9.7699626167e-15 1305),(1.59872115546e-14 1522),(-0.00204953250745 1744),(-6.2172489379e-15 1955),(8.881784197e-15 2176),(0.0 2398),(9.7699626167e-15 2611),(1.7763568394e-15 2829),(8.881784197e-15 3041),(9.7699626167e-15 3262),(-8.881784197e-16 3474),(-3.5527136788e-15 3687),(-1.59872115546e-14 3905),(-0.000616409754326 4117),(-3.19744231092e-14 4333),(-8.881784197e-15 4543),(-1.7763568394e-15 4754),(1.7763568394e-15 4971),(-5.3290705182e-15 5183),(-3.5527136788e-15 5391),(-0.00307549953157 5600),(-8.881784197e-15 5819),(0.0 6031),(-0.00513411112084 6239),(-7.1054273576e-15 6450),(0.0 6670),(-3.5527136788e-15 6880),(-1.06581410364e-14 7089),(-3.5527136788e-15 7313),(-1.15463194561e-14 7531),(-1.7763568394e-15 7746),(8.881784197e-15 7966),(-0.00639163194923 8178),(0.0 8400),(7.9936057773e-15 8616),
Point4,H1,(11.0650501796 32),(10.3942276876 249),(9.89800979493 473),(11.0316702599 695),(13.2089086599 905),(14.0536105577 1121),(12.6215674548 1337),(13.8329581644 1559),(10.804181026 1770),(14.3194069382 1993),(13.4690906517 2207),(13.3857646608 2425),(14.0156462494 2648),(13.2829107649 2856),(13.7370287241 3077),(13.4957955156 3290),(13.6126373969 3512),(15.0131805429 3779),(17.5811464585 3934),(18.4715451623 4152),(19.6912624615 4361),(21.0107849305 4572),(21.0126208801 4792),(22.4967534585 5006),(19.592484138 5211),(19.6700155246 5420),(21.0796123455 5640),(19.8497472295 5849),(19.455104073 6059),(20.8035976326 6270),(19.292614518 6488),(18.3943448761 6699),(17.5870052085 6910),(18.4508090551 7128),(16.0406479244 7344),(17.5489328787 7562),(15.3029698994 7783),(17.238050699 7994),(16.8592002694 8216),(17.7350527622 8434),(16.5575476107 8649),
Point4,H2,(9.4291187371 61),,,,,,,(8.09319114315 1611),,,(13.1670860194 2217),,,,(7.12362250747 3127),,(-8.881784197e-15 3687),,(17.1044011838 3943),,,(19.5906676075 4584),(12.1485619282 4843),,,(18.4696924462 5431),,,(2.84420150302 6183),(7.61442317582 6371),(10.3524514438 6535),,(5.30967267603 7007),,,(15.7994559446 7576),(8.30080207567 7831),(14.7715411539 8008),,,
Point4,H3,(9.58397263158 73),,,,,,,(8.1800339433 1618),,,(13.2526355297 2224),,,,(7.88906025519 3141),,(12.9190394455 3719),,(17.4198496409 3953),,,(20.038024362 4593),(12.1913681983 4848),,,(19.3106316761 5442),,,(3.66140769607 6196),(7.6209475514 6374),(11.4994782121 6548),,(7.8905760391 7028),,,(16.2990273899 7586),(8.76273480793 7842),(15.5228837542 8019),,,
