Cycle,0.893825757576
Average Width,5.83837769452
Width,,6.0658755622,6.01927026742,6.1722418561,5.99312673621,6.00992013724,5.90153319708,5.91801917375,5.8279509062,5.69571410329,5.76792217209,5.93968750721,5.73780433773,5.89305166319,5.83381678044,5.91148776909,5.78879581836,5.80102263815,5.94039856577,6.03994127817,5.82382423893,5.79055370768,6.0013941954,5.86209283204,5.6398519396,5.8835463629,5.87486081706,5.85392634751,5.79701007663,5.6584929159,5.73271199914,5.69775375342,5.71575604729,5.78186385758,5.72824621671,5.79856975453,5.68940600761,5.77099166457,5.58176318141,6.00278754264,5.85924849713,5.94498119252,5.80478568841,5.79396189784,5.6993401998,5.68169484936
Point3,H3,(8.37537436544 85),,,,,(12.7331154207 931),,,,,(7.01677171928 1784),(13.6603980868 1941),(4.68842251287 2161),,(13.3492830975 2501),(1.83745309447 2741),(12.1037444683 2867),(0.181223452331 3132),(13.0267112324 3252),,,,,(13.5103259408 4180),,(4.62803471446 4594),,,,,,,,,,(12.9720345457 6421),,,,(4.78618077866 7218),,,,,,
Point3,H4,(3.23330636613 121),(3.1624460005 276),(1.6517681794 469),(2.63627018838 644),(2.96102154812 820),(3.28707784203 980),(1.05404357914 1163),,(3.8547314594 1459),(3.60719166993 1620),(1.72649795991 1829),(3.63633842516 2005),(2.16994915937 2183),,(4.5903772481 2559),(0.952300127893 2757),(2.84833086853 2932),(0.0856767957853 3140),(3.89664406184 3317),(3.05820939537 3491),(0.929753579234 3666),(2.83829715386 3861),(1.94811821096 4069),(2.99715522064 4244),,(2.74731028674 4613),,(2.63511728622 4996),(4.61470400401 5174),(2.1950333888 5365),(4.17366800843 5543),(3.75913195534 5733),,(2.72159648725 6114),(1.69880501905 6311),(2.06122961456 6485),(4.00929015196 6655),,(2.0576607331 7056),(3.12538073668 7236),(3.07191084389 7413),(2.13993116325 7604),,,,
Point3,H5,(3.2466067706 124),(4.32113410972 289),(1.82549146157 477),(3.73825918396 657),(4.45262903555 834),(4.39072741539 993),(1.19323066947 1169),,(4.95419992886 1472),(5.33420278562 1634),(2.47806219631 1841),(4.89261868611 2017),(2.75490725233 2194),,(5.46448355233 2574),(2.21360225766 2770),(4.77249046404 2946),(0.666903614266 3154),(5.26580884076 3330),(3.61839185836 3503),(1.95803697275 3681),(4.76313285258 3874),(3.58255766589 4083),(4.93663907857 4258),,(4.87201993663 4627),,(3.69183017998 5009),(4.73447838772 5180),(3.94466829278 5379),(4.22972440671 5548),(5.37614729503 5746),,(4.63927727567 6130),(2.35604573769 6322),(2.99054840726 6498),(4.30764227591 6665),,(5.24331880161 7074),(5.14468678898 7250),(4.5017243203 7426),(3.80939789384 7618),,,,
Point3,H6,(-0.0271545960919 1),(-3.5527136788e-15 148),(7.1054273576e-15 307),(-2.13162820728e-14 498),(-3.5527136788e-14 675),(5.3290705182e-15 849),(1.7763568394e-14 1011),(1.7763568394e-15 1181),(-0.0150043788688 1339),(-3.37507799486e-14 1491),(-1.24344978758e-14 1651),(3.73034936274e-14 1854),(1.7763568394e-14 2034),(1.95399252334e-14 2211),(1.7763568394e-14 2412),(7.1054273576e-15 2595),(3.5527136788e-14 2783),(1.24344978758e-14 2962),(-0.0606085463355 3121),(2.30926389122e-14 3346),(0.0 3523),(-0.00387440903195 3698),(8.881784197e-15 3890),(-0.000499853468456 4097),(1.7763568394e-15 4274),(-1.95399252334e-14 4452),(7.1054273576e-15 4641),(-1.7763568394e-15 4824),(-0.000759273628423 5027),(5.3290705182e-15 5204),(2.13162820728e-14 5393),(-1.7763568394e-15 5572),(3.5527136788e-15 5762),(1.42108547152e-14 5946),(1.95399252334e-14 6146),(1.95399252334e-14 6335),(2.6645352591e-14 6514),(1.95399252334e-14 6702),(3.5527136788e-15 6882),(-0.0115348493124 7090),(-1.59872115546e-14 7266),(-3.01980662698e-14 7443),(-1.06581410364e-14 7632),(-8.881784197e-15 7807),(-0.00567988089928 8017),
Point4,H1,(28.1999556345 27),(27.1163770301 185),(27.9454805954 342),(29.8534082407 537),(26.9359616694 712),(28.5809461237 876),(27.1597139205 1049),(27.2551476135 1211),(27.6248197184 1371),(28.6747808801 1529),(29.9409155266 1689),(32.2482566704 1884),(26.4444672868 2069),(25.8135476861 2249),(29.4021888783 2444),(27.4519627576 2634),(26.8027505801 2811),(27.0384834749 2994),(29.5198199452 3195),(27.9221087787 3375),(26.8510903206 3561),(28.8396624209 3738),(28.6917808513 3921),(27.6651578688 4124),(26.5032882736 4307),(29.1190793205 4490),(28.9522855031 4670),(29.6931089083 4859),(29.6042240541 5066),(28.4598882676 5242),(28.6987772162 5420),(29.593490638 5611),(28.8807601721 5793),(28.5885452608 5979),(30.0288718972 6184),(27.6860699797 6363),(25.0376206279 6555),(27.1457458474 6731),(31.6226346961 6921),(23.9650779905 7117),(26.1780794596 7298),(27.3433963306 7483),(27.3731856645 7660),(26.4505306103 7850),(26.0252685982 8046),
Point4,H2,(6.96067012179 77),(6.28268356897 236),,,,,,(8.05483470169 1260),,,,(12.9906671054 1936),(2.74812722073 2155),(10.1310939048 2299),(10.8987067039 2492),(0.815415805561 2736),(9.67458136803 2861),(1.24344978758e-14 3121),(11.3134005617 3244),,,,(2.91111169081 4047),(10.3391433238 4174),,(3.2418087067 4589),,,,,(11.5978478379 5471),,,,(3.98367126491 6286),(9.67661851941 6411),,(10.483734906 6782),,(3.36667227829 7212),(4.20595250892 7388),,,,,
Point4,H3,(7.14146833437 85),(6.29347554186 239),,,,,,(8.30844251242 1267),,,,(13.0113080396 1939),(2.99086110573 2165),(10.2834082319 2307),(12.019432238 2503),(0.866124863022 2743),(9.76052512403 2866),(0.268896855368 3134),(11.7761261958 3252),,,,(2.93226958126 4051),(10.3987665528 4178),,(3.33632937173 4595),,,,,(11.6033125116 5473),,,,(3.99779582555 6290),(10.2749522308 6421),,(10.5241322531 6786),,(3.67645339618 7222),(4.21937405392 7392),,,,,
Point4,H4,(3.25401513984 118),(2.72865067041 276),(2.01871075083 467),(2.50087386348 645),(3.14981885216 821),(2.76829822999 979),,,(2.57061015523 1460),(2.18329819922 1620),(1.18503011486 1829),(2.81931281193 2005),(1.65266362565 2184),,(3.59113352 2557),(0.432998314204 2756),(2.76889836464 2932),(0.26466544101 3137),(3.09531116972 3318),(2.4293492803 3493),(0.15594741104 3668),(1.7070897953 3861),(1.54624964691 4069),(1.58834477601 4243),(2.43464998006 4420),(1.44477449105 4613),,(2.32997260545 4994),(4.07393327955 5175),(1.8220992952 5366),,(3.22124342632 5733),,,(1.34396630145 6313),(0.710662107898 6486),(2.43966017434 6652),(4.12260167409 6855),(-0.0100404629448 7040),(2.69983360883 7236),(2.25950591352 7414),(1.33233385408 7604),(0.136294798744 7781),,,
Point4,H5,(3.33094566452 125),(3.74476370535 289),(2.61217689771 479),(3.12358045843 657),(4.01736005688 833),(3.69602393463 993),,,(3.64011735881 1474),(3.93144444813 1634),(1.6573862187 1841),(3.9611028007 2018),(1.71209783852 2190),,(5.51695606914 2577),(1.58937509334 2771),(4.1826187563 2946),(1.34438226717 3156),(4.39516036051 3330),(2.90265488993 3504),(1.33704271075 3684),(3.5277657493 3875),(2.84673076666 4082),(2.9630725183 4258),(2.47106644214 4426),(3.4732463829 4627),,(3.27049626395 5009),(4.23884184622 5182),(2.61842129125 5378),,(4.47938186492 5746),,,(1.704133423 6322),(1.78131363603 6500),(3.38536343254 6667),(4.48021407358 6864),(3.80290558296 7075),(4.35984360279 7250),(3.0720045857 7426),(2.69744400643 7618),(0.250882985702 7790),,,
Point4,H6,(-0.00405294226106 1),(-3.5527136788e-15 148),(-0.0036716915702 306),(8.881784197e-15 500),(1.7763568394e-14 675),(0.0 849),(3.73034936274e-14 1011),(3.73034936274e-14 1180),(2.30926389122e-14 1339),(5.3290705182e-15 1491),(7.1054273576e-15 1651),(8.881784197e-15 1854),(-7.1054273576e-15 2034),(-0.0043671013263 2209),(5.3290705182e-15 2412),(-1.06581410364e-14 2596),(2.48689957516e-14 2783),(-7.1054273576e-15 2962),(1.24344978758e-14 3121),(3.19744231092e-14 3346),(2.48689957516e-14 3523),(7.1054273576e-15 3698),(3.01980662698e-14 3890),(1.06581410364e-14 4096),(3.5527136788e-14 4273),(-4.75844063246e-05 4451),(8.881784197e-15 4641),(1.42108547152e-14 4824),(-1.42108547152e-14 5028),(-7.1054273576e-15 5204),(-1.06581410364e-14 5392),(-0.000390466528303 5569),(-1.42108547152e-14 5762),(1.7763568394e-15 5946),(-1.7763568394e-15 6146),(-1.06581410364e-14 6335),(-1.95399252334e-14 6514),(-7.1054273576e-15 6701),(-1.42108547152e-14 6882),(-0.583068638289 7090),(-1.24344978758e-14 7266),(-1.7763568394e-15 7443),(-1.95399252334e-14 7632),(-0.00180222388259 7804),(2.03095694127 7933),(-1.06581410364e-14 8018),
