Cycle,0.604267676768
Average Width,6.48357172092
Width,,6.61579233664,6.62352139321,6.55330322084,6.53100314318,6.49259709043,6.12793153206,6.45387023192,6.31960983575,6.38540763146,6.46035745314,6.41472538529,6.45698229556,6.46743987719,6.41512836349,6.8364402839,6.63426931562,6.57701025889,6.58333447349,6.47995434612,6.33161856567,6.4306136712,6.28554670175,6.56197750783,6.70803259336,6.54700279317,6.60214251212,6.40926618746,6.34562642597,6.38451005184,6.55666257971,6.42059044415,6.56930374292,6.63039088918,6.22947537685
Point3,H3,,,(6.66726301767 340),,,,,(7.32364673405 963),,,(7.80500689226 1363),,,(6.02635272955 1745),,(3.33713827679 2002),,(5.84462544516 2260),,,,,,,,,,(5.54925765474 3458),,(5.48731140915 3703),(5.64382936948 3828),(4.73160052489 3956),,,
Point3,H4,(3.21408558811 64),(4.0020794332 194),(3.20641551858 362),(5.39434033561 451),(6.08401458155 579),(5.22190304353 707),(4.1509860833 831),,,(2.00791383183 1253),(3.5920608863 1387),(3.54441653487 1471),(3.88413663201 1595),(0.753784487874 1768),(4.11827365253 1858),,(2.60993960945 2117),(2.42887983983 2280),(2.95349759407 2371),(4.89716200691 2485),(4.68337099016 2609),(3.8449358746 2722),(2.60426161447 2836),(1.82861676064 2951),(3.58249425679 3068),(3.85440773421 3184),(3.10188179161 3307),(1.39677925766 3481),(2.0192754134 3561),(3.4696171627 3721),(2.05125842885 3848),(1.05443234437 3979),(6.0392850579 4061),,
Point3,H5,(4.90616971191 80),(7.62294709488 214),(3.27134826054 367),(7.13787362239 467),(8.32337783221 596),(8.0638191111 725),(6.16807082403 852),,,(2.88744559496 1265),(3.59229971808 1389),(6.85666688637 1492),(5.47451558479 1616),(1.38174302779 1778),(5.74683644703 1873),,(5.0783617512 2139),(2.84796865488 2289),(6.05477482599 2391),(6.42741433268 2505),(5.722328836 2627),(5.27306664317 2746),(4.47522189585 2854),(4.70579348846 2971),(4.51813581536 3083),(5.66323311495 3202),(4.6030130623 3329),(1.61976926797 3488),(4.37460449911 3586),(3.54400305549 3727),(2.65176105054 3857),(1.10803926671 3984),(6.72780853151 4076),,
Point3,H6,(-0.0155926780554 127),(-8.881784197e-15 256),(8.881784197e-15 384),(-7.1054273576e-15 512),(3.5527136788e-15 641),(0.0 767),(-0.00401653576805 886),(-0.00144413157523 1009),(0.0 1139),(-8.881784197e-15 1279),(3.5527136788e-15 1408),(-7.9936057773e-15 1526),(8.881784197e-15 1644),(5.3290705182e-15 1790),(-1.15463194561e-14 1916),(-1.06581410364e-14 2055),(2.60993960945 2117),(-0.00401944276789 2177),(-4.4408920985e-15 2304),(-0.00207936001726 2419),(-7.1054273576e-15 2544),(-3.5527136788e-15 2657),(2.04281036531e-14 2770),(0.0 2890),(-2.6645352591e-15 3004),(1.7763568394e-15 3120),(-0.0191896059836 3237),(-8.881784197e-16 3368),(1.7763568394e-15 3501),(-0.00429497233369 3617),(1.7763568394e-15 3745),(-0.0077336135639 3872),(-2.6645352591e-15 3996),(1.06581410364e-14 4124),
Point4,H1,(18.7132147219 27),(18.5059754561 165),(19.311476429 286),(18.4923170082 413),(18.4447589044 544),(17.6043469154 672),(17.8539763367 795),(18.4887078493 919),(20.2343106591 1044),(19.3736603878 1175),(19.1324007025 1306),(18.2968143808 1436),(18.5360553394 1559),(19.9193877925 1687),(19.7299364704 1819),(18.2800857902 1958),(17.4986065501 2087),(18.6253256053 2210),(16.9497141494 2332),(18.3886120907 2454),(18.5951373629 2572),(16.1768928463 2689),(17.7974638227 2804),(18.3555714424 2919),(18.6528361378 3032),(19.1982725352 3149),(19.5814517292 3271),(19.085238524 3400),(17.8177611878 3529),(18.1835622443 3654),(17.8236899493 3773),(18.2389674083 3898),(21.3445755721 4026),(19.2590385476 4153),
Point4,H2,,,,,,,,,,(4.25588162148 1221),(4.5248040434 1344),,,(4.51953106923 1730),,,,,,,,,,,,,,(3.81917075682 3440),,,,,,
Point4,H3,,,,,,,,,,(4.96704894599 1234),(7.1442335395 1363),,,(5.28859407782 1745),,,,,,,,,,,,,,(4.71926179404 3457),,,,,,
Point4,H4,(3.3983463108 65),(3.91931401428 195),(4.43159889013 324),(4.73876730979 452),(5.6538555828 581),(4.79971808934 708),(3.09256001553 831),(6.1741583514 955),(7.24100527924 1080),(1.12926511982 1256),(2.80106146942 1386),(4.01211446334 1472),(3.69908613 1596),(1.48945466203 1768),(3.20777624699 1859),(1.99585533985 1993),(2.99956951415 2119),(3.76222954853 2244),(3.1947299824 2371),(3.69952711052 2487),(3.38806804375 2609),(2.3309693514 2725),(2.76818722596 2834),(2.46463256341 2953),(3.01845149189 3066),(4.35900893247 3186),(3.48434303941 3313),(0.87741045139 3480),(2.23020896285 3565),(2.8025736399 3685),(3.42814761169 3810),(3.74678558373 3938),,
Point4,H5,(4.72676262303 81),(6.48513476656 214),(5.77920301085 340),(6.51732039525 468),(7.10697544784 597),(7.14889379688 726),(5.38401109208 853),(6.3149792077 965),(7.54874476851 1090),(1.53983974363 1265),(2.87759034168 1391),(6.33999632355 1492),(4.57271571194 1614),(1.87372233474 1777),(5.18133779506 1876),(2.52331781067 2012),(4.62811033753 2137),(5.15681054732 2261),(4.89531673443 2390),(6.07644057331 2505),(5.24630454025 2631),(4.45104597954 2745),(4.78301786795 2856),(4.35634359883 2970),(4.53564336957 3083),(5.18259629138 3204),(3.85793126186 3328),(1.17047013535 3489),(3.55492598628 3585),(5.57371062241 3705),(5.415061596 3828),(5.48058823407 3956),,
Point4,H6,(-1.7763568394e-15 129),(7.1054273576e-15 257),(-5.3290705182e-15 384),(-5.3290705182e-15 513),(-8.881784197e-15 641),(-1.15463194561e-14 768),(6.2172489379e-15 886),(2.13162820728e-14 1010),(1.42108547152e-14 1139),(-0.00298590275121 1278),(-2.6645352591e-15 1408),(1.95399252334e-14 1526),(1.42108547152e-14 1648),(-3.5527136788e-15 1791),(-0.00243266153217 1919),(8.881784197e-15 2041),(-3.5527136788e-15 2178),(4.4408920985e-15 2303),(-0.00318170083634 2419),(6.2172489379e-15 2545),(-7.1054273576e-15 2657),(8.881784197e-15 2770),(-2.6645352591e-15 2888),(1.86517468137e-14 3004),(1.06581410364e-14 3119),(2.57571741713e-14 3240),(-0.00106003578702 3369),(-0.00122930570757 3502),(6.2172489379e-15 3618),(7.9936057773e-15 3745),(-8.881784197e-15 3871),(-6.2172489379e-15 3996),(-6.2172489379e-15 4124),
Point5,H1,(11.1063501072 28),(11.5777068314 165),(11.7609120839 285),(10.6641511553 414),(10.1032087185 545),(9.34447485672 673),(10.2310890226 796),(9.98897733194 920),(11.1294322998 1044),(10.8088473848 1175),(10.7438204454 1307),(9.8513860633 1436),(10.6406436476 1560),(11.1249434969 1687),(10.960820174 1819),(10.5217557478 1958),(10.1339280086 2087),(10.2895912927 2210),(9.18272920596 2332),(10.8033448795 2455),(10.298563335 2574),(8.62158648484 2690),(10.4674077496 2804),(10.2623386863 2920),(10.4827389595 3032),(11.6645806468 3149),(11.0792707565 3272),(10.4819135735 3401),(9.85174272124 3529),(10.4996953185 3654),(10.0412036721 3772),(10.5924446212 3899),(11.6341823064 4027),(10.4618750683 4153),
Point5,H2,,,,,,,,,,(2.51017385177 1221),,,,(2.2790622833 1723),,,,,,,,,,,,,,(2.40863506781 3436),,,,,,
Point5,H3,,,,,,,,,,(2.80353898941 1233),,,,(3.05364773166 1743),,,,,,,,,,,,,,(3.18428866838 3456),,,,,,
Point5,H4,(1.74136666584 64),(3.44898788651 197),(2.89172020948 326),(3.43519554862 452),(3.81046582225 582),(2.37115510762 710),(2.02487777323 833),(3.52614614626 957),(4.79063312107 1082),(0.99670337065 1255),(2.1416836665 1345),(1.71864956606 1472),(1.90468983191 1595),(0.379401312061 1770),(1.50560623739 1861),(0.94800276537 1993),(1.86383694619 2120),(1.4969317225 2248),(1.71985325568 2370),(2.24668006676 2488),(1.9446735907 2612),(1.24082736652 2726),(1.99143034044 2837),(1.27657820938 2952),(1.28039522234 3068),(2.86274979574 3189),(2.33306376751 3317),(0.827704438925 3480),(0.968220182602 3565),(1.87448585668 3686),(1.96317082598 3812),(2.03417493025 3939),,
Point5,H5,(2.55083214647 80),(4.72617306081 216),(3.53910414026 340),(4.4228712801 468),(4.67881059957 597),(4.41773812708 729),(3.2541646651 853),(3.63949849761 967),(4.92760272014 1090),(1.28557453419 1265),(3.90224911114 1364),(3.82019779203 1495),(2.87090304864 1615),(0.473669251079 1777),(2.49596978612 1876),(1.36467668134 2007),(3.03218831843 2138),(2.09748562231 2264),(3.55347454705 2392),(3.75629488894 2505),(2.74414203345 2633),(2.28677637546 2746),(3.14990525357 2855),(2.89962798046 2970),(2.3499595917 3087),(3.57058031507 3210),(2.49939690761 3330),(1.04305641341 3489),(1.94330231675 3586),(3.38858095514 3706),(2.99005363647 3830),(3.29528268193 3957),,
Point5,H6,(-0.0248978066723 125),(7.9936057773e-15 257),(9.7699626167e-15 384),(3.5527136788e-15 513),(8.881784197e-16 641),(-5.3290705182e-15 768),(-0.00518031179998 885),(-0.00395688297017 1009),(-3.5527136788e-15 1140),(-8.881784197e-16 1280),(-1.7763568394e-15 1408),(7.1054273576e-15 1526),(1.06581410364e-14 1646),(4.4408920985e-15 1789),(7.1054273576e-15 1920),(0.0 2037),(8.881784197e-16 2178),(-8.881784197e-16 2302),(9.7699626167e-15 2420),(6.2172489379e-15 2545),(-2.6645352591e-15 2658),(-1.33226762955e-15 2769),(4.4408920985e-15 2887),(8.43769498715e-15 3004),(1.24344978758e-14 3119),(-0.00538438360233 3240),(4.4408920985e-15 3368),(-2.22044604925e-15 3503),(0.0 3619),(7.9936057773e-15 3745),(7.9936057773e-15 3870),(5.3290705182e-15 3994),(6.2172489379e-15 4123),
