Cycle,0.837636626055
Average Width,55.9977889722
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9977889722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Point2,H6,(-0.00381524061908 197),(-0.000182204222746 399),(2.6645352591e-15 608),(8.881784197e-16 802),(-5.3290705182e-15 1010),(0.0 1200),(-5.3290705182e-15 1408),(-1.37667655054e-14 1600),(-3.5527136788e-15 1811),(-7.1054273576e-15 2003),(7.1054273576e-15 2203),(-0.00250778705127 2402),(8.881784197e-16 2594),(-0.00147949236145 2800),(-7.1054273576e-15 2987),(-8.881784197e-15 3181),(-0.00057695151741 3387),(-0.0142669453529 3602),(-0.63551751365 3792),(-0.034346731726 3889),(-0.209751031099 3980),(-0.202776328244 4189),(-0.00486999300786 4380),(-0.0298300471863 4591),
Point3,H1,(8.63258922294 118),(7.25347293799 335),(8.85350618036 542),(8.13753155062 748),(8.57383009588 949),(7.7994453253 1153),(7.10076568775 1272),(7.5298823931 1355),(4.36386953814 1434),(4.53922649791 1551),(9.33423138559 1756),(7.29867629843 1894),(7.72466798946 1955),(10.5144685235 2160),(8.4703098221 2353),(7.27540518306 2549),(8.42747175969 2748),(9.0061715858 2941),(5.97056507182 3067),(7.16925600358 3139),(9.96037980914 3333),(4.46908698111 3420),(6.23570189143 3540),(11.6175118091 3728),(3.26143865645 3819),(4.77729727327 3939),(11.9302047861 4120),(10.6124872102 4334),(7.44286786298 4533),
Point3,H2,,(-0.00325828407295 401),,,(-0.000579742373382 1010),,(6.58558550607 1289),,(3.10049830554 1454),(0.2467174111 1581),(5.3290705182e-15 1811),(6.77847560985 1913),(-8.881784197e-16 1998),,,(-0.00546442404466 2591),,,(5.8122189031 3079),,,(4.0993543039 3432),,,,
Point3,H3,,(8.72025224748 490),,,(3.92784104262 1035),,(6.7700743592 1301),,(4.47295367762 1500),(0.38724290365 1589),(6.07117975582 1843),(6.8853228516 1924),(6.96023146643 2054),,,(7.40179456749 2678),,,(5.84883573811 3087),,,(4.14819264155 3438),,,,
Point3,H4,(-0.00485903439397 195),(8.52200526126 503),,(-6.2172489379e-15 802),(3.53780381548 1046),,,,,(-3.10862446895e-15 1602),,,(6.55214796282 2068),,(-0.000587849499743 2404),(7.29454069577 2695),,(-0.00418310666984 2989),,,,(-0.0187240487508 3465),(-0.0808881557575 3599),,,
Point3,H5,(5.21947664846 236),(8.70742513681 517),,(7.82620262937 908),(7.03813195736 1115),,,,,(8.05513373577 1695),,,(7.64486741674 2089),,(6.14202895004 2507),(7.29457300667 2697),,(4.62590471726 3035),,,,(1.27661081827 3485),(10.1265658618 3687),,,
Point3,H6,(-0.00485903439397 195),(-0.00325828407295 401),(-0.00228398563346 610),(-6.2172489379e-15 802),(-0.000579742373382 1010),(-7.1054273576e-15 1201),(-8.881784197e-16 1408),(-3.10862446895e-15 1602),(5.3290705182e-15 1811),(-8.881784197e-16 1998),(1.7763568394e-15 2206),(-0.000587849499743 2404),(-0.00546442404466 2591),(-3.5527136788e-15 2801),(-0.00418310666984 2989),(-0.0113073152812 3179),(-0.190608126799 3393),(-0.0187240487508 3465),(-0.0808881557575 3599),(-0.620138465437 3790),(-0.049270725551 3892),(-0.287212016471 3965),(-0.0193279600841 4173),(1.7763568394e-14 4379),(-0.010586259587 4591),
Point4,H1,(15.1731928687 32),(15.004667613 240),(12.6599722761 440),(12.7150012904 639),(11.5502531189 836),(12.4322155432 1040),(12.399473234 1250),(13.241697766 1441),(11.1658960667 1645),(12.5810731006 1842),(10.7473390711 2051),(12.9597081135 2240),(11.2913373477 2433),(12.7879396397 2646),(11.5448865706 2832),(11.8842846923 3024),(11.4506630418 3233),(12.1358424138 3422),(12.5297252073 3638),(9.98786820669 3824),(9.2218429158 4020),(9.72499392812 4226),(12.9275995216 4431),(5.68098864076 4624),
Point4,H2,(2.67576530416 142),(7.6440461262 289),(12.6514569018 443),,,,(1.90902468152 1338),(4.57028953949 1517),,(12.0140220555 1853),(4.12972190217 2097),,,,(10.5796641299 2845),(1.94858426836 3125),(1.8825034347 3317),,,(2.63506624787 3938),(8.91561730467 4031),,(2.83320020737 4518),,
Point4,H3,(2.81852100489 151),(7.65552230535 293),(12.6561483054 447),,,,(2.30169514895 1351),(4.7454100169 1527),,(12.126350448 1861),(4.14234545662 2101),,,,(10.7484145642 2853),(2.00477681561 3143),(1.91276472549 3323),,,(2.69076834103 3948),(8.95131150649 4039),,(2.88325890949 4527),,
