Cycle,0.846737433862
Average Width,5.76560822137
Width,,6.12739651306,5.99340571436,5.98214557523,5.87207025006,5.84909492451,5.80089476798,5.88691070975,5.93926024134,6.02229992376,6.14698870741,5.75552814529,5.61240609906,5.67966699788,5.89344900368,5.70669240077,5.75424322251,5.90458470849,6.00162003947,5.59513548122,5.5241484768,5.61773099897,5.71915730619,5.8418926445,5.70480320226,5.62696183651,5.65854028683,5.7557609691,5.53207955856,5.55805298592,5.77538566,5.53963838123,5.58521062542,5.46690018394,5.73412856899,5.59307478748,5.80463607082
Point2,H5,(2.44934696632 265),(0.042397920303 443),(5.1544080796 600),(1.6074982547 753),(5.03185883676 937),(4.88997655336 1096),(2.72054648197 1233),(1.89264994327 1398),(5.78483286172 1609),(2.64113447899 1778),(0.791927127317 1979),,(4.06619105111 2335),(4.94838076858 2537),(3.50350096435 2711),(3.59103367351 2922),(4.63946978179 3096),(0.406193213618 3290),,,(5.2327460544 3849),(2.41386256695 4025),(2.47764750261 4217),(4.19912685492 4393),(4.03806112703 4584),,,(5.08805664644 5144),,(3.99710209924 5512),(4.46253212091 5705),(2.13096594938 5893),(5.30852886678 6089),,(4.95348665637 6456),,
Point2,H6,(-0.193994353892 38),(2.30926389122e-14 278),(-0.274435969882 432),(-3.5527136788e-15 617),(-1.7763568394e-15 783),(4.4408920985e-14 952),(5.15143483426e-14 1112),(-0.00960346918585 1264),(-0.00473255483328 1417),(-2.13162820728e-14 1625),(1.59872115546e-14 1801),(-0.0115544742509 1967),(-1.95399252334e-14 2184),(3.5527136788e-15 2368),(-1.59872115546e-14 2553),(-1.06581410364e-14 2729),(5.3290705182e-15 2936),(-1.42108547152e-14 3114),(-0.145180525493 3298),(-0.00623352831074 3450),(-5.3290705182e-15 3657),(-3.5527136788e-15 3865),(2.30926389122e-14 4042),(3.5527136788e-14 4230),(8.881784197e-15 4409),(3.19744231092e-14 4599),(1.59872115546e-14 4802),(-0.0163764969972 4978),(5.68434188608e-14 5161),(5.15143483426e-14 5347),(-0.0090003200901 5529),(-0.0146741434361 5720),(2.30926389122e-14 5913),(0.0 6104),(-0.011525078956 6276),(0.0 6472),
Point3,H1,(37.2686055463 112),(39.2610886138 305),(36.9011196345 481),(36.4414257741 651),(38.9898722092 817),(39.7775210355 980),(39.9224402088 1140),(40.9322194848 1298),(45.0734446442 1458),(46.0068164769 1655),(37.9915668825 1841),(36.2981190677 2018),(41.2474539882 2213),(39.1819722755 2402),(36.3101293273 2582),(36.4921331626 2767),(37.8900850344 2964),(36.5219638056 3152),(35.4758588435 3330),(38.314625464 3506),(42.0215841542 3696),(38.2368133369 3898),(38.1710449456 4080),(40.0083067481 4258),(40.0614002223 4448),(40.7578413953 4627),(40.8512200344 4834),(40.526123922 5010),(40.1357812309 5197),(42.028431321 5378),(42.9621069435 5569),(41.3241284485 5748),(43.0356482773 5953),(39.5289441905 6133),(38.9869788852 6322),(40.4642400373 6501),
Point3,H2,,(8.51122179528 355),,,,(12.1764245369 1028),(10.2587762359 1188),,(8.43555908843 1545),,(1.71281340439 1923),,,(2.55995562104 2502),(12.8078682354 2629),(0.746667169662 2881),(13.524198865 3012),(1.20213144263 3257),(0.371185431577 3434),(10.3732988205 3556),(5.3473643091 3811),,,,,,(11.3176106988 4884),,,(12.4486430086 5427),,(12.3590242386 5797),(6.17634408424 6053),(12.9685225952 6181),(5.24470666854 6425),,
Point3,H3,,(8.75371625128 362),,,,(12.7826710316 1036),(10.4812509308 1195),,(8.90359447417 1557),,(1.89088700288 1931),,,(2.62126568938 2508),(12.928034976 2634),(1.22295809666 2893),(13.9516527639 3019),(1.22374181734 3262),(0.394485900766 3439),(10.5951039774 3562),(5.49823260003 3818),,,,,,(11.4876097468 4890),,,(12.6887522168 5434),,(12.5624139125 5803),(6.19077354507 6057),(13.2230180696 6188),(5.25123917783 6428),,
Point3,H4,,(1.36404764506 415),,(1.98100380803 751),(2.97488105978 924),(3.92812884347 1085),(3.14926450052 1226),(1.42632261675 1387),(4.01679656629 1595),(3.23065481276 1774),(-0.0229659335265 1967),,(3.48217731129 2332),(1.92092428687 2521),(2.80294657768 2700),(0.125568000498 2907),(3.69395221797 3085),(-0.0122789244714 3284),(-0.00349699641476 3451),(2.38041606264 3628),(3.72468349438 3835),(1.65618097509 4012),(0.734538784059 4205),,(3.2411084974 4573),,,(3.68854374255 5131),,(2.97045438288 5499),(2.61514720402 5693),(1.46354852604 5881),(3.77252994151 6077),,(4.51395328913 6443),,
Point3,H5,,(1.3646283572 416),,(1.98409039237 753),(4.58503522227 937),(5.2563214005 1097),(3.28876975 1233),(1.97206886735 1399),(6.52632284421 1609),(3.26331893232 1778),(0.697489043418 1982),,(3.4910542293 2335),(4.59536849268 2538),(3.5668932417 2712),(3.22220801752 2923),(4.41965409088 3096),(0.0571814909397 3290),(1.3910945655 3468),(3.3193605693 3640),(5.44937823132 3849),(2.35390107737 4024),(1.71130550048 4218),,(3.7643052434 4584),,,(5.2514190844 5145),,(4.07667832378 5512),(3.77678581075 5705),(2.13444611821 5895),(5.23124383175 6089),,(5.54040163488 6455),,
Point3,H6,(-1.63371986683 40),(1.24344978758e-14 277),(-0.0175972415525 446),(3.90798504668e-14 617),(4.26325641456e-14 781),(8.881784197e-15 952),(3.19744231092e-14 1112),(0.0 1262),(-0.00803099547074 1417),(5.68434188608e-14 1625),(-0.0174115101029 1802),(-0.0229659335265 1967),(2.84217094304e-14 2184),(1.42108547152e-14 2366),(2.30926389122e-14 2552),(7.1054273576e-15 2729),(-0.00114384803772 2935),(-0.00226781960994 3114),(-0.0505695398052 3295),(-0.00349699641476 3451),(2.13162820728e-14 3657),(2.48689957516e-14 3865),(-1.7763568394e-15 4041),(1.7763568394e-14 4229),(1.06581410364e-14 4409),(2.84217094304e-14 4599),(-0.00408944643982 4802),(1.95399252334e-14 4978),(1.24344978758e-14 5161),(0.0 5346),(3.5527136788e-15 5529),(3.19744231092e-14 5719),(1.7763568394e-14 5913),(3.90798504668e-14 6104),(-0.00354087963771 6276),(5.3290705182e-15 6472),
Point4,H1,(33.5852832576 114),(35.1926841355 307),(32.4976595712 483),(31.0615163221 653),(33.2675296799 820),(33.8371049597 982),(33.4649114399 1142),(35.1538218601 1299),(38.4676928211 1460),(42.1449193875 1657),(29.6735359337 1842),(26.7533870142 2020),(34.3335255521 2215),(32.9802803235 2405),(29.4969392612 2583),(29.6079987556 2770),(30.3199225347 2966),(30.6649062977 3153),(29.2438707345 3332),(32.2477734815 3508),(35.1977039425 3698),(31.2531889268 3900),(31.2664716828 4082),(32.6240436987 4260),(32.4861728415 4450),(33.3475823773 4630),(33.4605763496 4836),(32.4804332092 5012),(31.8151207792 5200),(33.4660836592 5380),(35.0789215147 5571),(33.238754589 5750),(34.8820712718 5955),(30.1896975391 6136),(30.0370365403 6324),(34.1221545389 6504),
Point4,H2,,(8.70883499383 357),,,,(11.503036877 1031),(9.14021684108 1192),,(8.90274648138 1546),(11.3679261464 1730),(0.903928144679 1923),(8.71068721968 2066),,(2.00180074002 2501),,(-1.06581410364e-14 2885),(12.0996382618 3013),(1.32694110863 3262),,(10.0561039867 3557),(4.81357205973 3814),,,(3.14268673107 4360),,,,,,(11.0564631875 5431),,(11.3771182964 5799),,(10.7583511497 6181),(5.71777555463 6423),,
