Cycle,0.677023255814
Average Width,6.16605964113
Width,,6.68174207109,6.5261860402,6.77910860489,6.91858087653,6.95092509663,6.95111700442,6.66125045796,6.6188540468,6.79736008265,6.5282560709,6.52350625215,6.04056140962,6.10173468879,5.93293682804,5.90026406956,5.92516209566,5.87805626061,5.59418368925,5.6837051813,5.46426042503,5.74807744622,5.83609624773,5.97813129646,6.00432236597,6.06539749946,5.86593698862,6.01620242774,6.02356505468,5.88809899425,5.71349077141,5.78112496363,5.69718459829,6.05256106942,6.17618518909,6.13310722093,5.79709815967,5.85846514724,5.96070252924,5.93878418532,6.25874822579,6.24487997132,6.44222853768,6.68397871785,6.68450534951
Point3,H3,(7.56526962367 73),,,(10.1996150631 500),,(7.37430064001 798),(7.65093466839 914),(6.67302257741 1068),(9.36690461062 1195),(9.22043596203 1338),(9.89012054147 1479),(9.25860817998 1623),(8.34151750943 1755),(9.16078064407 1889),(7.34851906481 2013),(6.62447574658 2140),(6.19232572617 2264),(6.3576506536 2381),(7.81729872941 2495),,,(13.0988374015 2849),(14.6399581467 3008),,,(9.73846756933 3480),(9.04890214578 3625),(8.18915902373 3756),,,,,,(10.0028600585 4562),(10.6165920595 4692),(11.4480035579 4822),,(14.0122372627 5108),,(14.9484040233 5430),(13.1634473323 5589),(12.1040385648 5752),,
Point3,H4,(2.06306379931 111),(4.18021257369 256),(2.9498589733 399),(3.09796088403 560),,(1.69720390243 831),(0.959668401854 965),(2.91575745138 1094),(3.0295299694 1232),(2.76248441832 1375),(3.93033542886 1521),,(1.80455724784 1793),(2.31468210344 1923),(0.559143075022 2052),,(-0.000637377005775 2299),,,,(2.68785737348 2771),,(4.61391770986 3070),(6.47628760456 3212),,(2.56382819285 3521),(2.64732997884 3657),(2.17259602075 3786),,,(3.69917380546 4161),,(3.79749565402 4467),(2.87685657801 4595),(2.51397723104 4724),(3.64684663585 4864),(4.14180599616 5005),(4.68066819611 5170),(6.07517414098 5309),,(4.70515161535 5648),(2.61070811354 5791),,
Point3,H5,(3.49111989626 126),(4.95302629856 268),(3.16671079096 409),(3.77732273389 572),,(1.82337486015 839),(1.12370125395 973),(3.01705429966 1101),(3.34641063371 1242),(4.06591357758 1389),(4.40234331182 1532),,(2.99177482177 1806),(2.8933395479 1933),(0.924898815591 2063),,(0.12705988964 2306),,,,(3.06191663824 2781),,(4.75641221059 3079),(6.5400704779 3218),,(3.31060850174 3534),(2.65943523155 3661),(2.19996529013 3789),,,(4.04237385352 4171),,(3.94679191146 4474),(3.19088482063 4604),(3.12130349578 4735),(4.78780139852 4877),(4.41385313193 5015),(5.4171525934 5181),(6.07747079554 5311),,(4.80758565879 5655),(2.89030395758 5800),,
Point3,H6,(1.50990331349e-14 143),(8.881784197e-16 288),(-1.06581410364e-14 438),(-4.4408920985e-15 591),(-1.7763568394e-15 728),(7.1054273576e-15 859),(1.68753899743e-14 988),(-5.3290705182e-15 1123),(4.4408920985e-15 1264),(1.50990331349e-14 1408),(8.881784197e-15 1551),(-7.1054273576e-15 1686),(-0.00734802443535 1821),(-0.00757525054668 1950),(-9.7699626167e-15 2075),(-7.1054273576e-15 2193),(-0.000637377005775 2299),(-2.13162820728e-14 2427),(-7.9936057773e-15 2541),(-5.3290705182e-15 2655),(-1.42108547152e-14 2799),(-1.24344978758e-14 2955),(-5.3290705182e-15 3104),(-7.1054273576e-15 3262),(-1.42108547152e-14 3415),(3.5527136788e-15 3553),(-1.33226762955e-14 3681),(2.6645352591e-15 3806),(-1.50990331349e-14 3919),(-6.2172489379e-15 4051),(1.06581410364e-14 4196),(7.1054273576e-15 4350),(7.1054273576e-15 4494),(0.0 4623),(-0.000827194608931 4752),(3.5527136788e-15 4894),(-1.7763568394e-15 5042),(-1.06581410364e-14 5199),(-5.3290705182e-15 5361),(-7.1054273576e-15 5524),(1.7763568394e-15 5681),(-0.0160231537171 5829),(1.7763568394e-15 5968),
Point4,H1,(3.17112079682 56),(4.54806274812 224),(6.97224557727 344),(6.97008830043 499),(6.51686880551 646),(5.76211867413 788),(5.50604854659 915),(5.57612004164 1045),(7.22310234059 1197),(6.49605567241 1327),(8.6940528763 1465),(8.19964262457 1608),(7.62160413527 1746),(8.78710328808 1877),(7.87474376694 2004),(7.55208084979 2132),(6.10361005871 2255),(5.83574554438 2372),(5.67329479759 2492),(4.66731261434 2626),(6.53775394138 2740),(7.98741303009 2883),(10.1757857764 3016),(10.2779149504 3183),(10.1526235875 3319),(9.05086471025 3477),(8.01238791465 3616),(6.68744355088 3749),(7.90295715411 3862),(5.69275941672 4001),(7.85337685748 4127),(6.9530860622 4298),(7.93361022776 4431),(8.63882582587 4552),(10.3299703691 4682),(10.3914473921 4827),(12.1763982248 4951),(14.455999201 5108),(14.2520815602 5257),(14.6758721607 5427),(13.2036113303 5587),(12.2895137195 5744),(12.8397030115 5930),(12.3217867019 6023),
Point4,H2,,,(5.49383051186 380),,(2.63919799875 689),(3.3439990216 819),(2.94968278884 939),,(5.602380453 1217),(4.72645357287 1357),(5.84790440705 1502),,(4.11892104304 1766),(5.04422392757 1898),(4.58453468641 2025),(4.2605222095 2155),(3.57334642112 2290),(3.3521145964 2396),(4.47176454211 2514),,(6.22048154458 2753),,(9.56063465506 3029),,(8.88590536663 3333),(6.72793452649 3500),(5.48026942167 3648),,,,,,,(6.07233796288 4577),(8.11381890913 4715),,,,(10.7132377459 5299),(10.3933124095 5451),(8.58997134153 5609),,,,
Point4,H3,,,(5.51588330568 386),,(2.7901474523 698),(3.39561971126 826),(2.98250903578 944),,(5.94762433455 1229),(4.93266979808 1368),(5.91701002372 1509),,(5.63262525269 1784),(5.55388906421 1914),(4.92744980027 2036),(5.30393411944 2173),(3.59155067207 2295),(4.0995416675 2415),(4.65218459616 2524),,(6.28690682831 2761),,(9.78981894696 3039),,(9.28034791607 3343),(6.80517521612 3507),(5.66334201045 3658),,,,,,,(6.31858261358 4590),(8.12713547252 4720),,,,(10.7970377334 5305),(10.5705971532 5460),(9.07375272765 5621),,,,
Point4,H4,,(2.26501264405 281),(2.06699184399 422),,(-3.10862446895e-15 723),,(0.139916294759 991),,(1.16678301573 1265),(1.47671553082 1407),(2.1071580804 1553),(4.86543682256 1642),(1.14376604834 1824),(0.894124620544 1954),,,,,,,(2.21609619896 2806),,(3.10339726285 3100),,(3.61516487962 3404),(1.77993682208 3551),,,,(0.748126437513 4054),(2.58219604487 4193),(-1.50990331349e-14 4380),(2.0926098982 4495),(1.50312273762 4624),(2.22594550084 4755),(2.41634879646 4893),(2.89372612631 5038),(3.85552303967 5200),(4.94813851952 5338),,(2.94165122736 5677),,(6.97912625401 5964),,
Point4,H5,,(2.58673594311 296),(2.53347045283 437),,(0.634146451188 738),,(0.513095264747 1005),,(1.5987841964 1277),(2.40508529477 1421),(2.18728290651 1560),(5.46948802202 1657),(1.77860378299 1836),(1.32250090419 1965),,,,,,,(2.21806395579 2808),,(3.21845600882 3109),,(3.63568064462 3409),(2.29121317887 3564),,,,(0.859104169164 4062),(2.69870874574 4202),(7.68637937785 4411),(2.15909147736 4503),(2.26169584772 4637),(2.582931044 4765),(3.01436695896 4906),(3.01929508527 5047),(3.94468919319 5207),(4.96113027548 5341),,(2.9577481213 5682),,(8.52930700599 5980),,
Point4,H6,(-0.303169350407 30),(-0.0779109459777 134),(-0.00396380722082 317),(-1.33226762955e-15 465),(-8.881784197e-16 619),(-3.10862446895e-15 723),(-0.00805489037432 887),(-0.00442070408343 1018),(2.22044604925e-14 1153),(-0.00368372208874 1295),(3.5527136788e-15 1438),(-4.4408920985e-15 1580),(2.6645352591e-15 1717),(-6.2172489379e-15 1852),(-0.00780601804336 1980),(-8.881784197e-15 2106),(-9.7699626167e-15 2222),(-3.5527136788e-15 2329),(4.88498130835e-15 2454),(-0.00476302202224 2567),(-0.00831689366729 2686),(-0.00335858532226 2830),(-4.4408920985e-15 2981),(-1.86517468137e-14 3134),(-1.50990331349e-14 3293),(7.9936057773e-15 3445),(3.5527136788e-15 3583),(-1.02140518266e-14 3710),(-1.24344978758e-14 3835),(-0.00316239378139 3949),(8.881784197e-16 4079),(-9.7699626167e-15 4226),(-1.50990331349e-14 4380),(0.0 4524),(1.15463194561e-14 4653),(-0.00482138278007 4782),(-2.6645352591e-15 4925),(-1.7763568394e-14 5072),(-1.50990331349e-14 5229),(-0.00181248324206 5391),(1.24344978758e-14 5553),(4.4408920985e-15 5710),(-0.0019708704942 5853),(5.07829677151 5999),
