Cycle,0.7755625
Average Width,12.2931158443
Width,,0,0,0,8.6727690885,0,0.0,0,0,11.6424329744,16.2748085301,11.9935545372,14.8527728906,10.8125214084,10.8139350194,11.0572902735,14.5179578764
Point1,H5,(4.27282529963 249),,(9.54670221209 589),(9.15842341914 758),(3.12659005157 923),(1.10394650259 1073),,,,(3.47332003824 1769),(3.45138783267 1931),(2.42016395277 2086),,(1.48553173582 2397),,,
Point1,H6,(-0.0445039574044 2),(4.4408920985e-15 90),(-0.00306215202957 168),(4.4408920985e-15 266),(1.15463194561e-14 335),(-0.00672832966668 427),(-0.873308523801 503),(-3.5527136788e-15 687),(-0.00899581834026 879),(6.66133814775e-15 1038),(-0.000152805589202 1186),(-3.99680288865e-15 1274),(-0.157564898756 1352),(-0.0119676341182 1521),(3.5527136788e-15 1609),(3.5527136788e-15 1686),(-1.7763568394e-15 1859),(-2.6645352591e-15 2043),(-1.06581410364e-14 2195),(-1.86517468137e-14 2281),(-9.7699626167e-15 2354),(3.5527136788e-15 2432),(8.881784197e-15 2528),(-0.00372280887738 2616),(-2.6645352591e-15 2692),(0.0 2778),
Point2,H1,(11.8555293536 124),(11.0628666389 289),(12.1948136526 462),(23.7947178936 627),(19.093223525 798),(14.862771497 964),(14.041481361 1136),(13.0825669721 1301),(17.251588748 1472),(13.3424293926 1647),(16.5664575895 1810),(14.9420754174 1987),(16.6277765026 2145),(16.3497810203 2309),(18.0368967613 2481),(16.5277082932 2644),
Point2,H2,(-0.00310308347019 172),,(-0.218080494055 505),,,(0.812585290174 1012),,(-0.206677747295 1350),,(-0.01272970565 1685),(-1.7763568394e-15 1857),(-6.2172489379e-15 2023),,(-5.3290705182e-15 2355),,,
Point2,H3,(4.1641169047 222),,(-0.188212878056 512),,,(1.21309790589 1021),,(0.0541496573468 1360),,(2.41072367393 1725),(1.06013543425 1871),(0.390784474323 2033),,(1.54681478743 2368),,,
Point2,H4,(3.85492350072 234),(-0.000384816697446 336),(-0.194574979186 517),(-1.59872115546e-14 689),(-0.0144723966458 881),(-7.9936057773e-15 1038),,(-0.0250312387099 1368),,(2.30986496915 1735),(-0.00497297050445 1888),(0.217609537158 2043),,(0.545947755691 2383),,,
Point2,H5,(4.72695681292 248),(3.18746822812 374),(10.6265663611 589),(10.7924145078 754),(3.5371568161 923),(1.0052353824 1056),,(5.38006538453 1421),,(3.66221915261 1770),(3.62943456351 1931),(2.85120828779 2084),,(1.47965657335 2401),,,
Point2,H6,(-0.0843290707827 3),(-0.0142184632189 90),(-0.00310308347019 172),(2.6645352591e-15 267),(-0.000384816697446 336),(-2.6645352591e-15 426),(-0.218080494055 505),(-1.59872115546e-14 689),(-0.0144723966458 881),(-7.9936057773e-15 1038),(-0.0051269793136 1093),(1.06581410364e-14 1184),(1.06581410364e-14 1275),(-0.206677747295 1350),(-0.00139947144306 1521),(-0.00128982072227 1609),(-0.01272970565 1685),(-0.00497297050445 1888),(-6.2172489379e-15 2023),(-0.00205349245621 2194),(2.6645352591e-15 2280),(-5.3290705182e-15 2355),(-0.00154627461704 2435),(-8.881784197e-16 2529),(0.0 2616),(-3.5527136788e-15 2693),(-0.00153690021508 2778),
Point3,H1,(9.02959343772 126),(8.29297041704 290),(9.97388742468 463),(21.7498565323 628),(16.8190190416 798),(12.1003288637 965),(10.8522599066 1137),(10.1789191215 1301),(14.5545944753 1472),(11.3891374024 1647),(12.3248399915 1810),(13.2387074865 1987),(14.3451172099 2145),(13.9619699197 2310),(15.6177960567 2481),(14.1022118968 2644),
Point3,H2,(9.7699626167e-15 173),(1.7763568394e-15 334),,,,,(-0.00413513439954 1185),(0.0413775024377 1350),,,(-0.0187172991806 1857),(-0.00394530399161 2024),,(1.24344978758e-14 2355),,,
Point3,H3,(4.07072490688 223),(2.40996533087 359),,,,,(1.61270912318 1221),(0.241122569324 1358),,,(1.21705661009 1875),(0.197945289424 2032),,(1.63337848166 2371),,,
Point3,H4,(3.86840017676 234),(2.40662914889 362),(-0.338955877441 506),(5.3290705182e-15 689),(-0.0209509368826 882),(0.28509051523 1039),(1.15245171561 1240),(-0.0217633674977 1369),,,(0.911198656632 1888),(-0.00140895983564 2043),,(1.05832478406 2387),,,
Point3,H5,(4.43634196319 247),(2.83615671448 378),(10.3317475581 589),(11.2892081077 754),(2.45534252935 922),(1.16564996911 1067),(2.70477610291 1258),(4.63852594158 1416),,,(3.90999358042 1931),(2.86089461586 2084),,(1.06902270814 2391),,,
Point3,H6,(-0.101139479337 4),(8.881784197e-16 91),(9.7699626167e-15 173),(4.4408920985e-16 267),(1.7763568394e-15 334),(5.10702591328e-15 426),(-0.338955877441 506),(5.3290705182e-15 689),(-0.0209509368826 882),(8.881784197e-16 1088),(-0.00413513439954 1185),(5.77315972805e-15 1275),(-0.0217633674977 1369),(8.881784197e-16 1521),(1.7763568394e-15 1610),(-0.0300287710319 1705),(2.22044604925e-15 1781),(-0.0187172991806 1857),(-0.00394530399161 2024),(1.7763568394e-15 2194),(-0.00363402524407 2279),(1.24344978758e-14 2355),(7.1054273576e-15 2432),(-4.4408920985e-15 2529),(-0.000864838842356 2616),(1.15463194561e-14 2693),(9.7699626167e-15 2777),
Point4,H1,(8.31798341849 130),(4.63189966788 224),(7.7304904191 291),(8.43950823774 464),(21.5642887273 630),(17.0206514251 799),(11.8209409091 966),(10.6450401076 1138),(10.7288967524 1315),(12.7657549032 1474),(11.6096672644 1652),(12.9447251806 1812),(12.8062840291 1987),(13.9333174144 2146),(13.8897425359 2313),(15.7296978613 2482),(14.4815557511 2645),
Point4,H2,,(4.01148858648 239),,,,(-0.0375647186765 881),,,,,,(2.6645352591e-15 1859),,,(1.95399252334e-14 2356),,,
Point4,H3,,(4.153723595 247),,,,(1.68132701891 901),,,,,,(1.23449887203 1876),,,(1.20460873311 2371),,,
Point4,H4,,,(-0.00132489204325 337),(-1.14492989724 508),(-1.06581410364e-14 689),(1.65587521955 906),(1.42188565019 1042),,(-0.0145902154164 1372),,,(0.746013794902 1893),,,(0.926508225278 2382),,,
Point4,H5,,,(2.55553728646 380),(8.951726791 591),(12.693848896 757),(2.77808387856 924),(1.48227559131 1051),,(2.68221230035 1410),,,(3.38445945622 1931),,,(1.51975425809 2398),,,
Point4,H6,(-0.0303180378297 2),(-0.00479865481163 91),(-4.4408920985e-16 172),(-6.66133814775e-15 268),(-0.00132489204325 337),(-0.00395829407371 426),(-1.14492989724 508),(-1.06581410364e-14 689),(-0.0375647186765 881),(-1.15463194561e-14 1102),(-7.1054273576e-15 1184),(-4.88498130835e-15 1276),(-0.0145902154164 1372),(7.1054273576e-15 1447),(-0.0131314114679 1521),(-4.4408920985e-15 1611),(-4.4408920985e-16 1688),(0.0 1783),(2.6645352591e-15 1859),(-1.7763568394e-15 2026),(5.3290705182e-15 2194),(1.50990331349e-14 2281),(1.95399252334e-14 2356),(5.3290705182e-15 2431),(-0.00713237007539 2530),(-2.75335310107e-14 2616),(-2.57571741713e-14 2695),(-1.33226762955e-14 2778),
Point5,H1,(5.68894184922 133),(4.5949947528 222),(5.03147678346 292),(5.93682574532 465),(17.9084755038 645),(13.1736717687 799),(9.10429729798 969),(7.13072938826 1138),(8.67643662631 1318),(10.1632788529 1474),(9.68391832013 1651),(10.4727627658 1813),(10.0657300117 1988),(9.56213451888 2148),(10.8856433983 2319),(12.7027222132 2483),(10.9900106591 2647),
Point5,H2,,(4.00553856062 239),,,,(2.84628281149 855),,(2.22044604925e-16 1185),,,(3.99680288865e-15 1703),(-1.7763568394e-15 1861),,,(2.6645352591e-15 2358),,,
Point5,H3,,(4.09070689719 246),,,,(2.84706274599 856),,(2.5100343629 1230),,,(1.25079840066 1726),(0.608460620779 1878),,,(0.669708901677 2373),,,
Point5,H4,,,(-0.0153958835913 336),(-0.759622681206 510),(-0.00460908589868 689),(-0.00798174558616 882),(1.85088343764 1043),(1.85511188756 1245),(9.7699626167e-15 1374),,(0.708597224194 1742),(0.11784491272 1901),(-0.0129043020769 2037),,(0.653667281775 2378),,,
Point5,H5,,,(2.16583478395 379),(6.6605088703 591),(11.122332718 759),(2.42344006471 924),(2.07915569286 1056),(2.42463410981 1259),(2.27143886891 1411),,(1.27628623329 1763),(2.12252292891 1932),(0.763245166336 2084),,(1.18184281259 2396),,,
Point5,H6,(-3.99680288865e-15 94),(-0.00275863222854 172),(-0.0110086498011 270),(-0.0153958835913 336),(-0.00671003848896 424),(-0.759622681206 510),(-0.00460908589868 689),(-0.00798174558616 882),(-0.0199326801814 1103),(2.22044604925e-16 1185),(9.32587340685e-15 1278),(9.7699626167e-15 1374),(3.5527136788e-15 1447),(1.7763568394e-15 1522),(4.4408920985e-15 1611),(3.99680288865e-15 1703),(-8.881784197e-16 1783),(-1.7763568394e-15 1861),(-0.0129043020769 2037),(2.22044604925e-15 2117),(-2.22044604925e-15 2195),(-1.33226762955e-15 2282),(2.6645352591e-15 2358),(-0.00971685434816 2430),(1.23985929634 2531),(8.881784197e-16 2617),(-0.00356689401671 2776),
