Cycle,0.777508593337
Average Width,36.5157486126
Width,,9.13898974531,0,0.0,23.1423375013,51.1353518979,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,55.7153870789,0.0,0.0,25.1582767158,21.9124320554,16.4317038602,89.4915100461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point1,H6,(1.7763568394e-15 171),(8.881784197e-15 332),(8.881784197e-15 500),(1.06581410364e-14 660),(6.2172489379e-15 813),(7.9936057773e-15 970),(-9.7699626167e-15 1128),(9.7699626167e-15 1286),(-1.15463194561e-14 1435),(-0.00479167512612 1593),(0.0 1753),(-1.06581410364e-14 1915),(-1.95399252334e-14 2073),(-1.42108547152e-14 2234),(0.0 2394),(-1.50990331349e-14 2554),(-0.000822486867127 2707),(-2.6645352591e-15 2860),(-7.1054273576e-15 3019),(-1.95399252334e-14 3175),(-8.881784197e-16 3328),(5.3290705182e-15 3484),(1.33226762955e-14 3640),(1.7763568394e-15 3789),(-7.1054273576e-15 3947),(-3.5527136788e-15 4104),(-1.42108547152e-14 4252),(-5.3290705182e-15 4410),(-1.50990331349e-14 4568),(-0.000794887625991 4717),(-0.0033959450134 4872),(-0.00578969705137 5023),(-1.7763568394e-15 5182),(-1.33226762955e-14 5338),(-7.9936057773e-15 5495),(-0.00942121552712 5653),(-7.9936057773e-15 5806),(-3.5527136788e-15 5963),(-8.881784197e-16 6118),(7.1054273576e-15 6277),(4.4408920985e-15 6431),(1.68753899743e-14 6588),(1.24344978758e-14 6748),(4.4408920985e-15 6906),(1.24344978758e-14 7066),(2.6645352591e-15 7225),(-0.00643758615235 7384),(-0.0101801310157 7545),(-2.22044604925e-15 7707),(-0.00373168094453 7866),(-1.7763568394e-15 8027),(-0.000865668507767 8189),(-8.881784197e-15 8350),(-0.00333402263468 8512),(-0.00393104663419 8677),(-0.00902876007214 8837),(-0.00557106705677 9002),(7.9936057773e-15 9162),(-3.5527136788e-15 9321),(-0.0116760036079 9488),(-3.5527136788e-15 9659),(-1.42108547152e-14 9818),
Point2,H1,(14.6671055095 36),(12.7313755548 206),(10.9853322588 371),(12.8145417405 534),(12.0030594384 694),(12.8012412864 848),(12.3789771424 1003),(13.7886267402 1157),(13.6423184728 1318),(14.2247293861 1474),(15.1612682157 1631),(15.2474587371 1792),(14.2983242536 1949),(13.5578425921 2104),(13.9351021696 2267),(13.7612724569 2434),(12.8385346049 2584),(12.7816957033 2741),(14.8258076652 2899),(13.462450786 3056),(12.3521171177 3207),(14.8046257934 3362),(14.0463316428 3521),(12.8072670376 3669),(14.7077789713 3828),(13.4032512159 3982),(12.5847228441 4133),(12.0197673979 4288),(11.7593381868 4443),(11.8997599245 4598),(11.7661622896 4753),(10.1196652683 4900),(9.86077545239 5059),(11.5237663866 5218),(8.90966971288 5380),(11.1292676492 5525),(10.8849846555 5684),(11.3024682694 5841),(9.99967946081 6002),(10.5189887475 6151),(10.8437656782 6309),(9.75318419739 6468),(12.255667192 6625),(10.6772920424 6783),(13.5910904757 6941),(9.71413031532 7096),(11.7549270399 7258),(11.0915852024 7422),(9.17287866578 7575),(10.5512365888 7738),(11.6445618111 7903),(10.9755997731 8062),(10.3206996313 8222),(10.7093598515 8386),(10.9070402456 8547),(9.47305269523 8707),(11.6052069943 8868),(9.26542702425 9031),(8.47934124984 9194),(10.4137898762 9358),(11.8846039163 9524),(10.3055548728 9689),(9.91034191279 9847),
Point2,H2,,,,(0.46800349415 615),,(6.75367222046 883),(7.22086594973 1042),,,,,(9.7475967103 1827),,(7.8057186496 2146),,,(6.5183258296 2625),,,,,,,,,(7.11120313031 4017),,,,,(6.80537845508 4785),(4.53427144572 4948),,,(7.07538485824 5405),,(5.54794082787 5728),,,,,(6.10177063624 6498),,,,,,,,(5.47046581893 7773),(5.69476416199 7934),,,,,,(5.95034439491 8914),(4.2731494774 9070),,,,,
Point2,H3,,,,(0.488346921834 621),,(6.76463948532 887),(7.22634268203 1045),,,,,(9.77348061622 1832),,(7.81727523824 2150),,,(6.52689163541 2629),,,,,,,,,(7.40059019815 4027),,,,,(6.87490543041 4793),(4.55936461536 4954),,,(7.3966201669 5417),,(5.65207863035 5736),,,,,(6.42760680901 6511),,,,,,,,(5.55237519317 7781),(6.40148841082 7948),,,,,,(5.95823643491 8918),(4.56775375923 9081),,,,,
Point2,H4,(0.783818059635 139),(0.464130337856 303),(0.395698510817 456),(0.116158337534 637),,(0.765264816146 940),(0.435203678041 1101),,,(1.45103236587 1562),,(3.07025857549 1885),,(1.80372193572 2205),(0.904379884586 2366),(2.08266641627 2525),(0.248451976885 2689),,(1.12723425947 2991),(0.614484477572 3149),,(2.08865920111 3454),(1.53424947318 3615),(1.2760133778 3757),(2.37841210544 3918),(1.90587650436 4076),,(1.3095390598 4381),,,,(1.71375457168 4992),,,(0.407833173116 5474),(0.85680547067 5612),(1.34665745759 5773),(1.87564493454 5933),,,(1.01107415919 6399),(1.42413181282 6553),(2.24288752442 6711),(0.914621517692 6873),(3.66674121613 7021),(0.973418385713 7194),,,(0.930764063919 7669),,(0.710958751225 7998),(1.62613246625 8156),(1.35278581291 8302),(0.914795893246 8478),,(0.666352282076 8802),(1.42418719888 8977),(-4.4408920985e-15 9131),,(-0.0115786773953 9453),(1.78018485176 9615),,
Point2,H5,(1.6225741758 154),(0.552274712763 313),(0.835993273838 478),(0.28537102868 648),,(1.40643774052 953),(1.22657887839 1114),,,(1.89670916427 1575),,(3.22235970463 1893),,(2.06605271747 2215),(1.28174250607 2377),(2.19406840645 2533),(0.283423951439 2695),,(1.16193475968 2997),(0.988820079417 3160),,(2.45777615261 3464),(1.61185608004 3622),(1.74351127816 3769),(2.55716349847 3926),(2.06799032156 4085),,(1.4053572731 4390),,,,(1.72971984146 4997),,,(0.432909931965 5479),(1.17846652186 5627),(1.56241581216 5784),(1.90924332385 5940),,,(1.10950870025 6408),(1.51971045582 6562),(2.61992464233 6725),(1.56979137135 6888),(4.14834165743 7040),(1.57553428099 7208),,,(1.81621961978 7687),,(0.929609372896 8009),(1.94938391975 8168),(2.819340004 8324),(1.26392607302 8491),,(0.84055894048 8817),(1.44217759008 8981),(1.42831874977 9148),,(0.0615735448381 9465),(3.14200538331 9635),,
Point2,H6,(-0.00586318751189 170),(-2.6645352591e-15 330),(-0.00191773145499 498),(-1.24344978758e-14 659),(-4.4408920985e-15 809),(-1.06581410364e-14 968),(8.881784197e-16 1127),(7.9936057773e-15 1284),(9.7699626167e-15 1432),(7.1054273576e-15 1592),(7.9936057773e-15 1751),(-0.00321610172923 1914),(1.33226762955e-14 2070),(1.24344978758e-14 2232),(1.50990331349e-14 2392),(6.2172489379e-15 2552),(-9.7699626167e-15 2706),(-0.00213498919289 2855),(-1.7763568394e-15 3018),(-1.42108547152e-14 3174),(-6.2172489379e-15 3324),(7.9936057773e-15 3483),(-9.7699626167e-15 3639),(-0.000211630408918 3787),(-8.881784197e-16 3945),(4.4408920985e-15 4103),(5.3290705182e-15 4250),(7.1054273576e-15 4407),(-0.00535483086574 4566),(2.6645352591e-15 4715),(-6.2172489379e-15 4871),(-8.881784197e-15 5021),(-0.00085506375133 5180),(-0.010150072174 5336),(-0.00195484660159 5492),(-8.881784197e-15 5650),(-1.7763568394e-15 5805),(-1.06581410364e-14 5961),(-0.00160197144494 6115),(-5.3290705182e-15 6275),(5.3290705182e-15 6428),(-0.00228941338893 6584),(2.6645352591e-15 6747),(1.15463194561e-14 6904),(7.9936057773e-15 7065),(8.881784197e-16 7224),(-0.0081781066452 7382),(-0.00483033926326 7543),(-1.42108547152e-14 7705),(-6.2172489379e-15 7864),(-1.33226762955e-14 8025),(-1.42108547152e-14 8187),(-0.000956778428142 8349),(0.0 8510),(-4.88498130835e-15 8677),(-6.2172489379e-15 8836),(-0.00699491465501 9000),(-4.4408920985e-15 9131),(-0.00297083938416 9320),(-0.209385899951 9485),(-0.00365746267972 9657),(-2.6645352591e-15 9817),
Point3,H1,(12.5365856536 37),(10.3814046221 209),(9.54352632901 371),(10.6136789363 536),(10.3136297981 693),(10.4492771052 850),(11.2008721874 1003),(12.1388231871 1159),(11.2525367306 1317),(12.5824800323 1474),(13.082815985 1635),(13.536852118 1793),(13.1916086836 1950),(11.3305752675 2104),(11.7920700025 2269),(12.2148233547 2437),(11.2196820504 2585),(11.5008692011 2741),(13.9143776661 2900),(11.8957665364 3057),(10.1252555661 3205),(13.2502185807 3364),(13.0127968394 3521),(11.667270055 3669),(12.5056680973 3827),(10.6166916863 3978),(11.306015297 4135),(10.8407826625 4289),(10.6729601305 4444),(9.79648528202 4599),(10.2634988753 4755),(7.6191805225 4900),(7.53783361069 5061),(10.7177166274 5218),(7.68732180186 5373),(9.27712865657 5526),(8.36727385321 5684),(9.64429739562 5841),(8.05157169426 6005),(8.64497677477 6150),(9.14438235927 6309),(8.85459991653 6468),(10.2835567726 6625),(9.21486726407 6783),(11.9322826439 6941),(7.41648185453 7094),(10.8067488861 7258),(10.3830765544 7422),(8.16468452686 7575),(7.56551263943 7738),(9.36489582835 7903),(9.15029869445 8063),(7.83599726203 8223),(8.75944596494 8386),(7.31061158717 8546),(7.85451010583 8707),(9.48006092453 8869),(7.49418773481 9030),(7.59803029161 9190),(8.5180458223 9356),(11.9700123769 9525),(8.22489304317 9690),
Point3,H2,(6.0035111718 74),,,(0.244461802981 617),,(5.66381239756 879),,,,,,,(8.56622437508 1982),(6.06985241826 2143),,(7.8819086086 2468),,,,,,,,,,(6.19053048913 4014),,,,,(5.64111636293 4783),(2.15497438159 4953),,,(6.58933958158 5402),,,,(5.20033937551 6035),,,(5.8404728988 6506),,(4.72451639184 6818),,(4.92376257096 7137),,,,,(3.8889420033 7934),(4.39513142207 8093),(2.3434019686 8259),,(-0.013142869746 8624),(1.95186888858 8771),,(-0.0032075529744 9113),,,(7.70197347927 9559),,
Point3,H3,(6.01465206924 78),,,(0.247099348254 620),,(6.35128640017 894),,,,,,,(8.80007124964 1992),(6.83063638166 2156),,(7.90027423745 2472),,,,,,,,,,(6.75537673729 4028),,,,,(6.32514361674 4797),(2.30618230127 4965),,,(7.55803132543 5419),,,,(5.23619537463 6041),,,(5.84464684801 6509),,(4.90775885828 6828),,(4.92496715435 7140),,,,,(4.89263786456 7950),(4.75048000904 8108),(2.45020133934 8268),,(0.451708835371 8639),(1.95647480852 8775),,(0.02066454156 9122),,,(7.73293753206 9565),,
