Cycle,0.977960526316
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point1,H6,(-0.00829714749043 239),(5.77315972805e-15 456),(2.03861894598 529),(-0.0150475827989 658),(-8.881784197e-16 877),(3.5527136788e-15 1074),(-0.00150990117696 1281),(6.2172489379e-15 1489),(-4.4408920985e-16 1688),(-2.22044604925e-15 1886),(-3.10862446895e-15 2082),(4.4408920985e-16 2279),(-0.00226518095715 2474),(-0.00157779785805 2697),(-5.77315972805e-15 2902),(-0.131319007131 3077),(-3.5527136788e-15 3330),(-4.4408920985e-15 3537),(-3.5527136788e-15 3747),(4.4408920985e-16 3952),
Point2,H1,(9.62993495784 33),(8.43085169864 239),(8.57471116566 445),(10.7290720041 679),(9.0062878354 886),(8.88886481183 1073),(9.42746251504 1278),(9.77662821701 1485),(9.61358306415 1705),(11.2317095043 1911),(11.2690034153 2083),(10.6450242434 2274),(11.0567676605 2479),(10.3674651898 2690),(11.1584494627 2922),(11.9525818157 3123),(12.5640493647 3325),(10.7053379556 3539),(8.8580181648 3742),(10.9782568928 3977),
Point2,H2,,,,,,(8.64624408099 1083),,,,,,,(9.95196143461 2494),(9.98374246778 2701),,,,,,,
Point2,H3,,,,,,(8.86230090681 1094),,,,,,,(10.1291146187 2503),(10.0367333293 2707),,,,,,,
Point2,H4,,,,,,(0.600789024386 1212),(8.48896127843 1292),,(-0.000680253928286 1839),(1.21237353474 2013),,(1.50990331349e-14 2426),(0.869358432717 2632),(-1.7763568394e-15 2862),(0.182436520173 3047),(2.88788474856 3254),(0.827260096438 3462),(0.0 3670),,,
Point2,H5,,,,,,(0.614718379486 1218),(8.97367363015 1305),,(10.9175499079 1872),(1.22428904096 2018),,(0.380894110642 2438),(1.26431494072 2644),(9.53464377669 2898),(0.981079888901 3062),(3.24698061501 3265),(1.02465615579 3474),(0.369089487167 3687),,,
Point2,H6,(-0.0036744807066 187),(1.11022302463e-14 413),(3.5527136788e-15 622),(-6.2172489379e-15 835),(-0.000238121893039 1015),(1.7763568394e-15 1243),(9.7699626167e-15 1446),(4.4408920985e-15 1644),(-0.000680253928286 1839),(-1.7763568394e-15 2036),(8.881784197e-16 2241),(1.50990331349e-14 2426),(8.881784197e-16 2659),(-1.7763568394e-15 2862),(3.5527136788e-15 3075),(4.4408920985e-15 3286),(-8.881784197e-16 3491),(0.0 3670),(1.33226762955e-15 3850),(-8.881784197e-16 3909),
Point3,H1,(18.7391566658 31),(18.0841090453 238),(18.8015228522 445),(20.7376172677 656),(18.5923104245 865),(18.5155424542 1070),(18.7332388097 1277),(19.5360054302 1485),(18.4412499836 1677),(19.4902981284 1871),(19.2426681255 2081),(19.4444780443 2270),(20.4969287209 2478),(19.4600470866 2687),(19.1388442822 2918),(21.1927103046 3121),(21.7424488666 3326),(19.8058760972 3534),(18.7447821895 3740),(19.3948538835 3946),
Point3,H2,(17.6748192305 43),,,(19.917938767 667),(18.0111321302 875),,(15.8778101015 1294),,,(18.0607006196 1884),,(17.8269763036 2285),(18.372522431 2494),,(1.57201237473 3019),,(2.01164087471 3442),,,
Point3,H3,(18.0182415377 52),,,(20.2450277816 675),(18.2238582034 883),,(16.0272162187 1301),,,(18.5487467649 1895),,(17.9878354743 2292),(18.4429487576 2499),,(1.69405059589 3027),,(2.01792014655 3446),,,
Point3,H4,(1.7763568394e-15 184),,(11.4425605485 491),(1.92215265488 809),,,(2.43889581762 1416),,(16.1595769059 1694),(1.85140730501 2008),,(0.128725363389 2424),(1.55105932179 2631),,(0.0 3045),(3.37494574025 3252),(1.94527689739 3457),(0.0906814985589 3668),,
Point3,H5,(0.552154148798 197),,(11.7566515086 500),(2.06204520899 817),,,(2.6829534659 1425),,(16.2136859018 1699),(2.43265627877 2019),,(0.678216023494 2436),(2.53226609533 2644),,(2.36940884065 3062),(4.01435728401 3265),(2.422564713 3472),(0.739589368748 3684),,
Point3,H6,(1.7763568394e-15 184),(-3.5527136788e-15 413),(-8.881784197e-15 622),(-3.5527136788e-15 833),(-1.06581410364e-14 1018),(-0.00422789779471 1241),(0.0 1445),(1.7763568394e-15 1642),(-0.00621405717223 1839),(1.59872115546e-14 2036),(1.59872115546e-14 2238),(8.881784197e-15 2447),(0.0 2658),(-1.59872115546e-14 2861),(0.0 3045),(-1.7763568394e-15 3284),(-4.4408920985e-15 3491),(-1.7763568394e-15 3700),(-0.00375474535968 3907),
