Cycle,0.750138461538
Average Width,6.38362012813
Width,,6.74842687227,6.17956351044,6.66587502577,6.34016239291,7.03315920875,7.38847396102,6.06379446449,6.32616110896,7.39018515737,6.97080046208,5.89074148691,5.80238113388,6.98668274847,6.39312418315,6.56692107743,6.50353081927,6.73356120052,6.47490135063,6.2072804488,5.62628916802,6.36598104794,5.8815482632,5.94972370775,7.34359143983,6.23707411718,5.54744283239
Point2,H1,(10.0746812823 33),(14.7361919021 191),(14.0289833623 346),(13.9238812111 498),(15.3465419353 645),(16.1451781431 802),(14.4626069839 951),(14.5399254906 1101),(15.2054353015 1250),(14.5921367355 1410),(12.4837836259 1558),(12.548990794 1716),(14.9108556913 1886),(12.3751483072 2049),(13.6180669864 2208),(14.861972733 2361),(14.9231290103 2514),(10.6111607476 2671),(13.7160358312 2821),(13.0957241667 2987),(13.6442893597 3159),(14.2258811895 3325),(15.0780153396 3486),(12.6082575339 3648),(12.5672013839 3807),(14.6732781658 3969),
Point2,H2,,,,(6.42255938907 528),(7.25820990242 688),(4.60020780588 872),(8.52882841005 988),(9.10989721489 1132),,,,(2.1332285628 1795),,(6.55180027533 2072),,(9.25879848779 2388),(9.51294299411 2541),(8.28923020647 2695),,,(8.46413233849 3190),,(9.42318414543 3519),,(6.16672504002 3836),,
Point2,H3,,,,(6.95586938143 546),(7.2996976426 694),(4.61742392513 876),(8.52922162627 990),(9.12767508851 1137),,,,(2.40569481857 1806),,(7.22094898933 2088),,(10.1422110806 2402),(9.53024221737 2545),(8.58654275461 2707),,,(8.66622745074 3199),,(9.44110589943 3524),,(6.85670512258 3851),,
Point2,H4,(0.956792750267 99),,(3.52456579193 418),(1.09058686794 588),,(2.87240506322 896),(1.90618329328 1034),(3.77578376192 1175),(1.79539337123 1333),,(1.7115755693 1666),(1.81469274067 1822),,(2.36772028216 2130),,(4.03987386815 2445),(3.0374577249 2606),(3.82208367365 2745),(7.36887028529 2869),(2.67143613656 3099),(2.89844676996 3262),,,,,,
Point2,H5,(1.35828135363 114),,(4.51189803003 435),(2.16609518745 602),,(3.0513962214 904),(2.91946852294 1049),(3.93796457112 1183),(2.31359535765 1348),,(1.7218019934 1670),(1.97397358261 1832),,(2.71203281048 2146),,(4.05282782055 2449),(3.34127965898 2616),(4.0609671791 2755),(7.3766764364 2873),(3.0863223285 3111),(3.15447341528 3272),,,,,,
Point2,H6,(-0.149765422398 3),(-0.047044286264 146),(-7.1054273576e-15 314),(3.5527136788e-15 468),(6.2172489379e-15 617),(-5.3290705182e-15 766),(-9.7699626167e-15 922),(-2.6645352591e-15 1067),(-0.000400003851139 1222),(-0.00491730923906 1375),(5.3290705182e-15 1530),(8.881784197e-16 1688),(-3.5527136788e-15 1850),(-4.4408920985e-15 2017),(7.1054273576e-15 2173),(-0.00466539631229 2330),(-4.4408920985e-15 2481),(-4.4408920985e-15 2637),(-1.7763568394e-15 2793),(-4.4408920985e-15 2954),(-9.7699626167e-15 3130),(-4.4408920985e-15 3292),(-1.24344978758e-14 3451),(-4.4408920985e-15 3612),(-3.5527136788e-15 3773),(8.881784197e-16 3928),
Point3,H1,(9.93765988643 31),(13.8674418905 190),(13.8338568876 344),(13.0808051601 496),(14.3735725921 643),(15.2572723043 800),(13.2665853056 950),(13.7853067841 1100),(14.2945020497 1249),(13.7237190732 1409),(11.3747556811 1557),(12.5324943642 1714),(14.1118022029 1884),(11.9785536698 2048),(12.9502076941 2207),(13.5467944376 2361),(14.4555250233 2513),(9.66484845669 2670),(13.0440302515 2820),(11.7855040363 2986),(12.5501117226 3158),(13.5721260297 3324),(13.9618531303 3484),(11.9655878952 3647),(12.0579822331 3806),(13.8962585012 3968),
Point3,H2,(3.14601203098 60),,,(6.53776991231 523),,(4.30101291186 872),,(8.77476505978 1130),,,(2.53942796567 1638),(2.41200952876 1795),,(6.56159841703 2072),,(8.94608087182 2387),,(7.63573275128 2695),,,(8.10952486605 3190),(8.78273254856 3355),(8.81572549519 3517),,(6.02409134079 3836),,
Point3,H3,(3.45611415526 74),,,(7.1683439712 545),,(4.30591281896 874),,(8.93967567284 1139),,,(2.62061480246 1646),(2.56626278008 1805),,(7.64600494893 2090),,(9.63206633889 2400),,(7.94006974923 2707),,,(8.28325871894 3200),(8.82313508801 3361),(8.96355534214 3526),,(6.66334071949 3851),,
Point3,H4,(0.818468920486 100),,(4.05290974048 414),(0.958085336482 587),,(2.50677793654 896),(1.53171870792 1033),(3.80434815022 1174),(1.94836002717 1329),,(1.87172273112 1664),(1.95397578187 1821),,(2.60674568963 2139),,,(3.02433724394 2604),(3.36478827384 2742),,(2.26060961182 3098),(2.98139229394 3264),(2.78107161465 3422),,,,,
Point3,H5,(0.97726292633 110),,(5.03655542314 431),(1.92595906121 601),,(2.58827576452 903),(2.74042231126 1049),(3.9483115936 1181),(2.46977407861 1345),,(1.92327284104 1670),(2.13881181853 1831),,(2.72615804445 2148),,,(3.34928602862 2615),(3.66438624098 2754),,(2.56588141912 3110),(3.00064390332 3269),(2.78956737101 3426),,,,,
Point3,H6,(-0.128641485179 3),(-0.0565419153875 149),(2.6645352591e-14 313),(1.7763568394e-14 468),(2.57571741713e-14 616),(2.13162820728e-14 766),(7.9936057773e-15 921),(7.1054273576e-15 1067),(-0.00156821126418 1222),(8.881784197e-15 1374),(1.42108547152e-14 1530),(7.9936057773e-15 1688),(1.15463194561e-14 1849),(-1.7763568394e-15 2016),(-8.881784197e-15 2173),(-1.7763568394e-15 2330),(-8.881784197e-16 2478),(3.5527136788e-15 2636),(8.881784197e-16 2792),(4.4408920985e-15 2953),(1.06581410364e-14 3129),(7.1054273576e-15 3290),(0.0 3450),(-1.7763568394e-15 3611),(4.4408920985e-15 3772),(5.3290705182e-15 3930),
Point4,H1,(7.21316019717 33),(10.0211675646 191),(10.3391715771 345),(9.41155093168 499),(10.3901771996 647),(11.1971422352 800),(8.45969444663 952),(9.28614897991 1105),(11.1874263031 1250),(9.62884329004 1410),(6.63484468077 1557),(7.54980435291 1716),(10.044245707 1883),(8.23396629082 2050),(9.40664082163 2208),(9.65718669051 2361),(9.97792334995 2512),(6.19244921714 2674),(8.74051068803 2824),(7.95167267412 2986),(8.77530524024 3158),(8.49505058513 3326),(10.0867970745 3485),(8.83123907776 3647),(7.76974856291 3806),(9.29947978982 3969),
Point4,H2,(2.87247093964 62),,(6.46287776447 379),(5.22812792565 527),(4.29753109657 687),,,(7.04823706586 1133),,(5.86312535316 1435),(2.12079951192 1629),(2.02948677732 1797),(6.05720075598 1918),(4.52456189712 2075),,,(7.22756209833 2535),(5.48131902373 2696),(5.73375882312 2861),(1.78740679533 3076),,(5.40151443178 3357),,(6.26073786255 3671),,,
Point4,H3,(3.05645891237 73),,(6.51019841237 385),(6.14311673896 543),(4.47740787402 697),,,(7.18587320017 1143),,(7.31255596263 1453),(2.73188859025 1644),(2.03547003019 1800),(6.64561833729 1930),(5.51293202327 2092),,,(7.43992330643 2547),(5.75780379433 2709),(5.85476555864 2871),(2.01241368143 3094),,(5.74359107987 3369),,(6.4320431901 3681),,,
Point4,H4,(0.103046162488 102),,(3.12682966584 417),(0.498062825105 587),(1.64929746215 727),(1.8162744371 896),(0.590861406067 1032),(3.27417321766 1179),(1.98423783469 1330),(3.01147796724 1482),(1.16935527357 1663),(1.23480893842 1821),(2.8813150278 1957),(1.84121925851 2139),,(7.04844346562 2388),(2.42714777135 2604),(2.24813597251 2743),(3.24032892106 2897),(2.00720688264 3099),(6.18797239785 3191),(2.34758021041 3398),(6.96064167862 3514),(1.85490425539 3741),(4.05079227464 3837),,
Point4,H5,(0.566041667906 126),,(3.67946579876 430),(1.55603641098 602),(1.85141954974 738),(1.90469963657 903),(1.25545333144 1049),(3.74380737279 1192),(2.10898661109 1339),(3.62649742517 1500),(1.48188916722 1674),(1.57748616915 1833),(3.00633285915 1966),(1.85107520693 2144),,(7.40402481115 2400),(2.46960470043 2610),(2.59261283708 2757),(3.70374853965 2909),(2.00914422371 3102),(6.29048284507 3201),(2.40197970063 3405),(7.16073345108 3526),(1.98296301325 3750),(4.4659148732 3851),,
Point4,H6,(-0.17909526426 4),(-0.0801753860133 148),(-2.6645352591e-15 312),(-1.42108547152e-14 466),(8.881784197e-16 617),(-6.2172489379e-15 764),(6.2172489379e-15 922),(-0.00141186372384 1066),(3.5527136788e-15 1219),(9.7699626167e-15 1365),(0.0 1529),(7.54951656745e-15 1689),(1.7763568394e-15 1850),(-0.00316378493517 2021),(0.0 2172),(-0.00176766672909 2329),(-3.5527136788e-15 2475),(-7.54951656745e-15 2637),(-3.5527136788e-15 2792),(-0.00153694026979 2953),(-4.4408920985e-15 3128),(-6.2172489379e-15 3290),(-2.6645352591e-15 3449),(-8.881784197e-16 3612),(-0.00692868718901 3772),(-1.7763568394e-15 3933),
