Cycle,0.744325236167
Average Width,8.48024347014
Width,,5.35827152276,6.20638711824,8.42025198086,7.96522393105,8.29619634054,5.39122841461,7.52084630179,5.80112179865,7.14024603865,7.65457951806,6.36146304972,17.5734932729,7.05166788882,15.1886927665,6.71647150405,7.28250687052,6.30648431767,7.47823794482,7.07656142239,7.23029447454,7.72972902893,8.91687713436,7.1381090503,10.580214825,24.7387617539,9.59699346079,16.5496437461,6.93011758845,18.5810938444,13.7472248765,0,25.5270777217,9.67591582575,10.4364404608,0,13.0534087081,8.46246744626,110.000983408,11.5125866821
Point1,H5,(2.37115151349 198),(3.61796038069 340),(3.18188201613 483),(5.36079426371 628),(3.52401194542 774),(5.02917809876 916),,(3.43881126098 1223),(3.94521462249 1351),(0.534360140318 1525),(6.31689294377 1611),(4.12261454686 1797),(8.99331065056 1889),(5.32236956308 2067),(3.32413715551 2210),(3.6121047449 2375),(5.55813608051 2533),(0.497990619294 2694),(3.82443204548 2837),(4.25349643153 2997),(2.31006587428 3156),(1.30749862916 3311),(4.27148870655 3477),(2.29888969778 3614),(4.07094427295 3782),(2.26862822792 3938),,(2.57937620877 4260),(3.10284570531 4421),(0.882640226304 4565),,(3.37317593555 4901),(2.46338384628 5062),(2.5190356729 5204),,(3.00538652864 5541),,(3.74503071208 5840),(4.46443101178 6003),,
Point1,H6,(1.06581410364e-14 130),(8.881784197e-16 213),(-0.0154133730134 358),(-1.82076576039e-14 416),(-1.7763568394e-14 501),(5.3290705182e-15 560),(1.7763568394e-15 645),(-1.7763568394e-15 704),(-1.33226762955e-14 788),(-1.15463194561e-14 934),(-8.881784197e-15 1091),(-0.543306443792 1237),(-1.86517468137e-14 1375),(-4.4408920985e-15 1535),(-0.0396007839784 1663),(-7.1054273576e-15 1728),(-0.0342006213018 1812),(-8.881784197e-16 1942),(1.24344978758e-14 2085),(-3.5527136788e-15 2230),(-0.00104483486009 2389),(-1.7763568394e-15 2550),(-1.59872115546e-14 2703),(-5.3290705182e-15 2854),(5.3290705182e-15 3014),(1.7763568394e-15 3176),(-0.00510992193492 3341),(1.42108547152e-14 3494),(1.24344978758e-14 3637),(-0.00499745221511 3796),(8.881784197e-16 3954),(5.3290705182e-15 4117),(-1.7763568394e-15 4277),(5.3290705182e-15 4436),(-5.3290705182e-15 4581),(-0.00143284081104 4749),(8.881784197e-16 4917),(0.0 5076),(2.6645352591e-15 5222),(-1.7763568394e-15 5383),(-4.4408920985e-15 5556),(-1.42108547152e-14 5707),(-1.7763568394e-14 5862),(-5.3290705182e-15 6022),
Point2,H1,(26.2964265535 106),(23.513957786 244),(21.4409753499 387),(22.9852163974 533),(26.0292271523 671),(28.9401728266 813),(25.223935072 961),(30.0561394862 1116),(26.8741005767 1263),(27.7527887242 1415),(24.745683084 1561),(22.2761450803 1704),(26.768984307 1836),(26.7283671791 1976),(30.8081932644 2111),(28.7548832789 2263),(29.6760868507 2420),(26.1581403083 2575),(27.1319879141 2730),(27.1130705802 2884),(25.6454055531 3044),(26.0161347627 3208),(27.0592593384 3370),(24.8721420833 3522),(26.4570097655 3673),(29.8549859351 3820),(28.6563369089 3979),(30.0191100064 4142),(25.8872833809 4309),(26.1057120265 4459),(25.2505268681 4617),(26.9947463081 4779),(27.450393547 4940),(26.1432019582 5099),(26.3370041452 5255),(29.4413715477 5417),(28.7846095332 5580),(25.3525285341 5738),(25.8037653875 5895),(24.1230992801 6049),
Point2,H2,(-1.7763568394e-15 130),(3.32933935282 271),(-5.3290705182e-15 416),(-0.00239708571708 559),(-1.42108547152e-14 703),(6.50660613227 844),,(6.63393413675 1143),,(4.97883135373 1440),,(3.90798504668e-14 1728),,(6.58896537115 1999),(10.9352369719 2142),(9.08852964911 2288),(13.0800263689 2447),(7.75146655149 2605),(5.69049640454 2752),(10.2497100178 2911),(9.35126240804 3071),(6.00139519362 3232),(6.30948280346 3392),(6.87978006692 3551),(7.30623632978 3695),(11.5741565885 3844),,(13.3242528542 4172),(8.59206899121 4334),(8.03031801223 4483),(7.43553872454 4640),(10.4724440696 4801),(10.9527568794 4966),(7.37248990481 5122),(10.8263441972 5279),(10.784970906 5441),(9.57872019401 5604),(7.07879099142 5760),(11.0065106831 5919),,
Point2,H3,(5.16595180356 164),(8.8597576678 291),(6.10320451962 438),(7.75844884304 582),(6.42484496772 724),(10.6723667717 865),,(11.0940575139 1167),,(11.2445384381 1462),,(8.42593850669 1751),,(13.5840529397 2019),(13.4297905363 2159),(12.6860625828 2304),(16.6970063205 2463),(11.3230689752 2623),(11.2374797445 2771),(14.0493190614 2929),(12.8681184001 3089),(11.1332802066 3251),(12.4700322041 3416),(12.2856698507 3571),(13.1436090398 3716),(13.1088642275 3867),,(14.8220037085 4189),(13.8973355434 4352),(11.7740133712 4505),(11.7968754559 4659),(14.1393306482 4819),(12.6075761657 4988),(12.3112688169 5148),(15.1019361852 5298),(15.0285095432 5459),(13.2010431024 5627),(12.5055851726 5783),(15.3997136699 5938),,
Point2,H4,(0.696706838634 184),(2.93610307518 326),(1.83000200419 469),(2.59686481957 614),(0.446102158132 757),(3.40422138399 901),,(1.47440853889 1207),(4.92737750239 1295),,(2.56992510317 1585),(2.46629378214 1782),(6.36390275354 1863),(5.67482478458 2055),(3.96498321527 2200),(1.87740460361 2359),(4.80750409634 2521),(0.027851900319 2688),(3.08386452765 2824),(4.08239752897 2984),(2.54086799499 3143),(1.37691016096 3304),(3.27581128776 3464),(3.26270535637 3607),(3.50899581047 3770),(2.10397122506 3931),,(3.68978173968 4248),(2.59789620916 4410),(1.2909121961 4554),,(3.42731831733 4889),(2.23235759761 5049),(2.72990793815 5191),,(2.38693763605 5527),,(3.6828074068 5832),(4.5730040002 5994),,
Point2,H5,(2.33852599421 198),(4.60015252819 340),(3.41026583096 484),(5.26110518575 629),(3.68087760759 774),(6.23348063511 917),,(5.22056052352 1222),(11.1435321776 1317),,(8.08821981661 1610),(4.8083868213 1797),(10.3366304988 1888),(7.05999926312 2067),(4.58994491604 2210),(5.00954057609 2374),(6.27770773455 2533),(0.239259147864 2695),(4.95665702364 2838),(5.27827321664 2996),(3.45153512097 3156),(1.51167619733 3312),(5.09135528602 3477),(3.38144110375 3614),(4.94397368391 3781),(2.62447262042 3941),,(4.5143592781 4260),(3.80294847232 4421),(1.89259045002 4565),,(4.93304636345 4901),(2.99230830505 5061),(3.97939665541 5204),,(3.98228711179 5541),,(4.53384858746 5844),(5.45438496908 6004),,
Point2,H6,(-1.7763568394e-15 130),(-0.00265956315805 212),(-5.3290705182e-15 358),(-5.3290705182e-15 416),(3.5527136788e-15 502),(-0.00239708571708 559),(1.7763568394e-15 645),(-1.42108547152e-14 703),(-2.30926389122e-14 788),(-7.9936057773e-15 934),(1.95399252334e-14 1091),(2.6645352591e-14 1237),(0.0 1378),(-1.42108547152e-14 1532),(-0.0334042625442 1666),(3.90798504668e-14 1728),(2.48689957516e-14 1812),(-1.7763568394e-15 1942),(-2.84217094304e-14 2085),(-3.19744231092e-14 2230),(-1.7763568394e-15 2390),(-0.0193569675289 2550),(-1.59872115546e-14 2702),(-1.95399252334e-14 2854),(-2.84217094304e-14 3014),(-8.881784197e-15 3175),(-1.24344978758e-14 3340),(-7.1054273576e-15 3494),(7.1054273576e-15 3637),(-1.59872115546e-14 3796),(-3.01980662698e-14 3954),(-2.6645352591e-14 4117),(-1.95399252334e-14 4278),(0.0 4436),(-1.06581410364e-14 4583),(-1.7763568394e-14 4750),(-1.06581410364e-14 4916),(-1.06581410364e-14 5075),(-1.7763568394e-15 5222),(1.7763568394e-15 5383),(3.5527136788e-15 5555),(5.3290705182e-15 5705),(1.42108547152e-14 5862),(8.881784197e-15 6021),
Point3,H1,(18.3271703937 115),(19.2876633372 258),(19.9994083504 404),(22.3305241237 542),(24.5498422095 683),(23.710505338 831),(25.4406919852 985),(23.7443393286 1133),(25.2492162357 1286),(25.5656029222 1431),(22.125855014 1574),(26.6550112427 1706),(25.949645621 1846),(30.5451583061 1981),(29.006759046 2133),(27.3106183094 2290),(24.3521065949 2445),(25.8634749595 2600),(26.4720962301 2754),(25.764456926 2914),(26.0405168548 3078),(27.8456814018 3240),(26.060637489 3392),(27.8876883397 3543),(32.406049503 3690),(33.3152508633 3849),(35.9548358185 4012),(29.622028483 4179),(31.5607686744 4329),(30.8943332032 4487),(33.4556046848 4648),(34.2104571928 4810),(31.0998146151 4969),(29.9465980678 5125),(33.6860857853 5287),(34.7018146836 5450),(30.959449228 5608),(32.8798455045 5765),(30.3980407051 5918),
Point3,H2,(5.3290705182e-15 141),(-1.15463194561e-14 285),(-0.00712362820715 429),(7.1054273576e-15 574),(4.15758610052 715),,(4.28925755497 1013),(2.87951785063 1165),,(1.56835130791 1455),(-0.0104359261261 1597),,(5.28728178612 1869),(10.47139093 2013),(8.44457820536 2157),(11.6299986276 2317),(6.83868918849 2475),,(9.64936638318 2781),(8.21342916938 2942),,(5.46732753536 3262),(7.05448267461 3421),,(12.488831117 3714),,(15.1841789905 4044),(9.55002589836 4204),(9.48000212798 4353),(9.5421540446 4510),(12.8083114105 4671),(13.3764425476 4836),(8.45672132245 4992),(11.7410881114 5149),(12.7622005403 5311),,(7.93919153356 5630),(13.2298240741 5789),,
