Cycle,0.804349063765
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07930851889,0.0,0.0,0.0,0.0,16.4381276358,0.0,0.0,9.184071911,10.3471369012,8.47353374087,0,8.6429518616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point1,H6,(-2.13162820728e-14 121),(-0.00189854152535 300),(-0.0103130608886 456),(-5.3290705182e-15 618),(-3.5527136788e-15 783),(3.5527136788e-15 952),(-6.2172489379e-15 1114),(-0.00845149245155 1289),(8.881784197e-15 1448),(0.0 1612),(-2.30926389122e-14 1785),(-1.24344978758e-14 1943),(-1.42108547152e-14 2107),(-0.00151821873529 2276),(-1.06581410364e-14 2441),(-2.39808173319e-14 2604),(1.06581410364e-14 2771),(1.06581410364e-14 2939),(-1.86517468137e-14 3104),(-1.06581410364e-14 3277),(-4.4408920985e-15 3433),(0.0 3595),(-0.000166037306544 3764),(-7.9936057773e-15 3929),(-1.33226762955e-14 4093),(-1.06581410364e-14 4263),(-0.00673101503573 4436),(3.5527136788e-15 4603),(-0.00520464156626 4778),(-7.9936057773e-15 4953),(-0.000220235463367 5129),(-1.7763568394e-14 5300),(-0.00220366550738 5478),(-2.6645352591e-15 5641),(-4.4408920985e-15 5818),(6.2172489379e-15 5983),(2.6645352591e-15 6154),(4.4408920985e-15 6333),(8.881784197e-16 6492),
Point2,H1,(7.85260907428 90),(7.02826130939 256),(7.59610359713 422),(8.87745272017 582),(9.32333573087 751),(12.4257015498 915),(10.8586476346 1082),(10.8676334123 1247),(10.8142352632 1416),(11.9161657417 1530),(12.7770807958 1744),(12.0062923217 1913),(11.9933854885 2016),(12.0611194483 2073),(10.7436873371 2241),(12.9103679054 2384),(12.4418513882 2573),(9.79877982822 2739),(12.5238369469 2909),(10.4139857104 3070),(14.7335403239 3232),(12.2566083866 3388),(11.4715926305 3563),(12.7079706754 3700),(12.1586708452 3887),(14.784965027 4056),(12.4652617175 4223),(15.5265492597 4399),(10.9179741341 4576),(13.7144938944 4726),(10.1991885205 4927),(12.5132379986 5097),(10.0740716316 5263),(12.9159010239 5439),(12.1091503405 5609),(7.8367692985 5777),(8.0803781301 5948),(12.6752137612 6117),(9.97576747279 6287),(7.7994699475 6434),(6.10491899531 6561),
Point2,H2,(-0.000337374613848 125),(-0.0020455665436 293),,,,(0.307456747318 958),,(-0.0101915443776 1290),,,,,,,,,,,,,,,,(11.8321378266 3714),,,,,(0.0807294793174 4606),(-7.1054273576e-15 4781),,(-5.3290705182e-15 5130),,,,(-3.5527136788e-15 5814),(6.2172489379e-15 5979),,,
Point2,H3,(3.43453177874 164),(4.84463981337 361),,,,(0.334425454975 962),,(8.0819792169 1345),,,,,,,,,,,,,,,,(12.5102561203 3725),,,,,(0.147416965721 4612),(8.42014472372 4874),,(7.41204139169 5175),,,,(5.74157178448 5852),(0.358898289329 5990),,,
Point2,H4,(2.99951091644 177),(4.69559072049 373),(-0.000676376385455 455),(-0.00356480394252 622),(-0.0246855767881 785),,(-0.00137038969565 1117),(8.04885076152 1351),,,(1.68753899743e-14 1791),,,(4.4408920985e-15 2114),,(5.3290705182e-15 2442),,,(7.9936057773e-15 2943),,,(-0.000728794347871 3436),(-2.6645352591e-15 3599),,(2.6645352591e-15 3930),,,,(-0.00858032641204 4620),(8.38726316904 4879),(4.4408920985e-15 4956),(6.39984749289 5194),(-5.3290705182e-15 5299),(-1.7763568394e-15 5477),,(5.65198035785 5862),,,,
Point2,H5,(4.690532847 199),(4.73242385497 381),(5.43732534245 503),(4.25215465774 661),(4.54156919689 825),,(6.65701491031 1174),(10.6197266999 1393),,,(10.4072320981 1873),,,(7.08680942736 2169),,(8.83378082739 2521),,,(8.22214920047 3037),,,(11.024793069 3513),(6.89338394121 3650),,(7.46637584135 3973),,,,(12.6738695663 4698),(9.31206077845 4898),(10.3909761524 5058),(9.86540709696 5237),(11.472106401 5414),(11.9914592919 5593),,(5.75064262296 5875),,,,
Point2,H6,(-0.000337374613848 125),(-0.0020455665436 293),(-0.000676376385455 455),(-0.00356480394252 622),(-0.0246855767881 785),(1.59872115546e-14 975),(-0.00137038969565 1117),(-0.0101915443776 1290),(5.3290705182e-15 1448),(7.1054273576e-15 1613),(1.68753899743e-14 1791),(0.0 1946),(4.4408920985e-15 2114),(-0.00326265460461 2283),(5.3290705182e-15 2442),(1.68753899743e-14 2603),(2.13162820728e-14 2774),(7.9936057773e-15 2943),(-0.0131072140033 3102),(-0.00113157193061 3281),(-0.000728794347871 3436),(-2.6645352591e-15 3599),(8.881784197e-16 3759),(2.6645352591e-15 3930),(-1.33226762955e-14 4093),(-0.00269901983025 4265),(-9.7699626167e-15 4435),(-0.00858032641204 4620),(-7.1054273576e-15 4781),(4.4408920985e-15 4956),(-5.3290705182e-15 5130),(-5.3290705182e-15 5299),(-1.7763568394e-15 5477),(0.0 5641),(-3.5527136788e-15 5814),(6.2172489379e-15 5979),(-4.4408920985e-15 6158),(-8.881784197e-15 6333),(-0.00608214749817 6493),
Point3,H1,(17.7303198759 36),(18.6712358558 216),(16.27535932 372),(17.2141159292 533),(16.3396352256 696),(14.8655737284 867),(17.9423260318 1030),(17.7241679941 1206),(15.4111257698 1365),(15.9680687503 1526),(18.0736048906 1706),(17.8576921176 1860),(16.2621609203 2021),(17.9850985622 2196),(15.8256674702 2356),(14.7583993101 2519),(12.9390506044 2700),(12.6345197106 2853),(12.87765798 3031),(10.9550919843 3183),(13.5167439099 3347),(12.1915880099 3507),(11.5545058268 3669),(10.4773930334 3841),(10.0771249179 4032),(11.2859692397 4184),(10.5908501833 4368),(12.6341644809 4517),(13.023027961 4692),(14.8786226721 4871),(14.1525087827 5044),(15.6175849959 5221),(12.1336532197 5383),(13.7013218279 5557),(15.2262371134 5732),(14.1161909685 5896),(11.2708890895 6067),(14.4886677735 6244),(15.719906701 6427),(15.0621391645 6582),
Point3,H2,,,,,(15.6087014128 706),,,,,(14.3272445594 1539),,,,,(12.4918883734 2373),(13.801237943 2532),,,,,,(9.38798846293 3526),(9.46666910365 3686),(0.39455993074 3955),(7.64978987375 4055),(1.00389955606 4289),,(11.1361527862 4531),(10.6295882531 4707),,(11.5579858841 5063),,(11.1337898408 5398),(11.8506956828 5574),,,(8.48048860257 6085),(2.26940317203 6354),,
Point3,H3,,,,,(16.1159175222 716),,,,,(14.9289953891 1549),,,,,(12.7270808109 2381),(13.9040286243 2539),,,,,,(9.68251451288 3536),(9.92545335088 3698),(0.54849557706 3964),(7.67914125505 4060),(1.35158372895 4299),,(12.1322261464 4544),(11.4124058027 4719),,(11.8145366149 5072),,(11.1455059128 5402),(11.9470925423 5580),,,(9.09510250162 6097),(2.32822362946 6360),,
