Cycle,0.693522988214
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point1,H5,(3.55322924642 176),(2.07063857751 279),,(2.63654176021 566),,,(0.664446740656 1003),(3.26623670396 1110),,(2.1527982243 1443),,,(2.91815774842 1880),(5.40224771302 1990),(2.64408585941 2164),(4.68666391652 2280),,(1.08065998546 2618),,,(1.56757722287 3047),,,(2.60149078575 3450),,(1.50603916037 3782),,,,(4.64857836913 4327),,(1.14182148823 4663),(0.962468641387 4822),,(0.422208001912 5111),,
Point1,H6,(-0.00798164195939 1),(-0.00648631935644 147),(-0.00288715346344 297),(-3.99680288865e-15 440),(-1.33226762955e-15 586),(-0.00208598277143 728),(3.99680288865e-15 868),(-8.881784197e-16 1022),(8.881784197e-16 1168),(5.3290705182e-15 1317),(3.5527136788e-15 1464),(-9.32587340685e-15 1607),(-0.00236874020189 1750),(-0.000958476017177 1900),(-1.7763568394e-15 2043),(-2.6645352591e-15 2189),(5.3290705182e-15 2341),(-1.7763568394e-15 2481),(-4.66293670343e-15 2632),(-0.01524411074 2772),(-1.7763568394e-15 2917),(1.33226762955e-15 3065),(3.10862446895e-15 3209),(8.881784197e-16 3354),(1.7763568394e-15 3505),(1.7763568394e-15 3656),(5.77315972805e-15 3800),(8.881784197e-16 3947),(-0.00318278412836 4099),(1.1990408666e-14 4244),(5.3290705182e-15 4391),(-3.10862446895e-15 4537),(-3.99680288865e-15 4684),(-7.1054273576e-15 4837),(-0.00020711751397 4985),(-0.00261430828317 5129),
Point2,H1,(5.84892609517 41),(6.11686861349 111),(6.59271366767 220),(4.5112526654 334),(4.88383849938 401),(5.40396403833 532),(5.77403703106 689),(7.19044009995 834),(7.99006574896 983),(5.07907953677 1100),(6.72826735065 1280),(6.45278390879 1394),(7.26306783449 1568),(6.57260258102 1667),(3.88314058774 1807),(6.94203748691 1973),(5.63253556242 2138),(7.44576165908 2276),(6.40619091852 2447),(7.58871011684 2584),(8.50548720814 2675),(7.10956836885 2881),(7.60723133016 3022),(6.07683994208 3143),(7.839984034 3317),(7.80343478105 3471),(7.02421117395 3616),(6.01331855321 3759),(4.87995425939 3863),(6.056778691 4054),(5.81226224832 4205),(5.8025183268 4343),(7.53900295557 4454),(7.42921776395 4643),(4.52888564344 4794),(7.54196690598 4939),(5.40671345122 5091),(5.66857647666 5190),
Point2,H2,,,,(4.22324859176 353),,,,,,(4.32503000431 1121),,,,,,,(5.60123119393 2147),,,,(4.71126101688 2718),,,,(-0.0030625150358 3361),(-6.2172489379e-15 3519),(0.97816621459 3644),,,(-0.00541211355479 4101),,,(6.85092259577 4479),,,
Point2,H3,,,,(4.31265216579 365),,,,,,(4.88006843226 1136),,,,,,,(5.60199192259 2149),,,,(6.16387976256 2735),,,,(6.3959209847 3409),(5.28879683583 3546),(0.998261069351 3647),,,(4.81812717295 4137),,,(7.20120510217 4493),,,
Point2,H4,,,(5.756472618 242),,(0.0 440),,(-0.00354815115718 734),(-5.3290705182e-15 882),,(-0.000727870557304 1181),(-3.5527136788e-15 1326),,,(4.76486264019 1694),(3.56028986233 1839),(-0.00205403094468 2043),(-0.000353819718977 2188),(1.42108547152e-14 2344),,,(-0.0134355058043 2781),(3.5527136788e-15 2922),(-3.5527136788e-15 3069),,(5.70798254526 3427),(4.96291881766 3558),(-1.42108547152e-14 3663),,(2.99740759548 3905),(4.6622807314 4147),(-4.88498130835e-15 4251),,(-0.000371666985371 4544),(-0.00348777768664 4691),,
Point2,H5,,,(6.31669121032 256),,(4.99463317095 505),,(6.59736961034 798),(6.00072826902 921),,(6.10964939267 1251),(5.69721763999 1367),,,(6.50780728226 1713),(3.56852009728 1845),(4.48685601799 2091),(7.04527988707 2247),(3.6430821364 2376),,,(7.04380596286 2839),(6.28096607636 2980),(5.82927628061 3101),,(6.74918675577 3447),(6.59110401027 3586),(5.12784087575 3732),,(3.14843093175 3915),(5.42186361565 4175),(5.03944270366 4307),,(6.99762689943 4612),(3.93859283718 4745),,
Point2,H6,(-0.00620333335619 159),(-7.1054273576e-15 298),(0.0 440),(7.9936057773e-15 590),(-0.00354815115718 734),(-5.3290705182e-15 882),(-0.00113001961196 1037),(-0.000727870557304 1181),(-3.5527136788e-15 1326),(-7.9936057773e-15 1470),(-7.1054273576e-15 1616),(-0.000548336044992 1750),(-8.43769498715e-15 1894),(-0.00205403094468 2043),(-0.000353819718977 2188),(1.42108547152e-14 2344),(-0.0108242194557 2479),(-0.00338553019495 2618),(-0.0134355058043 2781),(3.5527136788e-15 2922),(-3.5527136788e-15 3069),(-0.00655527400645 3214),(-0.0030625150358 3361),(-6.2172489379e-15 3519),(-1.42108547152e-14 3663),(-0.00723399697916 3806),(-6.9041427639e-05 3943),(-0.00541211355479 4101),(-4.88498130835e-15 4251),(-0.0020996703017 4396),(-0.000371666985371 4544),(-0.00348777768664 4691),(1.33226762955e-15 4828),(-0.00399108381383 4989),(-3.99680288865e-15 5135),
Point3,H1,(6.60450502131 44),(6.41214474591 117),(7.06299084783 226),(4.71819747339 339),(5.3709620577 407),(4.93153278646 515),(5.70948224296 693),(7.99835128665 798),(9.2484030593 989),(5.11830979481 1139),(7.59038086885 1282),(7.07456188336 1397),(7.8362613247 1572),(7.34473624663 1671),(4.25004565287 1822),(7.79739190061 1976),(5.948665916 2160),(7.37491899241 2279),(6.83863299631 2452),(6.34070288403 2590),(7.78617416555 2678),(6.4928759751 2739),(7.19640472629 2842),(7.44160793555 3026),(6.24838050981 3106),(8.0710972593 3320),(7.55168775207 3474),(6.70022384004 3618),(5.49030344496 3765),(4.7579184899 3869),(5.94666232556 4057),(5.53497615842 4210),(5.42910112441 4349),(7.28274461158 4499),(7.30049941654 4648),(4.89082252485 4800),(8.20585367368 4946),(5.77999045942 5096),(5.69585631027 5194),
Point3,H2,,,(5.80799570448 247),(3.84005623119 358),,(4.53967422866 532),,(6.47715076561 821),(7.1054273576e-15 1043),,,(6.1257432375 1414),,(4.78845942896 1700),(3.49417300017 1848),(1.46549439251e-14 2045),,(1.7763568394e-15 2352),,,(5.0118235813 2702),,(5.81480984288 2866),,,,(-8.881784197e-16 3523),(4.4408920985e-15 3668),,(-0.00987597510907 3947),(-0.00704278442841 4104),,,,,
Point3,H3,,,(6.47489216371 261),(4.23289226172 372),,(4.82076206461 546),,(7.41473572652 837),(4.41040653003 1078),,,(6.89513498188 1428),,(6.97936313448 1718),(3.58696222547 1859),(4.35146329118 2094),,(4.18249802977 2381),,,(5.16556328413 2711),,(7.09590340664 2885),,,,(4.91865609612 3549),(4.46824705504 3710),,(4.14285063726 3994),(3.84975617729 4141),,,,,
Point3,H4,,,,,,,,(6.2172489379e-15 887),(4.29421937758 1091),(-0.0123113586632 1186),(1.15463194561e-14 1331),(-0.0129794831871 1473),,,,(4.27017976778 2104),(-0.0100408414911 2192),(3.80193846911 2395),,,,,(-0.000871074961659 2931),,,(-0.00298333966017 3366),(4.68307483115 3559),(4.43548105572 3719),,(4.0186372603 4003),(3.79315529308 4148),(-0.00212183694196 4254),(4.4408920985e-15 4400),(5.3290705182e-15 4545),,
Point3,H5,,,,,,,,(5.98149994619 925),(5.05140897103 1111),(6.28385939618 1239),(6.46863975321 1374),(5.94813291972 1527),,,,(5.56012853667 2140),(6.53284472968 2244),(4.66018061095 2423),,,,,(6.98438677525 2982),,,(6.00948354702 3411),(5.62993232066 3589),(4.48072646384 3730),,(5.51540204078 4030),(5.03059999373 4174),(4.69740012024 4311),(7.21723971013 4468),(7.19132075817 4615),,
Point3,H6,(-0.00360493341105 162),(-0.00413731124641 302),(-2.6645352591e-15 441),(8.881784197e-16 596),(8.881784197e-15 739),(6.2172489379e-15 887),(7.1054273576e-15 1043),(-0.0123113586632 1186),(1.15463194561e-14 1331),(-0.0129794831871 1473),(1.7763568394e-15 1620),(1.28785870857e-14 1759),(-0.00309191814401 1898),(1.46549439251e-14 2045),(-0.0100408414911 2192),(1.7763568394e-15 2352),(-0.0594871768327 2493),(-0.0098982414577 2622),(-0.00787104669933 2783),(-0.000871074961659 2931),(-3.5527136788e-15 3073),(-0.0161502200526 3218),(-0.00298333966017 3366),(-8.881784197e-16 3523),(4.4408920985e-15 3668),(-0.00176106273816 3809),(-0.00987597510907 3947),(-0.00704278442841 4104),(-0.00212183694196 4254),(4.4408920985e-15 4400),(5.3290705182e-15 4545),(-0.000784950266587 4694),(-3.10862446895e-15 4831),(-2.6645352591e-15 4993),(-4.4408920985e-15 5137),
