Cycle,0.907637873754
Average Width,8.58384114097
Width,,0.0,0.0,0,0.0,770.972662521,11.4204978507,9.82881293763,12.8918069993,0,18.4740757965,13.9630220054,14.9197652214,22.3135705195,16.3713051368,12.0397301572,10.5283639032,10.4546333257,10.5582415814,9.51246223888,9.43079791334,8.92316615854,9.33587560071,8.38248905146,7.34016919035,6.58199458698,6.68537314486,6.68703119958,6.87243518398,5.96587924032,5.71128817876,6.21459043448,6.43539517064,6.57631725314,6.51936711919,6.04351812422,6.26163286102,6.10946708031,6.3658896016,5.90828381258,6.20404041023,6.1529381083,6.06053302104,6.48896670422
Point2,H6,(-0.0465238126433 3),(-1.90958360236e-14 170),(-2.48689957516e-14 376),(-0.00593058143154 523),(-0.0175342127212 729),(2.84217094304e-14 937),(-0.00372612349055 1124),(-1.7763568394e-15 1303),(8.881784197e-16 1422),(-0.0962618840347 1641),(-2.13162820728e-14 1865),(-2.04281036531e-14 2068),(-2.13162820728e-14 2236),(-2.6645352591e-14 2409),(0.0 2618),(1.42108547152e-14 2811),(2.13162820728e-14 3003),(5.3290705182e-15 3194),(7.1054273576e-15 3383),(7.1054273576e-15 3575),(0.0 3758),(-7.1054273576e-15 3947),(-1.06581410364e-14 4137),(-2.6645352591e-14 4328),(-2.6645352591e-14 4515),(-7.1054273576e-15 4704),(-1.7763568394e-14 4893),(-8.881784197e-15 5091),(-5.3290705182e-15 5277),(7.1054273576e-15 5466),(-1.7763568394e-15 5656),(-3.5527136788e-15 5847),(-1.42108547152e-14 6030),(-1.7763568394e-15 6222),(1.7763568394e-15 6409),(-7.1054273576e-15 6590),(-7.1054273576e-15 6778),(-2.48689957516e-14 6955),(-2.30926389122e-14 7144),(-2.6645352591e-14 7326),(-2.13162820728e-14 7514),(-3.5527136788e-15 7690),(1.06581410364e-14 7881),
Point3,H1,(30.0046703053 31),(29.6988192218 194),(36.8301990897 400),(36.7329700959 601),(42.8460076931 764),(49.5309402314 962),(47.2920260038 1151),(44.8536539318 1328),(42.7277195342 1530),(39.6606974437 1697),(49.98627933 1902),(44.2094064607 2096),(40.7161250661 2268),(42.5221198176 2438),(48.0604484778 2644),(43.8919711729 2845),(44.8523071951 3037),(43.1507113805 3220),(46.7221997339 3409),(46.3525171102 3601),(46.3960126095 3791),(45.6498252793 3977),(46.2818903148 4162),(48.1953241603 4354),(47.0661689049 4544),(48.3400056722 4736),(46.6696224651 4927),(46.6169624646 5120),(42.2565575521 5310),(45.3952023517 5497),(48.5458098055 5681),(48.3158317415 5873),(47.2977486978 6063),(47.0262054844 6255),(48.4947523321 6433),(45.4080084554 6623),(42.3458899112 6809),(46.9986467389 6989),(45.2686509126 7170),(45.4029771057 7359),(41.4392133964 7542),(49.5693440402 7724),(46.2435290276 7909),
Point3,H2,,(11.8390723535 244),,,(11.0839380536 854),(17.1371521657 1010),(14.5979581986 1202),,,(14.0361747568 1742),,(14.6178080651 2144),,,,(8.48732470103 2943),,,(17.6814179602 3457),(14.9969185676 3650),,,(16.1733968463 4209),(16.7480845742 4403),(13.0425019659 4593),(13.4545990789 4785),,(12.5242321142 5169),(6.5126056103 5402),,(16.0698773642 5730),(15.5561656274 5921),,(16.3588993141 6303),(15.6141322618 6481),,(17.4617110812 6851),,(15.8229460485 7217),,,,,
Point3,H3,,(11.8538380695 247),,,(12.2174980384 870),(17.3985027126 1017),(14.6940272214 1206),,,(15.2850072686 1754),,(15.1006274341 2152),,,,(8.51087998718 2948),,,(18.2143167902 3465),(15.2252143235 3656),,,(17.1599712592 4218),(16.7624954512 4406),(13.6664472582 4602),(13.9441570667 4793),,(12.6864432087 5175),(7.4227689014 5417),,(16.551901296 5737),(16.0802098088 5929),,(17.0510671752 6313),(15.9958433 6489),,(17.4737190662 6853),,(16.032718912 7223),,,,,
Point3,H4,(2.08475327589 138),(2.74430602181 346),,(3.38977581719 695),(5.61154992311 908),,(3.73143414659 1279),,(1.65398033085 1641),(2.84080204995 1832),(1.22573132856 2045),(5.38664541786 2202),(5.03109540594 2380),,(5.04458458654 2781),(5.46771449923 2972),(5.4467339282 3162),(3.81769306061 3356),(3.70984684151 3550),,(6.13530146726 3913),(4.58763950842 4107),(3.98888540895 4299),,(2.96595586386 4667),,,(3.17580978879 5237),(4.73125454588 5434),(3.20353464251 5628),(3.63322830097 5820),,,(5.33786711532 6380),,(3.25441619877 6745),(7.91149103585 6919),(2.63092592362 7114),,(4.33181622144 7483),,(4.70918421845 7850),,
Point3,H5,(3.33847537866 151),(3.38017998616 358),,(4.94453816626 709),(6.32458117079 917),,(3.77957042799 1284),,(4.26055595778 1656),(4.32999667777 1846),(1.6545968565 2055),(6.56581735225 2214),(5.57240169118 2389),,(5.3509550055 2789),(5.78544712692 2980),(7.07344083247 3174),(4.4752418904 3366),(3.92565656059 3557),,(8.20037174458 3926),(5.28111285601 4118),(5.11205692394 4311),,(3.02863564282 4672),,,(5.98186372964 5255),(6.4930957051 5447),(4.42479370853 5639),(4.20246664794 5830),,,(6.12172862861 6390),,(5.84215508909 6759),(8.16062082467 6928),(4.84950580152 7127),,(5.5358383205 7494),,(6.11033536576 7862),,
Point3,H6,(-0.0176207985357 1),(-8.881784197e-15 166),(-5.3290705182e-14 372),(-2.84217094304e-14 566),(-4.26325641456e-14 727),(-1.06581410364e-14 934),(-4.26325641456e-14 1120),(-8.881784197e-15 1300),(-5.15143483426e-14 1495),(-5.50670620214e-14 1670),(-2.13162820728e-14 1863),(-1.59872115546e-14 2066),(-2.13162820728e-14 2232),(-3.19744231092e-14 2406),(7.1054273576e-15 2614),(0.0 2807),(2.13162820728e-14 3000),(1.42108547152e-14 3191),(7.1054273576e-15 3381),(-7.1054273576e-15 3572),(-8.881784197e-15 3753),(3.5527136788e-15 3944),(2.84217094304e-14 4133),(-3.19744231092e-14 4325),(-1.59872115546e-14 4512),(-3.5527136788e-15 4701),(-1.06581410364e-14 4890),(-1.7763568394e-15 5089),(-2.6645352591e-14 5274),(-4.61852778244e-14 5463),(-2.48689957516e-14 5653),(3.5527136788e-15 5844),(-1.06581410364e-14 6027),(-7.1054273576e-15 6219),(-2.48689957516e-14 6406),(1.7763568394e-15 6587),(-0.0099905949713 6775),(1.7763568394e-14 6952),(4.26325641456e-14 7142),(2.30926389122e-14 7322),(-0.00181215164398 7510),(-1.06581410364e-14 7687),(-3.19744231092e-14 7878),
Point4,H1,(38.1670825002 30),(36.2479145239 193),(42.4681990476 399),(42.2424433419 597),(36.7846161377 763),(38.0156420083 960),(34.3039722407 1150),(34.7170554294 1327),(40.9409002406 1529),(34.3812610785 1696),(42.26559556 1900),(37.4490401586 2094),(33.487375551 2265),(34.9668876684 2435),(38.3678203474 2642),(34.5735207609 2843),(34.5638314159 3036),(34.0164049633 3219),(34.2070641074 3408),(34.1874017643 3600),(33.8894568114 3790),(33.6820620554 3975),(33.3553688258 4161),(30.7487191545 4352),(28.4598154556 4542),(29.7818690248 4735),(29.5323377455 4926),(29.3905600575 5118),(22.4666862604 5308),(24.1134339635 5494),(28.6017968688 5680),(30.071398959 5871),(29.534669525 6062),(29.2967710329 6254),(27.2045892577 6432),(26.2822787188 6622),(25.0106051592 6808),(27.0926450835 6988),(24.5810908734 7168),(26.649989465 7358),(23.8101369864 7539),(27.521203387 7723),(27.1037339258 7907),
Point4,H2,,(3.13223346724 323),,,(8.73409702771 851),(13.2607063687 1007),(11.9556402442 1200),,,(13.1480517026 1740),,(13.2795808189 2143),,,,,,,(14.5218034911 3454),(13.0287717764 3648),,,(12.9943907701 4208),(11.4558874009 4400),(9.65017260881 4592),,,(10.0502576219 5168),(4.40155527715 5409),,(11.6659696707 5727),(11.7497862187 5919),,(12.5433886874 6301),(11.0027530942 6479),,,,(10.6699618528 7214),,(11.0712818312 7582),,
Point4,H3,,(3.18362594239 328),,,(9.50457702356 866),(14.0632651326 1017),(12.1168169443 1206),,,(14.5376217557 1753),,(13.8704686545 2152),,,,,,,(15.5289165089 3464),(13.2926423418 3655),,,(13.5560431156 4217),(11.7945164577 4408),(10.2007043453 4601),,,(10.0958203885 5172),(4.41864398482 5414),,(12.081887552 5736),(12.0402680179 5927),,(13.0860344133 6311),(11.3939174134 6488),,,,(11.0658593354 7223),,(11.2236112506 7589),,
