Cycle,0.889610576923
Average Width,5.31552005368
Width,,5.19471421953,5.48686609652,5.17303341057,5.32581778326,5.40165047186,5.44287992319,5.5322422887,5.49671941432,5.30381187466,5.38289437395,5.65088105542,5.39566368105,4.91710587166,5.26309443094
Point2,H5,,,(10.2726692946 486),,(13.6045290395 870),,,(3.29054436555 1509),,(2.15699497222 1950),,(6.10833256223 2313),,,
Point2,H6,(-0.0345586250898 1),(-0.000563192670334 195),(1.7763568394e-14 402),(-7.9936057773e-15 595),(-7.1054273576e-15 789),(7.1054273576e-15 991),(1.06581410364e-14 1188),(7.1054273576e-15 1381),(-0.00210501779356 1572),(7.1054273576e-15 1779),(2.6645352591e-15 1973),(3.5527136788e-15 2171),(1.42108547152e-14 2369),(1.42108547152e-14 2565),
Point3,H1,(14.9660814307 32),(19.5089947445 238),(20.3108811935 434),(17.1788093526 627),(20.3259191731 836),(18.4720939892 1025),(23.3196476608 1232),(20.5373500037 1423),(19.7942777813 1617),(20.0993349385 1828),(22.0093666512 2016),(20.7292652687 2208),(20.8264398538 2401),(22.977335385 2609),
Point3,H2,,(3.91374406318 347),,,(13.3604863256 864),(9.32130205545 1071),,(3.51251326101 1503),,(10.9710253041 1856),,(8.96444902786 2258),(11.1104307036 2445),,
Point3,H3,,(4.20511515369 358),,,(13.4311935688 870),(9.35573080816 1076),,(3.57370688556 1509),,(11.0126099865 1860),,(8.98837497671 2262),(11.9197131872 2456),,
Point3,H4,,(2.01939010348 382),,,,(5.2325885406 1106),,(1.03981907185 1538),,,,(4.49604762054 2295),(2.0172004212 2539),,
Point3,H5,,(2.03893647215 386),,,,(5.30928498587 1113),,(1.2332062515 1549),,,,(6.10188520653 2313),(2.08962801819 2546),,
Point3,H6,(-0.0756438919392 2),(-0.0166749215244 196),(5.3290705182e-15 402),(-7.9936057773e-15 595),(-1.24344978758e-14 789),(1.7763568394e-15 992),(-1.7763568394e-15 1188),(0.0 1381),(1.42108547152e-14 1577),(5.3290705182e-15 1779),(1.33226762955e-14 1973),(1.06581410364e-14 2171),(8.881784197e-15 2369),(5.3290705182e-15 2565),
Point4,H1,(6.34822922452 47),(8.16356284513 233),(9.35956467454 449),(7.99286608957 624),(10.2151176127 829),(9.60092347092 1023),(12.9809081635 1231),(11.3626155517 1424),(10.1880962108 1610),(10.6634630708 1823),(12.9108503222 2012),(12.1038346563 2204),(11.756246715 2404),(13.0701637244 2609),
Point4,H2,(3.29396081938 75),(4.69482353448 284),,,,,,,,,,(5.27211689282 2249),(5.65360094408 2445),,
Point4,H3,(3.39351491156 83),(4.75106841363 294),,,,,,,,,,(5.77748863191 2260),(5.74078998667 2452),,
Point4,H4,(2.2365467598 106),(1.43670147586 339),,(5.84465983999 658),,,,(1.33226762955e-15 1535),,,(6.0176981287 2056),(2.84928238907 2288),(1.88430490257 2534),,
Point4,H5,(2.49646285358 120),(2.61771694032 358),,(5.98938138974 670),,,,(1.51086717001 1559),,,(6.29850398552 2067),(3.43087095448 2319),(2.1360903434 2544),,
Point4,H6,(-0.022001698536 1),(-0.00163573621855 191),(0.0 400),(2.6645352591e-15 592),(0.0 786),(1.7763568394e-15 987),(0.0 1186),(-8.881784197e-16 1379),(1.33226762955e-15 1535),(0.0 1775),(-4.4408920985e-15 1962),(-5.3290705182e-15 2165),(-6.2172489379e-15 2368),(-4.4408920985e-15 2563),
