Cycle,0.851464285714
Average Width,0
Width,,11.6155029338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point2,H2,,,,(10.4717681259 633),,(10.8258337327 1002),,,,,(9.79810431037 1916),,,,
Point2,H3,,,,(10.9296363848 643),,(11.0304104064 1010),,,,,(9.85528277577 1921),,,,
Point2,H4,,(3.57358042609 311),(2.90437889933 511),(3.03698148867 709),(1.60774136635 903),(1.73965183121 1076),(1.95353703165 1246),(2.38947225407 1446),,,(1.38534373707 1988),,,,
Point2,H5,,(3.83875955484 324),(3.08938693761 521),(3.60927340417 720),(1.80603492295 912),(2.39260234498 1088),(2.48224482624 1261),(2.59993643099 1455),,,(2.03883302901 2001),,,,
Point2,H6,(-1.7763568394e-15 179),(-3.5527136788e-15 369),(-0.0052388005394 547),(-1.06581410364e-14 738),(-0.00302850205381 926),(1.42108547152e-14 1104),(1.42108547152e-14 1284),(0.0 1473),(1.95399252334e-14 1651),(0.0 1837),(8.881784197e-15 2017),(8.881784197e-15 2193),(-3.5527136788e-15 2382),(8.881784197e-15 2561),
Point3,H1,(15.3714413208 37),(15.1404749217 220),(13.7184502753 410),(14.3789533576 590),(13.1514181575 775),(13.2939410014 956),(13.4733200898 1150),(15.1609957912 1323),(15.0640757291 1517),(13.0361719749 1691),(12.1344977724 1868),(14.4229663242 2061),(14.5892006439 2236),(12.782962571 2416),(13.4133328845 2602),(11.2905378672 2779),
Point3,H2,,,,(6.87003846114 634),,(7.15964242563 1001),(7.15945374535 1182),(7.24249824147 1370),,,(5.63020083327 1913),,,(12.6293314796 2424),,
Point3,H3,,,,(6.98419641743 641),,(7.31421117864 1009),(7.15946547339 1183),(7.34720804142 1376),,,(5.87757287974 1922),,,(12.6632490978 2429),,
Point3,H4,,(1.29667269852 308),(1.65932168808 507),(1.88945537297 707),(1.30118798522 903),(0.859544955202 1074),(0.336876090868 1243),(1.2938786312 1449),,,(0.265042273509 1989),,,,,
Point3,H5,,(2.05648836309 327),(2.03722913288 521),(2.46967239074 721),(1.34368005596 910),(1.14580611168 1088),(0.836964147397 1260),(1.30979983025 1454),,,(0.590562968221 2002),,,,,
Point3,H6,(-9.7699626167e-15 181),(-0.000156315588977 368),(7.1054273576e-15 548),(1.06581410364e-14 738),(1.06581410364e-14 927),(1.7763568394e-15 1103),(-8.881784197e-16 1281),(0.0 1473),(2.6645352591e-15 1651),(-4.4408920985e-15 1836),(-7.9936057773e-15 2015),(0.0 2193),(-3.5527136788e-15 2382),(-8.881784197e-16 2559),(-3.5527136788e-15 2741),
Point4,H1,(15.6161383331 49),(11.0401176229 223),(11.363341325 412),(11.1037154493 590),(10.0350541646 779),(11.1090855588 961),(10.9504986891 1152),(12.1283063524 1324),(12.6721880009 1520),(10.3534793993 1693),(9.32924779954 1871),(11.7147608153 2062),(11.8085945959 2235),(10.4912953781 2418),(10.9506155518 2607),(8.93350143689 2779),
Point4,H2,,,,(5.09432274848 633),,,,,,,,,,(10.368621735 2426),,,
Point4,H3,,,,(5.51001909243 644),,,,,,,,,,(10.3754897098 2430),,,
Point4,H4,(10.7031032146 74),(-0.012464961078 308),(1.38041319627 520),(1.98996820941 697),(3.3373804785 855),,(-8.881784197e-16 1252),,,(0.647462427103 1817),(-3.5527136788e-15 1992),,(1.31843174553 2331),(3.20434620257 2497),,,
Point4,H5,(11.187599636 85),(1.56058158037 354),(1.43303483158 527),(2.23406548222 714),(3.35439092669 860),,(0.644165307768 1269),,,(0.695571598203 1824),(0.513043700677 2006),,(1.63700616619 2345),(3.49636254478 2514),,,
Point4,H6,(-0.0883880503122 183),(-0.012464961078 308),(0.0 372),(4.4408920985e-15 551),(-7.9936057773e-15 739),(-7.9936057773e-15 921),(-0.00383890897695 1104),(-8.881784197e-16 1252),(4.4408920985e-15 1473),(-7.9936057773e-15 1652),(-8.881784197e-15 1839),(-3.5527136788e-15 1992),(-8.881784197e-16 2193),(3.5527136788e-15 2382),(7.1054273576e-15 2562),(-0.00635479298246 2742),
Point5,H1,(8.5087388017 50),(7.63744479061 224),(6.9762759215 414),(7.34880358079 593),(5.63836743327 780),(6.52829841106 966),(7.2392498152 1153),(8.60083922525 1324),(8.53677093961 1521),(6.69361781341 1692),(5.72704710151 1872),(7.26176253633 2069),(8.16708526952 2235),(7.02186796222 2436),(6.62210802115 2603),(5.21823857614 2780),
Point5,H2,,,,,(4.48923830796 807),,,,,,(3.61399989409 1916),,(0.521466546673 2325),,(3.90139053108 2652),,
Point5,H3,,,,,(4.52374267987 814),,,,,,(3.62499143857 1920),,(1.6161950551 2344),,(4.20015036937 2670),,
Point5,H4,(5.78861332008 77),(-0.00215678074129 311),(1.11966682247 518),,(2.25928664757 852),,(-5.3290705182e-15 1256),,(4.88253779077 1561),(0.0867674517465 1812),(-2.22044604925e-15 1991),,(0.449759251485 2365),,(1.67565892467 2703),,
Point5,H5,(5.92264456354 86),(1.71101504714 351),(1.67216421045 532),,(2.52491441464 866),,(0.388346729625 1275),,(5.10078397762 1572),(0.593974242096 1829),(0.436287221987 2007),,(0.492969342646 2371),,(1.71669324123 2710),,
Point5,H6,(-0.0208070955994 176),(-0.00215678074129 311),(-1.33226762955e-15 374),(-3.10862446895e-15 552),(-0.00213763516339 741),(-0.00376905391884 904),(-0.000947752477715 1102),(-5.3290705182e-15 1256),(-0.00126787280522 1451),(-0.00215863940359 1654),(-2.6645352591e-15 1842),(-2.22044604925e-15 1991),(1.7763568394e-15 2191),(3.5527136788e-15 2385),(-0.00061035167979 2558),(-0.0233133313345 2744),
