Cycle,0.763270329301
Average Width,8.01560675504
Width,,7.77896503683,6.36304254733,8.59746318167,8.24794914827,8.34807248994,8.09801293808,8.40445794516,8.45421329332,8.09352652054,8.57549576157,8.70012169712,7.99328960226,8.52704105772,7.55262125174,9.19506209087,7.44836774336,7.84171177265,7.61229114656,8.7288828151,7.67872988444,8.16612414542,8.31763524839,8.309579373,8.09072994624,8.22469936925,8.91808966737,7.89675733353,7.36754995625,7.85162115254,7.70562475227,7.969555228,7.15099504771
Point2,H5,(1.39807390784 210),(0.679411335246 360),(1.49701471204 525),,(1.24722106662 846),(1.97210452274 997),,(2.20076406799 1353),(2.14064423856 1536),(1.42248972292 1694),,(0.918341726798 2033),(5.40824442051 2130),,(2.15480019803 2508),(1.35520314303 2672),(1.85628343459 2815),(2.36486342508 2956),,(0.7543809894 3277),(3.72271010598 3432),,,(0.302011933559 3938),(2.27811631305 4078),,(1.5439913276 4350),(3.10024609397 4492),(7.64708736224 4593),,(1.45829803875 4942),,
Point2,H6,(-2.08015664978 45),(-0.112372583696 135),(-0.00912590740926 189),(-0.0932041163984 342),(-0.00293544456538 551),(-0.000979713735306 694),(-4.4408920985e-15 863),(3.5527136788e-15 1034),(1.7763568394e-15 1206),(-1.06581410364e-14 1376),(5.3290705182e-15 1499),(8.881784197e-16 1709),(2.6645352591e-15 1869),(-2.6645352591e-15 2015),(4.4408920985e-15 2175),(-0.000127503350126 2366),(8.881784197e-16 2526),(4.4408920985e-15 2686),(-3.5527136788e-15 2832),(1.7763568394e-15 2975),(1.42108547152e-14 3111),(-6.2172489379e-15 3290),(-0.00747505760559 3462),(9.7699626167e-15 3613),(1.24344978758e-14 3772),(9.7699626167e-15 3927),(1.42108547152e-14 4096),(1.06581410364e-14 4231),(1.50990331349e-14 4366),(1.06581410364e-14 4511),(-0.000720584306658 4660),(6.2172489379e-15 4801),(-0.0118414974925 4957),
Point3,H1,(7.0386174078 96),(10.1647161014 259),(11.8657724998 431),(10.2546869304 594),(11.7468647409 751),(11.8683987842 908),(11.8589893269 1074),(12.540267953 1250),(12.5630646383 1422),(13.5565209134 1586),(14.0814808048 1747),(15.0710409756 1917),(13.1917006329 2082),(14.2958661017 2257),(12.3093358199 2404),(13.6965308352 2566),(13.8903792031 2723),(14.9413575423 2878),(14.4772464428 3017),(16.0929068804 3168),(17.1478364745 3331),(16.0656115449 3505),(15.1312660915 3661),(15.5843618299 3823),(15.1240282311 3985),(13.0491898177 4139),(14.0142247069 4273),(14.4059583504 4408),(14.8565391479 4548),(15.4912741092 4703),(12.4013816282 4846),(14.5341871257 4999),
Point3,H2,(-1.11022302463e-15 142),(2.38911562339 304),,,(2.12544916576 793),,,(1.72909253279 1331),(3.75395040861 1457),(4.11731302964 1636),(6.42116243122 1794),,,,(4.16002501407 2446),(5.5232350081 2609),,(7.20343047598 2911),(5.16801052463 3053),,(9.27503989633 3376),(6.20710292094 3549),(7.86651838934 3695),(5.7024029605 3869),(6.25339114603 4029),(5.98967839698 4176),,(7.93991880473 4446),(6.84773100409 4588),,(5.04865677795 4875),,
Point3,H3,(1.5285115313 166),(2.60035856828 315),,,(2.26297131833 803),,,(1.80393987197 1339),(4.23664647329 1471),(4.20918054172 1645),(6.46918033622 1800),,,,(5.43957067798 2461),(5.63909499359 2617),,(7.45495684274 2922),(5.42214831877 3064),,(9.4083911335 3384),(6.71742144722 3561),(8.10983364114 3705),(6.06345479457 3881),(7.02994181543 4041),(6.50350883074 4191),,(8.31818360405 4457),(7.60198440882 4602),,(5.89930801942 4892),,
Point3,H4,(-0.00858459299685 200),(0.634594988601 350),,,(0.493741888309 841),,,(1.49320141571 1355),(-2.6645352591e-15 1506),(1.18114203013 1694),(1.571095858 1853),(0.28365533313 2026),,,(1.3084457487 2501),(0.486478223016 2667),(1.03649214706 2810),,,,,(1.21178872063 3597),,(0.266563330229 3934),(1.74819323551 4074),,(1.90054579015 4352),(2.69095575284 4493),,,(0.708790912399 4941),,
Point3,H5,(1.52244577708 219),(0.931482975365 365),,,(0.745121897907 854),,,(1.61619398713 1364),(2.42280020837 1546),(1.64464480462 1705),(1.7881958912 1862),(1.08820003027 2041),,,(1.99127050555 2518),(1.63807995011 2682),(1.36169558279 2822),,,,,(1.2576650291 3604),,(0.620009404097 3945),(2.28794063758 4087),,(1.94157900528 4358),(3.06686643982 4503),,,(1.44081719329 4953),,
Point3,H6,(-1.93522224618 64),(-1.11022302463e-15 142),(-0.00858459299685 200),(0.0 385),(-5.3290705182e-15 563),(-3.99680288865e-15 700),(-7.9936057773e-15 870),(-2.6645352591e-15 1044),(-4.4408920985e-15 1217),(-1.7763568394e-15 1386),(-2.6645352591e-15 1506),(6.2172489379e-15 1719),(5.3290705182e-15 1880),(-8.881784197e-15 2054),(-0.000849262358184 2182),(-8.881784197e-16 2375),(-8.881784197e-15 2535),(-1.59872115546e-14 2695),(-0.000948384814204 2840),(-2.6645352591e-15 2982),(7.1054273576e-15 3119),(-2.6645352591e-15 3300),(-1.06581410364e-14 3470),(0.0 3623),(-5.3290705182e-15 3780),(3.5527136788e-15 3956),(8.881784197e-16 4105),(-2.6645352591e-15 4241),(7.1054273576e-15 4376),(1.24344978758e-14 4520),(1.7763568394e-15 4668),(0.0 4812),(7.1054273576e-15 4967),
Point4,H1,(7.44961499059 52),(10.1553041487 216),(12.3189440857 386),(10.1090670992 550),(11.7533919338 707),(11.8455338642 864),(12.2233110886 1031),(12.425308995 1207),(12.6068568288 1378),(13.8634081612 1543),(14.4102103618 1704),(15.0389702688 1873),(13.2833444176 2038),(15.1791916175 2213),(12.2263551277 2361),(13.9903337965 2522),(13.089514831 2679),(14.7397988547 2834),(13.9109979306 2972),(15.788496526 3124),(16.1075571892 3287),(16.175796132 3460),(14.5290582598 3616),(14.7286315192 3778),(15.194632457 3941),(13.5361001057 4095),(13.5143482037 4228),(14.1716320526 4364),(14.9961207432 4504),(15.4312449292 4659),(11.8096838812 4801),(14.3715391776 4954),
Point4,H2,,(1.56765864457 266),,(1.510844629 597),(2.47748307787 745),(3.98013665315 909),(2.9336443162 1072),,(3.80158832027 1412),(3.9604173855 1590),,,(4.84303799195 2081),,(4.27645091556 2401),(6.10491072366 2565),,(6.87069913008 2868),,,,(6.0428863445 3505),,(4.94564881813 3828),(6.83049909244 3984),(6.52590863724 4130),,(7.52183424477 4403),,,(5.21751378812 4829),,
